zts1e	Training for Rookie Adventurers
zts2e	Explore the Time-Space Stone over the bridge!
zts3e	Catch a Chicken over the bridge!
zts4e	Explore the Level 5 Time-Space Stone in NosVille Meadows!
zts5e	Talk to Malcolm Mix of the Alchemy Association!
zts6e	Explore the Level 8 Time-Space Stone in NosVille Meadows!
zts7e	Talk to Teoman Topp in the tool shop!
zts8e	Explore the Level 10 Time-Space Stone in NosVille Meadows!
zts9e	Talk to Soraya Style in the Fashion Boutique!
zts10e	Explore the Level 12 Time-Space Stone in NosVille Meadows!
zts11e	Adventure Training for Rookies
zts12e	Hunt Danders!
zts13e	Hunt Weak Seedles!
zts14e	Hunt Large Danders!
zts15e	Hunt Seedles!
zts16e	Hunt Strong Seedles!
zts17e	Hunt Happy Woolies!
zts18e	Hunt Soft Piis!
zts19e	Hunt Happy Hamsters!
zts20e	Hunt Piis!
zts21e	Hunt Pea Pods!
zts22e	Hunt Woolies!
zts23e	Hunt Hamsters!
zts24e	Hunt Hard Piis!
zts25e	Hunt Weak Toxi Danders!
zts26e	Hunt Light Fire Seedles!
zts27e	Hunt Angry Hamsters!
zts28e	Protect NosVille!
zts29e	Hunt Baby Foxes!
zts30e	Hunt Happy Mandras!
zts31e	Hunt Toxi Danders!
zts32e	Hunt Fire Seedles!
zts33e	Hunt Mandras!
zts34e	Hunt Angry Woolies!
zts35e	Hunt Strong Toxi Danders!
zts36e	Hunt Foxes!
zts37e	Hunt Heavy Fire Seedles!
zts38e	Hunt Big Foxes!
zts39e	Hunt Angry Mandras!
zts40e	Hunt Baby Wild Piis!
zts41e	Hunt Weak Poisonous Hamsters!
zts42e	Hunt Small Mufflons!
zts43e	Hunt Dusi-Foxes!
zts44e	Hunt Wild Piis!
zts45e	Hunt Mufflons!
zts46e	Hunt Poisonous Hamsters!
zts47e	Hunt Nervous Dusi-Foxes!
zts48e	Hunt Weak Grasmandras!
zts49e	Hunt Big Mufflons!
zts50e	Hunt Big Wild Piis!
zts51e	Hunt Rams!
zts52e	Hunt Grasmandras!
zts53e	Hunt Nervous Rams!
zts54e	Hunt Strong Grasmandras!
zts55e	Clean up the temple!
zts56e	Hunt Angry Morning Star Mimics!
zts57e	Hunt Little Morning Star Boings!
zts58e	Hunt Steel Hamsters!
zts59e	Hunt Pink Jellies!
zts60e	Hunt Imps!
zts61e	Hunt Devil Vampies!
zts62e	Hunt Morning Star Boings!
zts63e	Hunt Happy Horn Imps!
zts64e	Hunt Tired Stonewalkers!
zts65e	Hunt Nervous Thornwalkers!
zts66e	Hunt Oto-Foxes!
zts67e	Hunt Large Steel Hamsters!
zts68e	Hunt Jumpy Red Jellies!
zts69e	Hunt Horn Imps!
zts70e	Hunt Large Imps!
zts71e	Hunt Strong Devil Vampies!
zts72e	Hunt Angry Oto-Foxes!
zts73e	Hunt Angry Flames!
zts74e	Hunt Dark Jellies!
zts75e	Hunt Stonewalkers!
zts76e	Hunt Small Devil Imps!
zts77e	Hunt Angry Horn Imps!
zts78e	Hunt Nervous Stonewalkers!
zts79e	Hunt Warepards!
zts80e	Hunt Strong Gargs!
zts81e	Hunt Devil Imps!
zts82e	Hunt Mad Gargs!
