#===19레벨때 어중이에게 스크립트2 메인 퀘스트를 얻는다
331 0 2 1 19 1
#===25레벨때 에릴과 대화하면서 시작됨	
300 0 3 2 25 1
#===28레벨때 모건과 대화하면 얻음
328 0 4 3 28 1
#=====31레벨때 에릴과 대화해서 얻음
300 0 5 4 31 1
#=====33레벨때 레이먼드와 대화	
356 0 6 5 33 5
#==========35레벨때 베이먼과 대화해서 획득
357 0 7 6 35 5
#=====39레벨에 레이먼드와 대화해서 획득	
356 0 8 7 39 5
#=====43레벨에 에릴카운트 대화해서 획득	
300 0 9 8 43 1
#=====44레벨에 첩보대원과 대화해서 획득	
389 0 10 9 44 63
#=====48레벨에 첩보대원과 대화해서 획득	
389 0 11 10 48 63
#=====56레벨에 산드라 브레이크와 대화해서 획득	
394 0 12 11 56 88
#=====58레벨에 산드라 브레이크와 대화해서 획득	
394 0 13 12 57 88
#=====60레벨에 산드라 브레이크와 대화해서 획득	
394 0 14 13 60 88
#=====62레벨에 빌스미스와 대화해서 획득	
301 0 15 14 61 1
#=====66레벨에 산드라브레이크와 대화해서 획득	
394 0 16 15 65 88
#=====67레벨에 에릴카운터와 대화해서 획득	
300 0 17 16 67 1
#=====70레벨에 에릴카운터와 대화해서 획득	
300 0 18 17 70 1
#=====72레벨에 샤를롯과 대화해서 획득	
455 0 19 18 72 108
#=====75레벨에 렉트라트와 대화해서 획득	
463 0 20 19 75 47
#=====78레벨에 에리 윈드스피어와 대화해서 획득	
459 0 21 20 78 107
#=====81레벨에 에릴과 대화해서 획득	
300 0 22 21 80 1
#=====90레벨에 세리자드와 대화해서 획득	
1065 0 23 22 85 179
#NPC Act Quest - Lv
#=====항구 습격 저지(항구지기톰)
1062 1 5000 0 80
1062 1 5001 0 80
1062 1 5002 0 80
1062 1 5003 0 80
1062 1 5004 0 80
1062 1 5005 0 80
1062 1 5030 0 80
1062 1 5010 0 80
1062 1 5029 0 80
1062 1 5036 0 81
1062 1 5043 0 81
1062 1 5044 0 81
1062 1 5045 0 81
1062 1 5046 0 82
1062 1 5049 0 83
#=====항구 습격 저지 (조수 빈)
1085 1 5006 0 80
1085 1 5007 0 80
1085 1 5008 0 80
1085 1 5009 0 80
1085 1 5011 0 80
1085 1 5012 0 80
1085 1 5013 0 80
1085 1 5014 0 80
1085 1 5015 0 80
1085 1 5016 0 80
1085 1 5017 0 80
1085 1 5032 0 80
1085 1 5021 0 80
1085 1 5022 0 80
1085 1 5023 0 80
1085 1 5024 0 80
1085 1 5025 0 80
1085 1 5026 0 80
1085 1 5027 0 80
1085 1 5028 0 80
1085 1 5035 0 80
1085 1 5047 0 82
1085 1 5048 0 83
1085 1 5053 0 82
1085 1 5054 0 83
#=====항구 주변이 이상한데... (등대지기 칠튼)
1061 1 5031 0 80
1061 1 5018 0 80
1061 1 5033 0 80
1061 1 5050 0 81
1061 1 5051 0 81
1061 1 5052 0 82
1061 1 5055 0 83
#=====항구 주변이 이상한데... (총행수 아카무르)
1063 1 5019 0 80
1063 1 5056 0 82
1063 1 5069 0 82
1063 1 5079 0 82
1063 1 5080 0 82
1063 1 5093 0 82
1063 1 5103 0 83
1063 1 5111 0 83
1063 1 5119 0 83
#=====멍청하지만 소중한 조수 (조수쉐인)
1270 1 5037 0 81
1270 1 5038 0 81
1270 1 5039 0 81
1270 1 5040 0 81
1270 1 5041 0 81
1270 1 5042 0 81
#=====탈취된 교역품을 찾아라 (슈밀 헤이즐)
1064 1 5057 0 82
1064 1 5058 0 82
1064 1 5059 0 82
1064 1 5060 0 82
1064 1 5061 0 82
1064 1 5062 0 82
1064 1 5063 0 82
1064 1 5064 0 82
1064 1 5065 0 82
1064 1 5066 0 82
1064 1 5067 0 82
1064 1 5068 0 82
1064 1 5070 0 82
1064 1 5071 0 82
1064 1 5072 0 82
1064 1 5073 0 82
1064 1 5074 0 82
1064 1 5075 0 82
1064 1 5076 0 82
1064 1 5077 0 82
1064 1 5078 0 82
1064 1 5081 0 82
1064 1 5082 0 82
1064 1 5091 0 82
1064 1 5092 0 82
1064 1 5095 0 83
1064 1 5096 0 83
1064 1 5101 0 83
1064 1 5102 0 83
1064 1 5104 0 83
1064 1 5105 0 83
1064 1 5106 0 83
1064 1 5107 0 83
1064 1 5108 0 83
1064 1 5109 0 83
1064 1 5110 0 83
1064 1 5112 0 83
1064 1 5113 0 83
1064 1 5114 0 83
1064 1 5115 0 83
1064 1 5116 0 83
1064 1 5117 0 83
1064 1 5118 0 83
#=====사막도적단과의 협상 (대리인 무르샤)
1263 1 5083 0 82
1263 1 5084 0 82
1263 1 5085 0 82
1263 1 5086 0 82
1263 1 5087 0 82
1263 1 5088 0 82
1263 1 5089 0 82
1263 1 5090 0 82
#=====상단포로 구출작전 (퀘받는 NPC)
1281 1 5094 0 83
#=====상단포로 구출작전 (상단포로 후마드)
1266 1 5097 0 83
1266 1 5098 0 83
1266 1 5099 0 83
1266 1 5100 0 83
#=====사막도적단이 노리는 것은? (세미아 팰튼)
1071 1 5121 0 84
1071 1 5122 0 84
1071 1 5123 0 84
1071 1 5124 0 84
1071 1 5133 0 84
1071 1 5134 0 84
1071 1 5137 0 84
1071 1 5138 0 84
1071 1 5140 0 84
1071 1 5151 0 84
1071 1 5152 0 84
1071 1 5155 0 84
1071 1 5156 0 84
1071 1 5169 0 84
1071 1 5171 0 85
1071 1 5172 0 85
1071 1 5173 0 85
1071 1 5174 0 85
1071 1 5175 0 85
1071 1 5176 0 85
1071 1 5177 0 85
1071 1 5178 0 85
1071 1 5181 0 85
1071 1 5182 0 85
1071 1 5183 0 85
1071 1 5184 0 85
1071 1 5185 0 85
1071 1 5186 0 85
1071 1 5187 0 85
1071 1 5188 0 85
1071 1 5197 0 85
1071 1 5199 0 85
1071 1 5200 0 85
1071 1 5229 0 86
1071 1 5230 0 86
1071 1 5231 0 86
1071 1 5232 0 86
1071 1 5351 0 88
1071 1 5352 0 88
1071 1 5357 0 88
1071 1 5358 0 88
1071 1 5435 0 71
1071 1 5436 0 71
#=====사막도적단과 마지막교섭 (네피 아카무르)
1070 1 5120 0 84
1070 1 5139 0 84
1070 1 5153 0 84
1070 1 5154 0 84
1070 1 5170 0 85
1070 1 5179 0 85
1070 1 5180 0 85
1070 1 5201 0 85
1070 1 5227 0 86
1070 1 5228 0 86
#===== 사막도적단이 노리는 것은?(경비병 푸트란)
1268 1 5125 0 84
1268 1 5126 0 84
1268 1 5127 0 84
1268 1 5128 0 84
1268 1 5129 0 84
1268 1 5130 0 84
1268 1 5131 0 84
1268 1 5132 0 84
#===== 지피지기(까마귀 머피)
1090 1 5135 0 84
1090 1 5136 0 84
1090 1 5167 0 84
1090 1 5168 0 84
1090 1 5338 0 88
1090 1 5353 0 88
1090 1 5354 0 88
1090 1 5363 0 88
1090 1 5364 0 88
1090 1 5366 0 88
1090 1 5383 0 88
1090 1 5407 0 88
1090 1 5423 0 89
1090 1 5431 0 89
1090 1 5432 0 89
1090 1 5451 0 89
1090 1 5461 0 90
#===== 까마귀 머피라는 남자(칼잡이 벨몬)
1091 1 5141 0 84
1091 1 5142 0 84
1091 1 5157 0 84
1091 1 5158 0 84
1091 1 5161 0 84
1091 1 5162 0 84
1091 1 5165 0 84
1091 1 5166 0 84
1091 1 5339 0 88
1091 1 5340 0 88
1091 1 5341 0 88
1091 1 5342 0 88
1091 1 5343 0 88
1091 1 5344 0 88
1091 1 5345 0 88
1091 1 5346 0 88
1091 1 5347 0 88
1091 1 5348 0 88
1091 1 5355 0 88
1091 1 5359 0 88
1091 1 5360 0 88
1091 1 5361 0 88
1091 1 5362 0 88
1091 1 5365 0 88
1091 1 5367 0 88
1091 1 5368 0 88
1091 1 5369 0 88
1091 1 5370 0 88
1091 1 5381 0 88
1091 1 5382 0 88
1091 1 5384 0 88
1091 1 5385 0 88
1091 1 5386 0 88
1091 1 5387 0 88
1091 1 5388 0 88
1091 1 5389 0 88
1091 1 5390 0 88
1091 1 5391 0 88
1091 1 5392 0 88
1091 1 5393 0 88
1091 1 5405 0 88
1091 1 5406 0 88
1091 1 5421 0 89
1091 1 5422 0 89
1091 1 5429 0 89
1091 1 5430 0 89
1091 1 5449 0 89
1091 1 5450 0 89
1091 1 5459 0 90
1091 1 5460 0 90
1091 1 5467 0 90
1091 1 5468 0 90
1091 1 5475 0 90
1091 1 5476 0 90
#===== 사막도적단의 방식(대리인 루샬딘)
1087 1 5143 0 84
1087 1 5144 0 84
1087 1 5145 0 84
1087 1 5146 0 84
1087 1 5147 0 84
1087 1 5148 0 84
1087 1 5149 0 84
1087 1 5150 0 84
1087 1 5371 0 88
1087 1 5372 0 88
1087 1 5373 0 88
1087 1 5374 0 88
1087 1 5403 0 88
1087 1 5404 0 88
1087 1 5419 0 89
1087 1 5420 0 89
1087 1 5427 0 89
1087 1 5428 0 89
1087 1 5439 0 89
1087 1 5440 0 89
1087 1 5441 0 89
1087 1 5442 0 89
1087 1 5443 0 89
1087 1 5444 0 89
1087 1 5445 0 89
1087 1 5446 0 89
1087 1 5457 0 90
1087 1 5458 0 90
1087 1 5469 0 90
1087 1 5470 0 90
#===== 지피지기(케루스의 수상한 상자)
1283 1 5159 0 84
1283 1 5160 0 84
#===== 지피지기(가톤의 수상한 상자)
1284 1 5163 0 84
1284 1 5164 0 84
#===== 아스터사원 지하성소에 유령이?(대사제 엘라딘)
1066 1 5189 0 85
1066 1 5202 0 86
1066 1 5215 0 86
1066 1 5225 0 86
1066 1 5226 0 86
1066 1 5233 0 86
1066 1 5234 0 86
1066 1 5247 0 86
1066 1 5249 0 86
1066 1 5250 0 86
1066 1 5261 0 86
1066 1 5349 0 88
1066 1 5350 0 88
1066 1 5433 0 89
1066 1 5434 0 89
1066 1 5437 0 89
1066 1 5438 0 89
#===== 사막도적단 소굴안의 포로 구출작전(꼬깃꼬깃한 쪽지)
1288 1 5190 0 85
#===== 사막도적단 소굴안의 포로 구출작전(상단포로 롬멜)
1086 1 5191 0 85
1086 1 5192 0 85
1086 1 5193 0 85
1086 1 5194 0 85
1086 1 5195 0 85
1086 1 5196 0 85
#===== 의문의 유물조각(부서진 유물조각)
1289 1 5198 0 85
#===== 아스터사원 지하성소에 유령이?(사제베라)
1067 1 5203 0 86
1067 1 5204 0 86
1067 1 5205 0 86
1067 1 5206 0 86
1067 1 5207 0 86
1067 1 5208 0 86
1067 1 5209 0 86
1067 1 5210 0 86
1067 1 5211 0 86
1067 1 5212 0 86
1067 1 5213 0 86
1067 1 5214 0 86
1067 1 5216 0 86
1067 1 5217 0 86
1067 1 5218 0 86
1067 1 5219 0 86
1067 1 5220 0 86
1067 1 5221 0 86
1067 1 5222 0 86
1067 1 5223 0 86
1067 1 5224 0 86
1067 1 5245 0 86
1067 1 5246 0 86
1067 1 5251 0 86
1067 1 5252 0 86
1067 1 5253 0 86
1067 1 5254 0 86
1067 1 5255 0 86
1067 1 5256 0 86
1067 1 5257 0 86
1067 1 5258 0 86
1067 1 5259 0 86
1067 1 5260 0 86
#===== 불쌍한 영혼들에게 안식을(사제노라)
1267 1 5235 0 86
1267 1 5236 0 86
1267 1 5237 0 86
1267 1 5238 0 86
1267 1 5239 0 86
1267 1 5240 0 86
1267 1 5241 0 86
1267 1 5242 0 86
1267 1 5243 0 86
1267 1 5244 0 86
#===== 부서진 유물과 단서(부서진 유물단서)
1308 1 5248 0 86
#===== 실종된 조사대원(시린헤이즐)
1069 1 5263 0 86
1069 1 5264 0 86
1069 1 5265 0 86
1069 1 5266 0 86
1069 1 5273 0 86
1069 1 5274 0 86
1069 1 5285 0 87
1069 1 5286 0 87
1069 1 5297 0 87
1069 1 5298 0 87
1069 1 5309 0 87
1069 1 5310 0 87
1069 1 5321 0 87
1069 1 5322 0 87
1069 1 5335 0 87
1069 1 5336 0 87
#===== 실종된 조사대원(미콜라본즈)
1089 1 5267 0 86
1089 1 5268 0 86
1089 1 5269 0 86
1089 1 5270 0 86
1089 1 5271 0 86
1089 1 5272 0 86
1089 1 5276 0 87
1089 1 5277 0 87
1089 1 5278 0 87
1089 1 5279 0 87
1089 1 5280 0 87
1089 1 5281 0 87
1089 1 5282 0 87
1089 1 5283 0 87
1089 1 5284 0 87
1089 1 5288 0 87
1089 1 5289 0 87
1089 1 5290 0 87
1089 1 5291 0 87
1089 1 5292 0 87
1089 1 5293 0 87
1089 1 5294 0 87
1089 1 5295 0 87
1089 1 5296 0 87
1089 1 5300 0 87
1089 1 5301 0 87
1089 1 5302 0 87
1089 1 5303 0 87
1089 1 5304 0 87
1089 1 5305 0 87
1089 1 5306 0 87
1089 1 5307 0 87
1089 1 5308 0 87
1089 1 5312 0 87
1089 1 5313 0 87
1089 1 5314 0 87
1089 1 5315 0 87
1089 1 5316 0 87
1089 1 5317 0 87
1089 1 5318 0 87
1089 1 5319 0 87
1089 1 5320 0 87
1089 1 5324 0 87
1089 1 5325 0 87
1089 1 5326 0 87
1089 1 5327 0 87
1089 1 5328 0 87
1089 1 5329 0 87
1089 1 5330 0 87
1089 1 5331 0 87
1089 1 5332 0 87
1089 1 5333 0 87
1089 1 5334 0 87
#===== 실종된 조사대원(리아 아카무르)
1068 1 5262 0 86
1068 1 5275 0 86
1068 1 5287 0 87
1068 1 5299 0 87
1068 1 5311 0 87
1068 1 5323 0 87
1068 1 5337 0 87
#===== 사막도적단 두목에게 보내는편지(사막도적단 두목에게 보내는 편지)
1328 1 5356 0 88
#===== 사막도적단의 방식(반역자 빌리)
1088 1 5375 0 88
1088 1 5376 0 88
1088 1 5377 0 88
1088 1 5378 0 88
1088 1 5379 0 88
1088 1 5380 0 88
1088 1 5395 0 88
1088 1 5396 0 88
1088 1 5397 0 88
1088 1 5398 0 88
1088 1 5399 0 88
1088 1 5400 0 88
1088 1 5401 0 88
1088 1 5402 0 88
1088 1 5408 0 89
1088 1 5409 0 89
1088 1 5410 0 89
1088 1 5411 0 89
1088 1 5412 0 89
1088 1 5413 0 89
1088 1 5414 0 89
1088 1 5415 0 89
1088 1 5416 0 89
1088 1 5417 0 89
1088 1 5418 0 89
1088 1 5425 0 89
1088 1 5426 0 89
1088 1 5447 0 89
1088 1 5448 0 89
1088 1 5452 0 90
1088 1 5453 0 90
1088 1 5454 0 90
1088 1 5455 0 90
1088 1 5456 0 90
1088 1 5471 0 90
1088 1 5472 0 90
1088 1 5473 0 90
1088 1 5474 0 90
#===== 사막도적단의 분열(여행자의 일기)
1329 1 5394 0 88
