#========================================================
#TYPE: 0 = blue), 1 = red, 2 = orange, 3 = green, 4 = purple
#========================================================
	VNUM	1
	NAME	zts1e
	ICON	202
	TYPE	0
	LINEDESC	0
	END
#========================================================
	VNUM	2
	NAME	zts2e
	ICON	17014
	TYPE	2
	LINEDESC	0
	END
#========================================================
	VNUM	3
	NAME	zts3e
	ICON	17015
	TYPE	3
	LINEDESC	0
	END
#========================================================
	VNUM	4
	NAME	zts4e
	ICON	17016
	TYPE	3
	LINEDESC	0
	END
#========================================================
	VNUM	5
	NAME	zts5e
	ICON	17017
	TYPE	0
	LINEDESC	0
	END
#========================================================
	VNUM	6
	NAME	zts6e
	ICON	17018
	TYPE	0
	LINEDESC	0
	END
#========================================================
	VNUM	7
	NAME	zts7e
	ICON	17019
	TYPE	1
	LINEDESC	0
	END
#========================================================
	VNUM	8
	NAME	zts8e
	ICON	17020
	TYPE	0
	LINEDESC	0
	END
#========================================================
	VNUM	9
	NAME	zts9e
	ICON	17021
	TYPE	0
	LINEDESC	0
	END
#========================================================
	VNUM	10
	NAME	zts10e
	ICON	17022
	TYPE	4
	LINEDESC	0
	END
#========================================================
	VNUM	11
	NAME	zts11e
	ICON	17023
	TYPE	4
	LINEDESC	0
	END
#========================================================
	VNUM	12
	NAME	zts12e
	ICON	17024
	TYPE	4
	LINEDESC	0
	END
#========================================================
	VNUM	13
	NAME	zts13e
	ICON	17025
	TYPE	4
	LINEDESC	0
	END
#========================================================
	VNUM	14
	NAME	zts14e
	ICON	17026
	TYPE	4
	LINEDESC	0
	END
#========================================================
	VNUM	15
	NAME	zts15e
	ICON	17027
	TYPE	0
	LINEDESC	0
	END
#========================================================
	VNUM	16
	NAME	zts16e
	ICON	17028
	TYPE	0
	LINEDESC	0
	END
#========================================================
	VNUM	17
	NAME	zts17e
	ICON	17029
	TYPE	4
	LINEDESC	0
	END
#========================================================
	VNUM	18
	NAME	zts18e
	ICON	17030
	TYPE	4
	LINEDESC	0
	END
#========================================================
	VNUM	19
	NAME	zts19e
	ICON	17031
	TYPE	4
	LINEDESC	0
	END
#========================================================
	VNUM	20
	NAME	zts20e
	ICON	17032
	TYPE	4
	LINEDESC	0
	END
#========================================================
	VNUM	21
	NAME	zts21e
	ICON	17033
	TYPE	4
	LINEDESC	0
	END
#========================================================
	VNUM	22
	NAME	zts22e
	ICON	17034
	TYPE	2
	LINEDESC	0
	END
#========================================================
	VNUM	23
	NAME	zts23e
	ICON	17035
	TYPE	2
	LINEDESC	0
	END
#========================================================
	VNUM	24
	NAME	zts24e
	ICON	17036
	TYPE	2
	LINEDESC	0
	END
#========================================================
	VNUM	25
	NAME	zts25e
	ICON	17041
	TYPE	0
	LINEDESC	0
	END
#========================================================
	VNUM	26
	NAME	zts26e
	ICON	17043
	TYPE	0
	LINEDESC	0
	END
#========================================================
	VNUM	27
	NAME	zts27e
	ICON	17044
	TYPE	3
	LINEDESC	0
	END
#========================================================
~
