zts1e	New Item
zts2e	[n]
zts3e	A piece of wood
zts4e	A stick you found laying on the ground [n][n]
zts5e	Wood Stick
zts6e	A sturdy stick that won't break so easily [n][n]
zts7e	Wooden Sword
zts8e	A sword made of hard wood [n][n]
zts9e	Wooden Hammer
zts10e	A hammer made of hard wood [n][n]
zts11e	Heavy Hammer
zts12e	A hammer Used for making dough. Very heavy [n][n]
zts13e	Trainee's Wooden Sword
zts14e	A sword used for training [n][n]
zts15e	Adventurer's Sword
zts16e	A sword is the first decent weapon for new adventurers [n][n]
zts17e	Wooden Catapult
zts18e	A Catapult is basic weapon for all adventurers [n][n]
zts19e	Powerful Catapult
zts20e	A slightly upgraded catapault [n][n]
zts21e	Catapult for Shooting
zts22e	A catapult used by the sniper adventurer [n][n]
zts23e	Steel Catapult
zts24e	A catapult made of steel, and inflicts more damage [n][n]
zts25e	Clothes
zts26e	Clothes that an adventurer uses at home [n][n]
zts27e	Training Uniform
zts28e	A uniform commonly used for exercise [n][n]
zts29e	Uniform of Adventurer
zts30e	A uniform favored by the Adventurer. [n] There is a small chance of downgrade when reviving [n][n]
zts31e	Special Training Uniform
zts32e	A uniform, very elastic and comfortable [n][n]
zts33e	Adventurer's Cloak Set
zts34e	A cloak set keeping adventurers warm while sleeping outside [n][n]
zts35e	Warm Cloak Set
zts36e	A thick cloak set that covers your body. There is a small chance of downgrade when reviving [n][n]
zts37e	Sword of Beginner Swordsmen
zts38e	A sword given to all Swordsmen. Not for adventurers [n][n]
zts39e	Short Sword
zts40e	A one-handed sword. Used by the beginner swordsman [n][n]
zts41e	Sword of Suffer
zts42e	A sword made from the melted-down weapons of defeated soldiers. Increases the probability of critical hits [n][n]
zts43e	Small Sword
zts44e	An ordinary sword used by ordinary swordsmen [n][n]
zts45e	Sword of Bronze Decoration
zts46e	A long Sword that has been ornated with bronze and Sword of Suffer [n] Increases the probability of critical hits [n][n]
zts47e	Long Sword
zts48e	A decent sword [n] Popular among swordsmen [n][n]
zts49e	Sword of Red Spirit
zts50e	A sword infused with the spirit of fallen warriors. [n]It's Fire element makes up for it's low attack power [n][n]
zts51e	Falchion
zts52e	A sword with a long edge. Light enough to use with one hand [n][n]
zts53e	Long Sword with Gold Decoration
zts54e	A sword ornated 'Sword of Red Spirit' with gold [n] Infused with the Fire element and increases critical hits [n][n]
zts55e	Broad Sword
zts56e	A sword with a wider edge than normal [n][n]
zts57e	Long Sword of Force
zts58e	A large, heavy sword that deals a lot of damage [n][n]
zts59e	Bastard Sword
zts60e	A long sword with a nice grip [n][n]
zts61e	Skyabona
zts62e	A sword Protecting the owner with mysterious power [n][n]
zts63e	Claymore
zts64e	A honorous sword given only to the best swordsman. [n] Infused with the Water element [n][n]
zts65e	Bow of Amateur Archer
zts66e	A bow given to beginning archers [n] Not for adventurers [n][n]
zts67e	Small Bow
zts68e	A bow made of wood [n] Not very powerful, either [n][n]
zts69e	Bow of Speed
zts70e	A thin and light bow [n] Can attack rapidly [n] Increases hit rate [n][n]
zts71e	Bamboo Bow
zts72e	A bow made of bamboo. [n] Not very durable [n][n]
zts73e	Upgraded Bow
zts74e	A bow upgraded 'Bow of Speed' [n] Increases its power. [n] Increases the hit rate and power [n][n]
zts75e	Oakwood Bow
zts76e	A very durable bow made of the finest Oak [n] It's flexibility makes it a popular choice [n][n]
zts77e	Bow of Wind
zts78e	A bow created by an ancient scholar who studied the wind. [n] Makes use of wind for stronger attacks [n][n]
zts79e	Short Bow with Horn Decoration
zts80e	A bow ornated with an ox horn. [n] Very popular among archers [n][n]
zts81e	Bow with Leather Grip
zts82e	A bow upgraded 'Bow of Wind' with ox leather for better grip. [n] Deals critical damage [n][n]
zts83e	Hunting Bow
zts84e	A typical hunting bow with high durability. [n] Good for wildlife hunting [n][n]
zts85e	Bow of Courage
zts86e	A bow of an ancient archer who never knew fear. [n] Amplifies damage with Fire element [n][n]
zts87e	Long Bow
zts88e	A typically crafted long bow. [n][n]
zts89e	Bronze Bow
zts90e	A bow upgraded 'Bow of Courage' partially plated with bronze[n] Adds defense power [n][n]
zts91e	Bow of Spirit
zts92e	A bow instilled with Spirit[n] Increases all elements [n][n]
zts93e	Orb of Amateur Sorcerer
zts94e	A orb given to all beginner sorcerers [n] Not for adventurers [n][n]
zts95e	Red Bead Orb
zts96e	An orb decorated with red beads [n][n]
zts97e	Orb of Spirit
zts98e	An orb decorated with blue beads [n] The mysterious power of the beads increases magic power [n][n]
zts99e	Orb of Ruby Decoration
zts100e	An orb ornated by a large ruby [n][n]
zts101e	Orb of Magic
zts102e	Adds mysterious power to the blue beads of 'Orb of Spirit' [n][n]
zts103e	Orb of Blue Bead
zts104e	An orb ornated with the blue bead [n][n]
zts105e	Orb of Light
zts106e	An orb with has Mysterious light [n] Increases vitality restoration [n][n]
zts107e	Orb of Opal Decoration
zts108e	An orb ornated by a large Opal. [n][n]
zts109e	Orb of Mana
zts110e	An orb Upgraded from the beads of 'Orb of Light' [n] Increases MP restoration power [n][n]
zts111e	Orb of Coral Decoration
zts112e	An orb ornated with beautiful coral [n][n]
zts113e	Orb of Honor
zts114e	May honor be with you [n] Owner is unaffected by morale [n][n]
zts115e	Orb of Crystal
zts116e	An orb ornated with luxury crystal [n][n]
zts117e	Orb of Intelligence
zts118e	An orb purified 'Orb of Honor' with mysterious power [n][n]
zts119e	Orb of Darkness
zts120e	An orb filled with dark energy [n][n]
zts121e	Leather Gloves
zts122e	Gloves to pull the bow string easily. [n] Increases ranged attack power [n][n]
zts123e	Tough Gloves
zts124e	Gloves to prevent the weapon from sliding down. [n] Increases melee attack power [n][n]
zts125e	Adventurer's Shoes
zts126e	Shoes for Adventurers [n][n]
zts127e	Heel-upgrading Shoes
zts128e	Shoes made of the good console [n][n]
zts129e	Leather Shoes
zts130e	Shoes made of leather [n][n]
zts131e	Sliding Shoes
zts132e	Shoes to help sliding very fast [n] Originally used for dancing [n][n]
zts133e	Sword of Advanced Adventurer
zts134e	Shoes for experienced adventurers [n][n]
zts135e	The Strongest Catapult
zts136e	The most powerful catapult [n][n]
zts137e	Crossbow of the Beginner Swordsman
zts138e	A crossbow, Assistant weapon for swordsman in basic level [n][n]
zts139e	Oakwood Crossbow
zts140e	A crossbow made from oak trees [n][n]
zts141e	Foresight Crossbow
zts142e	A crossbow with a high hit rate [n][n]
zts143e	Slim Gloves
zts144e	Gloves, Too thin to be effective [n][n]
zts145e	Rubber Gloves
zts146e	Gloves with a rubber bottom [n] Can carry heavy objects with ease [n][n]
zts147e	Steel Crossbow
zts148e	A crossbow, Heavy but has high attack power [n][n]
zts149e	Masterpiece Crossbow
zts150e	A crossbow, Luxury masterpiece [n] Is well-balanced [n][n]
zts151e	Crossbow
zts152e	A ordinary crossbow with a comfortable grip [n][n]
zts153e	Crossbow of Rhino Horn
zts154e	A good durable crossbow made of Rhino Horn [n] Can be reloaded quickly [n][n]
zts155e	Crossbow of Courage
zts156e	A crossbow filled with warrior's spirit. [n] Increases morale [n][n]
zts157e	Dirk of Amateur Archer
zts158e	A dirk, secondary weapon for beginning archers [n][n]
zts159e	Dirk
zts160e	A dirk with decent attack power [n][n]
zts161e	Dirk of Ordeal
zts162e	A dirk that becomes stronger in difficult situations. [n] Increases the probability of critical hits[n][n]
zts163e	Refined Dirk
zts164e	A dirk refined with mysterious jewelry [n] Increases attack power [n][n]
zts165e	Masterpiece Dirk
zts166e	A dirk made by master blacksmith [n] Extremely sharp with good balance [n][n]
zts167e	Dagger
zts168e	A ordinary dagger that isn't too sharp [n][n]
zts169e	Dagger of Ruby Decoration
zts170e	A dagger with ruby [n] You feel a sense of pride when you look at it [n][n]
zts171e	Dagger of Spirit
zts172e	A dagger filled with spiritual power [n] Contains 4 types of elements [n][n]
zts173e	Spellgun of Amateur Sorcerer
zts174e	A basic Spellgun for beginning Sorcerer[n][n]
zts175e	Small Spellgun
zts176e	A small spellgun that is not very powerful [n][n]
zts177e	Magic Spellgun
zts178e	A spellgun with magic magic, not bad power [n][n]
zts179e	Gold Spellgun
zts180e	A spellgun ornated with gold [n] Increases magic attack power [n][n]
zts181e	Masterpiece Spellgun
zts182e	A spellgun made by master blacksmith. [n] Highly stable and deals a fatal attack [n][n]
zts183e	Brass Spellgun
zts184e	A spellgun made of brass. [n] Heavy, but very durable [n][n]
zts185e	Spellgun with Carving Decoration
zts186e	A spellgun ornated with Carving [n] Increases magic power [n][n]
zts187e	Spellgun of Darkness
zts188e	A spellgun good for violent attacks [n] Has great powers [n][n]
zts189e	Armor of Amateur Swordsman
zts190e	An armor given to all beginning swordsmen [n][n]
zts191e	Padded Armor
zts192e	An armor made of thick layers of fabric [n] Does not have a high defense power [n][n]
zts193e	Quilting Armor
zts194e	An armor made of layered cotton [n] Light and warm [n][n]
zts195e	Leather Armor
zts196e	An armor made of tanned leather [n][n]
zts197e	Armor of Stamina
zts198e	An armor to boost energy and stamina [n][n]
zts199e	Studded Leather Armor
zts200e	A leather armor reinforced with iron. [n] Does not have much defense power [n][n]
zts201e	Upgraded Leather Armor
zts202e	An armor made of double-layers of leather and soaked in oil [n] Light and warm [n][n]
zts203e	Scale Armor
zts204e	An armor knitted together with metal scales [n][n]
zts205e	Armor of Morale
zts206e	An armor to help you unaffected by morale [n][n]
zts207e	Plate Armor
zts208e	An armor reinforced with steel on the inside [n][n]
zts209e	Golden Rivet Armor
zts210e	An armor decorated with golden rivets gorgeously [n] Heavy but especially effective against magic [n][n]
zts211e	Brigandine
zts212e	An armor with denser steel plates than 'plate armor'
zts213e	Armor of Bravity
zts214e	An armor to increase attack power [n][n]
zts215e	Tunic of Beginning Archer
zts216e	A tunic given to all beginning archers [n][n]
zts217e	Lamb Skin Tunic
zts218e	A tunic made of lamb's skin [n][n]
zts219e	Veloa Tunic
zts220e	Tunic created by artifical leather that is more comfortable to wear [n] Slightly increases the probability of fatal attack of all weapons [n][n]
zts221e	Goat Tunic
zts222e	A tunic made of goat leather [n][n]
zts223e	Tunic of Dodge
zts224e	A tunic, extremely light and comfortable like you're not even wearing anything. [n] Adds dodge from melee attacks [n][n]
zts225e	Calfskin Tunic
zts226e	A tunic made of calfskin [n][n]
zts227e	Suede Tunic
zts228e	A tunic made of soft leather [n] Very warm and comfortable. Restores HP and MP [n][n]
zts229e	Cow Leather Tunic
zts230e	A tunic made of cow leather [n][n]
zts231e	Vision Tunic
zts232e	A tunic that gives wider vision to increase attack power. [n][n]
zts233e	Peccary Tunic
zts234e	A tunic made of hog leather [n][n]
zts235e	Nubuck Tunic
zts236e	A tunic made of soft cow leather. [n] Very strong for melee attacks [n][n]
zts237e	Toscana Tunic
zts238e	A tunic with soft fur [n][n]
zts239e	Tunic of Spirit
zts240e	A tunic with spirits's protection [n] Has strong defense power [n][n]
zts241e	Robe of Beginning Sorcerer
zts242e	A robe given to all sorcerers [n][n]
zts243e	Cotton Robe
zts244e	A robe made of cotton [n][n]
zts245e	Magic Cotton Robe
zts246e	A robe filled with magic power. [n] Restore HP [n][n]
zts247e	Linen Robe
zts248e	A robe ornated with thin knit robe [n] Can block ranged attacks [n][n]
zts249e	Recovery Robe
zts250e	A robe with spirit to make your mind clear [n] Restores MP and can block melee attacks [n][n]
zts251e	Tweed Robe
zts252e	A robe made of thick wool [n] Good for melee attacks and resistant to fire element [n][n]
zts253e	Upgraded Linen Robe
zts254e	A robe mixed of cotton with linen to increase durability. [n] Absorbs melee attacks [n][n]
zts255e	Muslin Robe
zts256e	A robe that is light, warm and elastic [n][n]
zts257e	Elemental Robe
zts258e	A robe to increases all elemental resistances [n][n]
zts259e	Silk Robe
zts260e	A luxurious robe made of silk [n][n]
zts261e	Tartan Patterned Robe
zts262e	A robe with unique patterns to amplify magic effects [n][n]
zts263e	Herringbone Robe
zts264e	A robe Tweed with luxurious patterns. Looks intellectual [n][n]
zts265e	Robe of Darkness
zts266e	A robe to help you doom the opponents. [n][n]
zts267e	Cloak of Old Adventurers
zts268e	A robe popular among experienced adventurers [n][n]
zts269e	Kovolt Mask for Administrators (GM)
zts270e	Gladiator
zts271e	A short swords specially made for gladiators [n] Has a high probability of fatal hits and increases morale [n][n]
zts272e	Walloon Sword
zts273e	A sword with very consistent attack power [n][n]
zts274e	Viking Sword
zts275e	A sword used by tough warriors. [n] Filled with dark energy [n][n]
zts276e	Cutlass
zts277e	A sword to help owners feel high morale [n][n]
zts278e	Katzbalger
zts279e	A sword to amplify damage and have a high probability of critical hits [n][n]
zts280e	Knight's Sword
zts281e	A sword made for courageous knights [n] Increases light energy [n][n]
zts282e	Slayer
zts283e	A legendary sword boasting huge critical hits and enormous power [n][n]
zts284e	Thin Bow
zts285e	A bow, Thin, but causes critical damage [n][n]
zts286e	Edge Bow
zts287e	A bow filled with fire energy [n][n]
zts288e	Synthetic Bow
zts289e	A bow, Durable, stable and fatal [n][n]
zts290e	Double Bow
zts291e	A bow with different types damage but attacks with light energy [n][n]
zts292e	Wild Bow
zts293e	A bow filled with dark energy and makes one fearless [n][n]
zts294e	Large Bow
zts295e	A bow with strong damage [n] but has relatively low-probability of critical damage
zts296e	Siege Bow
zts297e	A bow with strong power and critical damage [n][n]
zts298e	Orb of Life
zts299e	An orb with mysterious power to fill owner with the energy of life [n][n]
zts300e	Orb of Flame
zts301e	An orb with high fire energy [n] but decreases water energy [n][n]
zts302e	Ice Orb
zts303e	An orb with concentrated water energy [n][n]
zts304e	Loon Orb
zts305e	An orb with magic to amplify damage [n][n]
zts306e	Spell Orb
zts307e	An orb with two energies [n] Decreases MP consumption for casting [n][n]
zts308e	Holy Orb
zts309e	An orb with protection by holy powers [n][n]
zts310e	Orb of Spirit
zts311e	An orb with Strong power of spirit to protect caster [n][n]
zts312e	Crossbow for Combat
zts313e	An crossbox made for combat and highly efficient [n][n]
zts314e	Siege Crossbow
zts315e	An Crossbow with fire energy and has high attack power [n][n]
zts316e	Highlander Dirk
zts317e	A dangerous dagger with a high probability of critical hits [n][n]
zts318e	Poignard Dagger
zts319e	A dagger with dark energy [n][n]
zts320e	Normal Spellgun
zts321e	A spellgun with very high maximum attack power [n][n]
zts322e	Bronze Spellgun
zts323e	A spellgun Added water energy [n][n]
zts324e	Armor of Security
zts325e	A very strong armor for security guards [n][n]
zts326e	Hard Leather Armor
zts327e	An armor with high defensive power in general and is resistant to fire [n][n],
zts328e	Armor of Winner
zts329e	An armor to absorb ranged attack [n][n]
zts330e	Armor of Guardian
zts331e	An armor with the protection of light. It decreases damage from melee attacks [n][n]
zts332e	Knight's Armor
zts333e	An armor made for knights. Has high dodge and blocking power [n][n]
zts334e	Stone Armor
zts335e	A special armor with the dual ability of absorbing and blocking [n][n]
zts336e	Flash Tunic
zts337e	A tunic with the protection of ranged attack and magic [n][n]
zts338e	Tunic of Nature
zts339e	A tunic filled with the energy of nature. Increases HP and MP [n][n]
zts340e	Shark Skin Tunic
zts341e	A tunic with the blocking of melee and magic attacks [n][n]
zts342e	Breath Tunic
zts343e	A tunic filled with the breath of the dead [n][n]
zts344e	Wind Tunic
zts345e	A tunic with the blocking of all types of attack [n][n]
zts346e	Dryad Tunic
zts347e	A tunic with all kinds of energy and resistance [n] Reduces MP consumption [n][n]
zts348e	Beginner's Robe
zts349e	A robe, good for melee and ranged defense [n][n]
zts350e	Robe of Softness
zts351e	A robe that blocks ranged attack [n][n]
zts352e	Robe of Clearness
zts353e	A robe, good against melee attack and resistant to fire [n][n]
zts354e	Pattern Robe
zts355e	A robe infused with resistance to light and water [n][n]
zts356e	Spell Robe
zts357e	A robe to help MP consumption of the caster decreased [n][n]
zts358e	Robe of Source
zts359e	A robw with the certain probability of blocking all attacks [n][n]
zts360e	Amulet of Attack Level
zts361e	Amulet of Defense Level
zts362e	Amulet of Attack and Defense Level
zts363e	Amulet for increasing Attack power
zts364e	Amulet for increasing Defense Power
zts365e	Amulet for decreasing Disease
zts366e	Amulet of Fire Elemental Resistance
zts367e	Amulet of Light Elemental Resistance
zts368e	Amulet of Water Elemental Resistance
zts369e	Amulet of Dark Elemental Resistance
zts370e	Amulet of All Resistance
zts371e	Amulet of Critical Hit
zts372e	Amulet of Critical Damage
zts373e	Amulet of Physical Absorption
zts374e	Amulet of Magic Absorption
zts375e	Amulet of Ranged Attack Absorption
zts376e	Amulet of All Attack Absorption
zts377e	Amulet of Physical Blocking
zts378e	Amulet of Magic Blocking
zts379e	Amulet of Ranged Attack Blocking
zts380e	Headband
zts381e	A headband offers slight protection for your head [n][n]
zts382e	Soft Hat
zts383e	It's a soft hat [n][n]
zts384e	Leaves for Disguise
zts385e	Leaves don't seem like it would be too helpful [n][n]
zts386e	Mandra Earpiece
zts387e	A earpiece to cover ears very tightly [n] There is a certain chance it will protect you from Mandragora's scream [n][n]
zts388e	Hippo Hat
zts389e	A very soft hippo-shaped hat [n] Prevents you from black out, at a high probability [n][n]
zts390e	Sharp Smart Glasses
zts391e	Kovolt Mask
