zts1e	Milano village
zts2e	North prairie of Milano
zts3e	West mine area
zts4e	Morning Prairie
zts5e	Entrance,Temple Fernon
zts6e	West mine section 1
zts7e	West mine section 2
zts8e	Northern mine
zts9e	Temple Fernon 1F
zts10e	Temple Fernon B1
zts11e	Temple Fernon B2
zts12e	Temple:secret area B1
zts13e	Temple:secret area B2
zts14e	Temple:secret area B3
zts15e	Temple:secret area B4
zts16e	Temple:secret area B5
zts17e	Left area of Mt. Krem
zts18e	Right area of Mt. Krem
zts19e	Peak of Mt. Krem
zts20e	Mountain cave 1
zts21e	Mountain cave 2
zts22e	Mountain cave 3
zts23e	Mountain cave 4
zts24e	Mountain cave 5
zts25e	Mountain cave 6
zts26e	Shanera Dungeon B1
zts27e	Shanera Dungeon B2
zts28e	Shanera Dungeon B3
zts29e	Shanera Dungeon B4
zts30e	Hidden pathway
zts31e	Damp pathway
zts32e	Lab of secrets 1F
zts33e	Lab of secrets 2F
zts34e	Lab of secrets 3F
zts35e	Side trail of Temple
zts36e	Closed mine
zts37e	Basement of closed mine
zts38e	Shelter for knights
zts39e	Temple Fernon 2F
zts40e	Temple Fernon 3F
zts41e	Temple Fernon 4F
zts42e	Temple Fernon 5F
zts43e	Temple Fernon 6F
zts44e	Temple Fernon 7F
zts45e	Temple Fernon 8F
zts46e	Temple Fernon 9F
zts47e	Temple Fernon 10F
zts48e	Room of Secret
zts49e	Exit of North
zts50e	Exit of East
zts51e	Exit of West
zts52e	6 Gateways
zts53e	Tower of Wizard 1F
zts54e	Tower of Wizard 2F
zts55e	Tower of Wizard 3F
zts56e	Tower of Wizard 4F
zts57e	Tower of Wizard 5F
zts58e	Tower of Wizard 6F
zts59e	Tower of Wizard 7F
zts60e	Tower of Wizard 8F
zts61e	Rocking-Rolling Cliff 4F
zts62e	Rocking-Rolling Cliff 3F
zts63e	Rocking-Rolling Cliff 2F
zts64e	Rocking-Rolling Cliff 1F
zts65e	Zigzag pathway
zts66e	Map of Whirl (East)
zts67e	Map of Whirl (West)
zts68e	Map of Whirl (South)
zts69e	Map of Whirl (North)
zts70e	Chicken farm of Secret
zts71e	Area of private shops
zts72e	Instant combat
zts73e	Freeze - Release
zts74e	Individual Arena
zts75e	Family Arena
zts76e	Entrance for banquet hall of Lamenting
zts77e	Place of Adventure
zts78e	Banquet hall of Lamenting
zts79e	Entrance of Soft-Jelly square
zts80e	Soft-Jelly square
zts81e	Entrance of Cursed ginseng farm
zts82e	Cursed ginseng farm
zts83e	Entrance,Devil's shelter
zts84e	Devil's shelter
zts85e	Altar of pain entrance
zts86e	Altar of pain
zts87e	Pathway to Chicken farm
zts88e	Chicken farm
zts89e	Habitat of Chicken-King
zts90e	Home
zts91e	Mission for Mine Hero
zts92e	Zone of rocking
zts93e	Zone of time
zts94e	Zone of oblivion
zts95e	Mission for Temple Hero
zts96e	Roots of Fernon
zts97e	Mission map
zts98e	Meteor Crater
zts99e	Root of shelter
zts100e	Shelter of Namazayou
zts101e	Stylish garden
zts102e	Part of another world
zts103e	Vertical Cave
zts104e	Cave of Village Chief
zts105e	Cave in NosCamp
zts106e	Narrow Cave
zts107e	Red Zone
zts108e	Blue Zone
zts109e	Green Zone
zts110e	Yellow Zone
zts111e	Desolate Area
zts112e	Twilight Cliff
zts113e	Misty Valley
zts114e	Cave of Ghosts
zts115e	Labyrinth of Pain
zts116e	Secret Zone
zts117e	Special Event for seasonal Festival
zts118e	Deadly Ground
zts119e	Fir woods
zts120e	Maple woods
zts121e	Woodman's house
zts122e	Waterwheel mill
zts123e	Inside of warehouse
zts124e	Cat room
zts125e	Deep side of fir woods
zts126e	Upper stream pit Lv.1
zts127e	Upper stream pit Lv.2
zts128e	Upper stream pit Lv.3
zts129e	Underground tunnel Lv.1
zts130e	Underground tunnel Lv.2
zts131e	Underground tunnel Lv.3
zts132e	Inside of old wood
zts133e	Underground pathway
zts134e	Cold tunnel
zts135e	Stiff cliff
zts136e	Stiff cliff's canyon
zts137e	Outskirt of maple woods
zts138e	Cellilusha
zts139e	Seli-lusha B1
zts140e	Seli-lusha B2
zts141e	Seli-lusha B3
zts142e	Seli-lusha B4
zts143e	Seli-lusha B5
zts144e	Path of snow
zts145e	Invasion spot of Greeny Bob
zts146e	Frozen Heart Citadel
zts147e	Frozen Heart Citadel West
zts148e	Frozen Heart Citadel East
zts149e	Bitoren Tundra
zts150e	Shares Canyon
zts151e	Morcos Throne
zts152e	Brookhild Square
zts153e	Brookhild Commercial District
zts154e	Daisy Ship
zts155e	Western Frost Land
zts156e	Eastern Frost Land
zts157e	Northern snowfield
