zts1e	Milano Village
zts2e	North prairie of Milano
zts3e	West mine area
zts5e	Trail and Tower of Wizard
zts6e	Entrance,Temple Fernon
zts8e	Left area of Mt.Krem
zts9e	Right area of Mt.Krem
zts10e	Peak of Mt.Krem
zts12e	Rocking-rolling Cliffs
zts15e	Closed mine area
zts21e	Morning Prairie
zts22e	Temple Fernon
zts23e	Lab of secrets
zts24e	Secret area of Fernon basement
zts25e	Upper area of Temple Fernon
zts26e	Cave in NosCamp
zts27e	Vertical Cave
zts28e	Misty Valley
zts29e	Twilight Cliff
zts30e	Cave of Ghosts
zts31e	Mountain Cave
zts32e	Shanera Dungeon
zts33e	Fir woods
zts34e	Deep inside of fir woods
zts35e	Upper stream pit
zts36e	Underground tunnel
zts37e	stiff cliff
zts38e	Maple woods
zts39e	Outskirt of maple woods
zts40e	inside of old woods
zts41e	Seli-lusha
zts42e	Underground pathway
zts43e	Frozen Heart Citadel
zts44e	Bitoren Tundra
zts45e	Shares Canyon
zts46e	Brookhild Square
zts47e	Brookhild Commercial District
zts48e	Daisy Ship
zts49e	Northern snowfield
