zts1e	Rest
zts2e	Pick up
zts3e	Open Shop
zts4e	Propose Battle
zts5e	Time Circle
zts6e	Unspecified
zts7e	[Beginner] Course for Physical Strength
zts8e	Increase physical strength by 3
zts9e	Physical strength increases melee attack and melee defense
zts10e	[Intermediate] Course for Physical Strength
zts11e	Increase physical strength by 12
zts12e	[Advanced] Course for Physical Strength
zts13e	[Master] Course for Physical Strength
zts14e	[Beginner] Speed Course
zts15e	Increases speed by 3
zts16e	Speed increases ranged attack & defense, target and dodges.
zts17e	[Intermediate] Speed Course
zts18e	Increase speed by 12
zts19e	Speed increases long-range attack, long-range defense, hits and dodge.
zts20e	[Intermediate] Speed Course
zts21e	[Master] Speed Course
zts22e	[Beginner] Intelligence Development Course
zts23e	Increase Mental Intelligence by 4
zts24e	Mental intelligence increases magic attack and magic defensive powers.
zts25e	[Intermediate] Intelligence Development Course
zts26e	Increase Mental Intelligence by 15
zts29e	[Beginner] Breeding Technique
zts30e	[Intermediate] Breeding Technique
zts31e	[Advanced] Breeding Technique
zts32e	[Expert] Breeding Technique
zts33e	[Beginner] Life Extension
zts34e	Increase maximum HP by 50
zts35e	[Intermediate] Life Extension
zts36e	Increase maximum HP by 150
zts37e	[Advanced] Life Extension
zts38e	[Master] Life Extension
zts39e	[Beginner] Mental Training
zts40e	Increase maximum MP by 50
zts41e	[Advanced] Mental Training
zts42e	Increase maximum MP by 150
zts43e	[Advanced] Mental Training
zts44e	[Master] Mental Training
zts45e	[Beginner] Efficient Attack Theory
zts46e	Increase all attack powers by 2
zts47e	[Intermediate] Efficient Attack Theory
zts48e	Increase all attack powers by 6
zts51e	[Beginner] Self Defensive
zts52e	Increases all defensive powers by 3
zts53e	[Intermediate] Self Defensive
zts54e	Increases all defensive powers by 8
zts57e	[Beginner] HP Recovery
zts58e	Increase HP recovery by 20
zts59e	[Intermediate] HP Recovery
zts60e	Increase HP recovery by 50
zts61e	[Advanced] HP Recovery
zts62e	[Master] HP Recovery
zts63e	[Beginner] Recovery Meditation
zts64e	Increases MP recovery by 20
zts65e	[Intermediate] Recovery Meditation
zts66e	Increases MP recovery by 50
zts67e	[Advanced] Recovery Meditation
zts68e	[Master] Recovery Meditation
zts70e	Slowly recovers HP and MP in normal condition
zts71e	[Intermediate] Natural Healing
zts72e	[Master] Natural Healing
zts73e	[Beginner] Handle Weapons
zts74e	[Intermediate] Handle Weapons
zts75e	[Advanced] Handle Weapons
zts76e	[Beginner] Study Fatal Attack
zts77e	[Intermediate] Study Fatal Attack
zts78e	[Advanced] Study Fatal Attack
zts79e	[Beginner] Venom Resistance
zts80e	[Intermediate] Venom Resistance
zts81e	[Advanced] Venom Resistance
zts82e	[Beginner] Disease Resistance
zts83e	[Intermediate] Disease Resistance
zts84e	[Advanced] Disease Resistance
zts85e	[Beginner] Magic Resistance
zts86e	[Intermediate] Magic Resistance
zts87e	[Advanced] Magic Resistance
zts88e	[Beginner] General Resistance
zts89e	[Intermediate] General Resistance
zts90e	[Advanced] General Resistance
zts91e	[Beginner] Healthy Resistance
zts92e	[Intermediate] Healthy Resistance
zts93e	[Advanced] Healthy Resistance
zts94e	[Beginner] Yoga
zts95e	[Intermediate] Yoga
zts96e	[Advanced] Yoga
zts97e	Swing
zts98e	Basic attacking skill
zts99e	Shooting Slingshot
zts100e	Basic shooting skill
zts101e	Strong Hit
zts102e	Strong weapon swing dealing higher damage
zts103e	Target Shooting
zts104e	Shoots with higher accuracy dealing higher damage
zts105e	Spinning Hit
zts106e	Attacks all surrounding enemies with a single spin
zts107e	Beat-up
zts108e	Recklessly beats up an enemy
zts109e	Shout for battle
zts110e	Increases attack and defensive powers of your Adventure team
zts111e	Shout of Morale
zts112e	Increases morale level of your Adventure team
zts113e	Charging Attack
zts114e	Accumulates energy to create a stronger attack on the next target
zts115e	Capture
zts116e	Energy Bolt
zts117e	Basic magic available to adventurers
zts118e	Ultra Super Morale Skill
zts119e	This is a super cheat skill
zts120e	Administrator's Cheating Skill 2
zts121e	Basic Slash
zts122e	Basic skill for swordsmen to cut up enemies
zts123e	Crossbow Shooting
zts124e	Basic skill for crossbow users
zts125e	Hit of Rage
zts126e	Makes a great hit. 2% probability of enabling 'Anger' status
zts127e	Count-Slash
zts128e	Targets an enemy's weakness
zts129e	Sword Energy
zts130e	Uses sword energy to deal damage to surrounding enemies
zts131e	Basically has the Light element
zts132e	Count-Stern
zts133e	Attack using the sword's hilt to knock out enemies
zts134e	Earth-wave
zts135e	Attacks surrounding enemies by striking down on the earth, creating waves
zts136e	Basically has Fire element
zts137e	Blow Wield
zts138e	Wields sword to attack all enemies in the front
zts139e	Double Attack
zts140e	Wields sword twice making a double attack
zts141e	Dynamic Shooting
zts142e	Shoots crossbow faster than usual
zts143e	Taunt Shooting
zts144e	Shifts the attention of an enemy from someone else
zts145e	Power Charging
zts146e	Accumulates a lot of energy to make for a stronger attack on the next target
zts147e	Pledge of Blood
zts148e	Uses HP to increase the attack power of your Adventure team for a certain period of time
zts149e	Suppress
zts150e	Decreases enemy morale for certain period of time
zts151e	Does not apply to an enemy who is 3 levels higher than you
zts152e	Dash Attack
zts153e	Dashes toward the target, attacking quickly
zts154e	Stop Bleeding
zts155e	Stops bleeding up to level 3
zts156e	Requires Bandage
zts157e	New Skills
zts158e	Archery
zts159e	Basic skill for archers
zts160e	Dagger Stab
zts161e	Basic skill for dagger users
zts162e	Elaborate Shot
zts163e	Deals additional ranged damage with a very high hit rate
zts164e	Intense Shot
zts165e	Deals higher damage in long-range attacks
zts166e	Piercing Shot
zts167e	Pierces enemies, dealing critical damage to them in a line
zts168e	Target Legs
zts169e	Attacks enemy's legs, efficiently slowing them down
zts170e	Jump Shot
zts171e	Attacks while jumping dealing damage to the enemy in front without a penalty
zts172e	Fast Shooting
zts173e	Shoots 3 arrows continuously towards a single target
zts174e	Overhead Shooting
zts175e	Remote shooting that sends a shower of arrows around the target
zts176e	Short Stabbing
zts177e	Adds additional attack power to the auxiliary dagger
zts178e	Intoxicate Dagger
zts179e	Adds Muscle Weakening Venom on a dagger to weaken the enemy's short-range attack power
zts180e	Requires Intoxicate Herb
zts181e	Turning Count
zts182e	Causes the enemy to stop moving using an auxiliary dagger
zts183e	Death Charging
zts184e	Accumulates long-range attack energy to make for a stronger attack on the next target
zts185e	Haste
zts186e	Increases movement speed for a certain period of time
zts187e	Ritual of Hawk
zts188e	Increases your Adventure team's hit rate and attack power
zts189e	Detoxify Technique
zts190e	Requires Detoxifying Herb to remove venom from your company
zts191e	Intoxicate Arrowhead
zts192e	Adds venom to arrowheads and used for a certain period of time.
zts193e	Energy Bolt
zts194e	Basic magic for sorcerers
zts195e	Spellgun Shooting
zts196e	Basic long-range attack using a Spellgun
zts197e	Fire Bolt
zts198e	Magic attack using fire bullets
zts199e	Ice Bolt
zts200e	Magic attack using ice bullets
zts201e	Magic Missile
zts202e	Shoots several magic missiles at a time, dealing higher damage
zts203e	Stone Cubic
zts204e	Drops an angled stone above a target to knock out enemies
zts205e	Fire Column
zts206e	Creates a column of fire dealing damage to enemies
zts207e	Tornado
zts208e	Creates a a whirlwind dealing damage to enemies
zts209e	Power Magic Bullet
zts210e	A stronger magic bullet that increases the power of the Spellgun
zts211e	Explosive Magic Bullet
zts212e	Shoots explosive magic bullets with a Spellgun dealing damage to enemies
zts213e	Spell Charging
zts214e	Saves up magic power for the next attack
zts215e	Cool Shield
zts216e	Generates a shield that decreases damage from long-range attacks
zts217e	Recover Aura
zts218e	Recovers HP of the party members for certain period of time
zts219e	Light Protection
zts220e	Creates a protection of light that reduces damage dealt to all party members
zts221e	Sleep
zts222e	Makes the target fall asleep, stopping movement and attacks. Enemy wakes up when attacked
zts223e	Red Drain
zts224e	Steals MP from your target
zts225e	Blind
zts226e	Makes the target blind for a few seconds, making long-range attacks impossible
zts227e	Teleport
zts228e	Teleports to an area at a certain distance
zts229e	Add Stern
zts230e	Adds Fire element and Stern to strong attacks
zts231e	Strengthen Wield
zts232e	Increases attack power and hit
zts233e	Strengthen Slingshot Shooting
zts234e	Increases attack power and target range
zts235e	Increase Attack Power
zts236e	Adds long-range attack power to Shooting
zts237e	Adds attack power to Spinning Hit
zts238e	Add Bleeding
