zts1e	Best Service
zts2e	Medal of Erenia
zts3e	[Main Effect][n]Each volume of equipment, major and minor inventory volume is increased by 8 upto a total of 24, [n] If used with the Medal of Adventure, it is increased by 36[n][Additional Effect] Battle experience is increased by 15%. [n] Job experience is increased by 15%. [n] Experience points of the pet and partner is increased by 15%. (Will increase by 30% if used with the Medal of Adventure.) Acquisition of Gold is increased by 20%. [n] Acquisition of reputation is increased by 20%.
zts4e	Want easy adventure??
zts5e	Medal of the Adventurer
zts6e	[Main Effect][n] Size of equipment, major and minor inventory will be increased by 4 respectively upto a total of 12. [n] (If used with the Medal of Erenia, it will be increased by 36) [n] [Additional Effect] Battle experience is increased by 15%. Job experience is increased by 15%. [n] Experience points of the pet and partner is increased by 15%. [n] (If used with the Medal of Erenia, it will be increased by 30%)
zts7e	Stronger Fire Element
zts8e	Sellaim, the Fire Fairy
zts9e	Fire Fairy; Can grow upto 70.[n] Has the same skills as the Fire Fairy.[n]Item cannot be traded between players[n]
zts10e	Stronger Water Element
zts11e	Undine, the Water Fairy
zts12e	Water Fairy; Can grow upto 70.[n] Has the same skills as the Water Fairy.[n]Item cannot be traded between players[n]
zts13e	Stronger Light Element
zts14e	Eperial, the Light Fairy
zts15e	Light Fairy; Can grow upto 70.[n] Has the same skills as the Light Fairy.[n]Item cannot be traded between players[n]
zts16e	Stronger Darkness Element
zts17e	Turiq, the Darkness Fairy
zts18e	Darkness Fairy; Can grow upto 70.[n] Has the same skills as the Dark Fairy.[n]Item cannot be traded between players[n]
zts19e	Rapid growth?
zts20e	Grown Sellaim
zts21e	Fire Fairy; Can grow upto 70.[n] Already 40, so you don't have to raise it from 1.[n]Has the same skills as the Fire Fairy.[n]Item cannot be traded between players[n]
zts22e	Can be used immediately!
zts23e	Grown Undine
zts24e	Water Fairy; Can grow upto 70.[n] Already 40, so you don't have to raise it from 1.[n]Has the same skills as the Water Fairy.[n]Item cannot be traded between players[n]
zts25e	Too impatient to wait?
zts26e	Grown Eperial
zts27e	Light Fairy; Can grow upto 70.[n] Already 40, so you don't have to raise it from 1.[n]Has the same skills as the Light Fairy.[n]Item cannot be traded between players[n]
zts28e	For immediate action!
zts29e	Grown Turiq
zts30e	Darkness Fairy; Can grow upto 70.[n] Already 40, so you don't have to raise it from 1.[n]Has the same skills as the Darkness Fairy.[n]Item cannot be traded between players[n]
zts31e	Amazing 56 slots
zts32e	Huge 2-story warehouse
zts33e	Enables you to use 56 slots at home. [n] The countdown starts at the moment of initial set up.[n] [Warning]The ware house will disappear after the time period, so prepare with another warehouse, [n] If the new warehouse is smaller, all items cannot be shifted. So, arrange your items often.
zts34e	Give your pet a nickname!
zts35e	1 name tag for your pet
zts36e	Lets you name your pet.[n]Disappears after one use.[n]
zts37e	Name your pet
zts38e	1 set of 5 pet name tags
zts39e	Lets you name your pet.[n] Buy 1 set of 5 pet name tags.[n]
zts40e	For your precious pet
zts41e	3 Best Pet Food
zts42e	Pet's loyalty becomes max.[n]Additional level upgrade by 1.[n]Only available when the pet's level is 5 levels lower than the player [n] (If player is Lv.50, it can be upgraded up to Lv.45)[n]
zts43e	Take care of health problems
zts44e	3 Herb cure for partner
zts45e	Partner's intimacy becomes max.[n]Additional level upgrade by 1.[n]Only available when the pet's level is 5 levels lower than the player [n] (If player is  Lv.50, it can be upgraded up to Lv.45)[n]
zts46e	Don't leave your pet
zts47e	Bead for keeping the pet
zts48e	You can put your pet in the bead and keep it in your inventory or warehouse[n] Can be traded with other users.[n][Warning][n]Details of the pet will remain, but pet's name will be deleted.[n]If the pet's level is higher than the player, [n] it can be kept at home but cannot be a Nosmate.[n]
zts49e	Wanna trade your partner?
zts50e	Bead for keeping Partner
zts51e	You can put your partner in the bead and keep it in your inventory or warehouse[n] Can be traded with other users.[n][Warning][n]While inside the bead, partner has to take off all equipment.[n]If the same partner is there, you have to put that partner first and bring it out.[n]If the partner's level is higher than the player, [n] it can be kept at home but cannot be a Nosmate.[n]
zts52e	Let's trade a Special Card!
zts53e	Special Card Carrier
zts54e	Holds 1 Special card. [n] Can be traded or exchanged with other users.[n] Level and experience will be protected.[n]
zts55e	Change to a specialist!!
zts56e	Small SP Recharger
zts57e	All HP recovers.[n]SP points are increased by 30,000 in addition [n]
zts58e	Medium SP Recharger
zts59e	All HP recovers.[n]SP points are increased by 70,000 in addition [n]
zts60e	Be a specialist as you want!!
zts61e	Big SP Recharger
zts62e	All HP/MP is restored and bad effects disappear.[n] Additionally, SP points will be increased by 180,000[n]
zts63e	Makes betting safe~
zts64e	Amulet of Blessing
zts65e	Can be used 3 times[n] Increases the success probability of betting by 10% and protects the weapon from failure [n] Can be used for weapons and equipment [n]
zts66e	I bet! I will be the winner!!
zts67e	Amulet of Protecting
zts68e	Can be used 3 times[n] Protects the weapon from failure when betting[n] Can be used for weapons and equipment [n]
zts69e	Re-use your equipment
zts70e	Amulet of Lv. Upgrading
