zts1e	Milano Tool Shop (Use)
zts13e	Farewell.
zts14e	So, what would you like to know?
zts15e	How can I upgrade my equipment?
zts16e	What is the main advantage of upgrading my equipment?
zts17e	How do I change my partner's equipment?
zts18e	He looks just like you. Who is he? Your twin?
zts19e	To upgrade your equipment, you will need Cella powder and a Soul gem.
zts20e	Only weapons and clothes can be upgraded.These upgrades range from level 1 to 10. The amount of Cella powder required for upgrade will increase with the level.
zts21e	I also a charge a transaction cost for that. That's about it. Understood?
zts22e	Er.. How do I get this Cella powder and Soul gem?
zts23e	From Gillion stones. You get them by refining Gillion stones.
zts24e	These stones can be found everywhere and can be refined using the Soul gem refiner.
zts25e	It's a little difficult to get a Soul gem but Cella powder should be easy to find.
zts26e	If you are lucky, you might even find a perfect Soul gem.
zts27e	Thanks, I understand now.
zts28e	Your attack and defense power increases when you upgrade weapons and clothes.
zts29e	But I don't see any changes on my attack/defense, only the + sign has been added to the item.
zts30e	You got ripped off! Haha!! Don't panic. I was just kidding. The changes won't show up there.
zts31e	Yet, when you are actually fighting, the effective attack and defense changes are based on the level difference between you and your opponent.
zts32e	But.. how? (Is this for real??)
zts33e	For example, your defense is calculated based on the difference between your opponents weapon level and your armor level.
zts34e	If the difference is greater, the power also increases correspondingly. So, it is advisable to have high level equipment.
zts35e	Ah! I get it now! Phew!! (It is for real!!)
zts36e	What would you like to look at?
zts37e	Show me the weapons.
zts38e	Show me the clothes.
zts39e	Show me other equipment.
zts40e	The partner equipment can be used by your partner.
zts41e	You need to get partner equipment because it increases their strength and capabilities.
zts42e	It's very simple to make equipment for your partners. You can exchange any weapon or clothes that you use for partner equipment.
zts43e	Do that and I'll convert it to partner equipment of the same level. But short-range weapons will remain short-range and vice versa.
zts44e	If you want your partner to do short range attacks, it has to put on a short range weapon and the same range clothes.
zts45e	And for long range attack, it has to put on a long range weapon and clothes of speed.
zts46e	For a magical attack, it has to put on a magical weapon and clothes that improve mental acumen.
zts47e	Who? This guy? He's my twin brother.
zts48e	He just looks very busy, but in reality he's just lazing around.
zts49e	Well, that guy always wants to hang around. Very careless. I don't trust him and won't give him any jobs to do.
zts50e	By the way..
zts51e	I've heard that he does strange things with equipment. Do not be fooled by his mysterious claims.
zts52e	Oh really? Okay, I'll take your advice on that.
zts53e	Milano Equipment Shop 2 (Use)
zts62e	What are you placing as a bet?
zts64e	If you've got any weapons or clothes without any unique properties, then show it to me!
zts65e	With my divine skills, I will craft you a rare item.
zts66e	Really? Are you sure? But why is it called a 'bet'?
zts67e	Mistakes happen sometimes. I can't guarantee the same results every time. So, it's a gamble.
zts68e	Really? How is that possible?
zts69e	No, not much. Also, if the rare level is negative (-), I will never make a failure.
zts70e	If the rare level is high?
zts71e	Well, I'm not really sure about that.
zts72e	I'm certain that after I touch it, if the item doesn't disappear, one of the rare levels from 1 to 7 will definitely be applied.
zts74e	Milano NosCamp (Use)
zts101e	End conversation.
zts102e	What would you like to know?
