zts1e	Training for Rookie Adventurer
zts2e	Explore the stone of TimeSpace over the bridge
zts3e	Catch the chicken over the bridge
zts4e	Explore Lv.5 stone of TimeSpace in Northern prairie of Milano
zts5e	Talk with Raul Endinel in Alchemy Association
zts6e	Explore Lv.8 stone of TimeSpace in Northern prairie of Milano
zts7e	Talk with Bill Smith in tool shop
zts8e	Explore Lv.10 stone of TimeSpace in Northern prairie of Milano
zts9e	Talk with Celloin Vintage in TheGanZ
zts10e	Explore Lv.12 stone of TimeSpace in Northern prairie of Milano
zts11e	Discipline for Rookie Adventurer
zts12e	Hunt Danger
zts13e	Hunt Weak Seedle
zts14e	Hunt Big Dander
zts15e	Hunt Seedle
zts16e	Hunt Strong Seedle
zts17e	Hunt Happy Woolly
zts18e	Hunt Soft Pii
zts19e	Hunt tame thorny Mouse
zts20e	Hunt Pii
zts21e	Hunt Pea Bean Stem
zts22e	Hunt white Sheep
zts23e	Hunt Rat
zts24e	Hunt Hard Pii
zts25e	Hunt Weak Toxi dander
zts26e	Hunt Light Seedle
zts27e	Hunt Agi-Rat
zts28e	Protect Village Milano
zts29e	Hunt Baby Fox
zts30e	Hunt Happy Wild Mandra
zts31e	Hunt Toxi-dander
zts32e	Hunt Seedle
zts33e	Hunt WildMandra
zts34e	Hunt Agi-Woolly
zts35e	Hunt Strong Toxi-Dander
zts36e	Hunt Fox
zts37e	Hunt Heavy Seedle
zts38e	Hunt Big Fox
zts39e	Hunt Angry Wild Mandra
zts40e	Hunt Baby Wild Pii
zts41e	Hunt Weak Toxi-Rat
zts42e	Hunt Baby Wild Sheep
zts43e	Hunt Dusi-Fox
zts44e	Hunt Wild Pii
zts45e	Hunt Wild Sheep
zts46e	Hunt Toxi-Rat
zts47e	Hunt Strong Dusi-Fox
zts48e	Weak Herbi Mandra
zts49e	Hunt Big Wild Sheep
zts50e	Hunt Big Wild Pii
zts51e	Hunt Big Rammer
zts52e	Hunt Herbi Mandra
zts53e	Hunt Strong Big Rammer
zts54e	Hunt Strong Herbi Mandra
zts55e	Clean up the temple
zts56e	Hunt Agi-Aqua Mimic
zts57e	Hunt Steel Boing
zts58e	Hunt Steel Rat
zts59e	Hunt Sling
zts60e	Hunt Baby Horn-Imp
zts61e	Hunt Devil Vampie
zts62e	Hunt Hard Steel Boing
zts63e	Hunt Happy Horn-Imp
zts64e	Hunt Tired Stone Walker
zts65e	Hunt Agi-Thorny Walker
zts66e	Hunt Oto-Fox
zts67e	Hunt Big Steel Rat
zts68e	Hunt Jumpy Red-Sling
zts69e	Hunt Horn-Imp
zts70e	Hunt Agi-Baby Horn-Imp
zts71e	Hunt Strong Devil Vampie
zts72e	Hunt Agi-Oto-Fox
zts73e	Hunt Agi-Flame
zts74e	Hunt Jumpy Dark Sling
zts75e	Hunt Stone Walker
zts76e	Hunt Happy Big Imp
zts77e	Hunt Agi-Horn-Imp
zts78e	Hunt Agi-Stone Walker
zts79e	Hunt Warepard
zts80e	Hunt Crazy Gargs
zts81e	Hunt Big Imp
zts82e	Hunt Winged Gargs
zts83e	Hunt Gargs
zts84e	Hunt Agi-Big Imp
zts85e	Protect the mines
zts86e	Hunt Happy Miner
zts87e	Hunt Weak Expi-Miner
zts88e	Hunt Miner
zts89e	Hunt Angry Miner
zts90e	Hunt Expi-Miner
zts91e	Hunt Tired Miner-Chief
zts92e	Hunt Strong Expi-Miner
zts93e	Hunt Miner-Chief
zts94e	Hunt Strong Miner-Chief
zts95e	Collect Ore
zts96e	Collect Old Pickaxe
zts97e	Collect broken Flutes
zts98e	Kovolts Battle!
zts99e	Hunt Swordsman Koaren
zts100e	Hunt Archer Koaren
zts101e	Hunt Guard Koaren
zts102e	Hunt Strong Swordsman Koaren
zts103e	Hunt Strong Archer Koaren
zts104e	Hunt Elite Koaren Guard
zts105e	Hunt 2nd class Swordsman Kenko
zts106e	Hunt 2nd-class Spearman Kenko
zts107e	Hunt 2nd-class Raid Kenko
zts108e	Hunt Swordsman Kenko
zts109e	Hunt Spearman Kenko
zts110e	Hunt Raid Kenko
zts111e	Hunt Elite Swordsman Kenko
zts112e	Hunt Elite Spearman Kenko
zts113e	Hunt Elite Raid Kenko
zts114e	Mission to protect Mt.Krem!
zts115e	Hunt Agi-Big Imp
zts116e	Hunt Crazy Gargs
zts117e	Hunt Queen Bee
zts118e	Hunt Wolf
zts119e	Hunt Toxi-Spider
zts120e	Hunt Wasp
zts121e	Hunt Wiggi Wiggler
zts122e	Hunt Thorn Pii
zts123e	Hunt Hog
zts124e	Hunt Mountain Turtle
zts125e	Hunt Spider
zts126e	Hunt Angry Wolf
zts127e	Hunt Agi Toxi-Spider
zts128e	Hunt Strawee
zts129e	Hunt Lion-Wolf
zts130e	Hunt Toxi Spider
zts131e	Hunt Straw Wasp
zts132e	Hunt Quick Thorn Pii
zts133e	Hunt Rocky-mountain Turtle
zts134e	Hunt Wiggler
zts135e	Hunt Strong Lion-Wolf
zts136e	Hunt Strong Spider
zts137e	Hunt Toxi-Spider King
zts138e	Hunt Agi-Strawee
zts139e	Hunt Underground Hog
zts140e	Hunt Agi-Hive Tree
zts141e	Hunt Luxury Queen bee
zts142e	Hunt Quick Wasp
zts143e	Hunt Agi-Wiggler
zts144e	Hunt Vicious Strawee
zts145e	Catsy Battle
zts146e	Hunt Dodo DarkWitch
zts147e	Hunt Dodo BloodWitch
zts148e	Hunt Rose DarkWitch
zts149e	Hunt Rose BloodWitch
zts150e	Hunt Darksy madam. Savina
zts151e	Hunt Darksy madam. Edis
zts152e	Hunt Masha DarkWitch
zts153e	Hunt Darksy madam. Sylvia
zts154e	Terminate Undead
zts155e	Hunt Weak Skulleton
zts156e	Hunt Old DustDeath
zts157e	Hunt Semi-Golem
zts158e	Hunt Sweaky Skulleton
zts159e	Hunt Golem
zts160e	Hunt DustDeath
zts161e	Hunt Evil Skulleton
zts162e	Hunt Mangi-Golem
zts163e	Hunt Cursed-DustDeath
zts164e	Hunt Angry Skulleton
zts165e	Hunt Hard Golem
zts166e	Hunt Cursed Skulleton
zts167e	Hunt Sad DustDeath
zts168e	Hunt Ancient Skulleton
zts169e	Hunt Agi Golem
zts170e	Hunt Devils DustDeath
zts171e	Raul's request to collect item
zts172e	Collect hair of fox tail
zts173e	Collect thorny Mouse
zts174e	Collect Wool
zts175e	Collect Mandragora
zts176e	Collect Dander Seed
zts177e	Collect Seedle leaves
zts178e	Collect small Beans
zts179e	Catch Slings and Collect Jellies
zts180e	Collect horn of Imp
zts181e	Collect Vampie
zts182e	Catch Walkers, Koaren and Kenko, and collect shining pieces
zts183e	Catch Gargs and Collect piece of darkness
zts184e	Collect Wolf hair
zts185e	Collect turtle's shell
zts186e	Collect spider's web
