#Çü½Ä
# ½ÃÀÛMapID ³¡MapID MapPoint¿ùµå¸Ê¹øÈ£ MapPointÀÎµ¦½º ¸ÊÀÌ¸§
1 1 1 1 zts1e
2 2 1 2 zts2e
3 3 1 3 zts3e
4 4 1 4 zts4e
5 5 1 5 zts5e
6 6 1 3 zts6e
7 7 1 3 zts7e
8 8 1 4 zts8e
9 9 1 3 zts7e
10 10 1 6 zts9e
11 11 1 6 zts10e
12 12 1 6 zts11e
13 13 1 6 zts12e
14 14 1 6 zts13e
15 15 1 6 zts14e
16 16 1 6 zts15e
17 17 1 6 zts16e
20 20 1 7 zts17e
21 21 1 8 zts18e
22 22 1 9 zts19e
23 23 1 16 zts20e
24 24 1 16 zts21e
25 25 1 16 zts22e
26 26 1 17 zts23e
27 27 1 17 zts24e
28 28 1 17 zts25e
29 29 1 18 zts26e
30 30 1 18 zts27e
31 31 1 18 zts28e
32 32 1 18 zts29e
33 33 1 8 zts30e
41 41 1 10 zts31e
42 42 1 10 zts32e
43 43 1 10 zts33e
44 44 1 10 zts34e
46 46 1 24 zts119e
47 47 1 29 zts120e
49 49 1 11 zts35e
50 50 1 15 zts36e
51 51 1 15 zts37e
52 52 1 15 zts38e
54 54 1 6 zts39e
55 55 1 6 zts40e
56 56 1 6 zts41e
57 57 1 6 zts42e
58 58 1 6 zts43e
59 59 1 6 zts44e
60 60 1 6 zts45e
61 61 1 6 zts46e
62 62 1 6 zts47e
63 63 1 6 zts48e
64 64 1 6 zts49e
65 65 1 6 zts50e
66 66 1 6 zts51e
67 67 1 6 zts52e
68 68 1 11 zts53e
69 69 1 11 zts54e
70 70 1 11 zts55e
71 71 1 11 zts56e
72 72 1 11 zts57e
73 73 1 11 zts58e
74 74 1 11 zts59e
75 75 1 11 zts60e
76 76 1 12 zts61e
77 77 1 12 zts62e
78 78 1 12 zts63e
79 79 1 12 zts64e
80 80 1 14 zts65e
81 81 1 14 zts66e
82 82 1 14 zts67e
83 83 1 14 zts68e
84 84 1 14 zts69e
85 86 1 15 zts103e
87 87 1 7 zts104e
88 88 1 23 zts105e
89 92 1 -1 zts106e
93 93 1 -1 zts107e
94 94 1 -1 zts108e
95 95 1 -1 zts109e
96 96 1 -1 zts110e
97 97 1 -1 zts111e
98 98 1 20 zts112e
99 99 1 16 zts113e
100 100 1 22 zts114e
101 101 1 18 zts115e
102 102 1 18 zts116e
103 104 1 3 zts98e
105 105 1 24 zts121e
106 106 1 24 zts122e
107 107 1 24 zts123e
108 108 1 24 zts124e
109 109 1 25 zts125e
110 110 1 26 zts126e
111 111 1 26 zts127e
112 112 1 26 zts128e
113 113 1 27 zts129e
114 114 1 27 zts130e
115 115 1 27 zts131e
116 116 1 33 zts132e
117 117 1 33 zts132e
118 118 1 31 zts133e
119 119 1 28 zts134e
120 120 1 28 zts135e
121 121 1 28 zts136e
122 122 1 30 zts137e
123 123 1 32 zts138e
124 124 1 32 zts139e
125 125 1 32 zts140e
126 126 1 32 zts141e
127 127 1 32 zts142e
128 128 1 32 zts143e
130 130 1 34 zts146e
131 131 1 34 zts146e
132 132 1 -1 zts155e
133 133 1 -1 zts156e
134 134 1 40 zts149e
135 135 1 36 zts150e
136 136 1 -1 zts151e
145 145 1 37 zts152e
146 146 1 38 zts153e
147 147 1 -1 zts71e
148 148 1 39 zts154e
149 149 1 39 zts154e
150 150 1 -1 zts118e
151 151 1 35 zts157e
152 152 1 35 zts157e
2110 2110 1 4 zts70e
2000 2000 1 1 zts71e
2004 2004 1 -1 zts72e
2005 2005 1 -1 zts73e
2006 2006 1 -1 zts74e
2007 2007 1 -1 zts75e
2500 2500 1 6 zts76e
2501 2501 1 -1 zts77e
2502 2502 1 -1 zts78e
2510 2510 1 4 zts79e
2511 2511 1 -1 zts77e
2512 2512 1 -1 zts80e
2520 2520 1 5 zts81e
2521 2521 1 -1 zts77e
2522 2522 1 -1 zts82e
2530 2530 1 8 zts83e
2531 2531 1 -1 zts77e
2532 2532 1 -1 zts84e
2540 2540 1 9 zts85e
2541 2541 1 -1 zts77e
2542 2542 1 -1 zts86e
2550 2550 1 1 zts87e
2551 2551 1 -1 zts88e
2552 2552 1 -1 zts89e
2560 2560 1 2 zts99e
2561 2565 1 -1 zts100e
2566 2566 1 -1 zts101e
2570 2572 1 -1 zts145e
2580 2580 1 -1 zts144e
20001 20001 1 -1 zts90e
4000 4099 1 -1 zts91e
4100 4199 1 -1 zts92e
4200 4299 1 -1 zts93e
4300 4314 1 -1 zts94e
4315 4320 1 -1 zts102e
4400 4499 1 -1 zts95e
4500 4599 1 -1 zts96e
15000 15000 1 -1 zts97e
