zts1e	Special Attack
zts2e	Attack Disabled
zts3e	Melee Attack Disabled
zts4e	Ranged Attack Disabled
zts5e	Magic is not Allowed
zts6e	Targeting Disabled
zts7e	No attack is allowed
zts8e	Melee attack is Not allowed
zts9e	Ranged attack is Not allowed
zts10e	Magic attack is Not allowed
zts11e	Physical attack misses the target
zts12e	Specials Defense
zts13e	Defense Disabled
zts14e	Melee Defense Disabled
zts15e	Ranged Defense Disabled
zts16e	Magic Defense Disabled
zts17e	Avoidance Disabled
zts18e	All Defense is nullified
zts19e	Melee Defense is nullified
zts20e	Ranged Defense is nullified
zts21e	Magic Defense is nullified
zts22e	Unable to dodge
zts23e	Change Attack Power
zts24e	Change All attacks
zts25e	Change Melee Attack
zts26e	Change Ranged Attack
zts27e	Change Magic Attack
zts28e	Change Attack Level
zts29e	Increase All Attack Power : %s
zts30e	Decrease All Attack Power : %s
zts31e	Increase Melee Attack Power : %s
zts32e	Decrease Melee Attack Power : %s
zts33e	Increase Ranged Attack Power : %s
zts34e	Decrease Ranged Attack Power : %s
zts35e	Increase Magic Attack Power : %s
zts36e	Decrease Magic Attack Power : %s
zts37e	Increase Attack Lv. : %s
zts38e	Decrease Attack Lv. : %s
zts39e	Target Change
zts40e	Change All Targets
zts41e	Change Melee Target
zts42e	Change Ranged Target
zts43e	Change Focus Target
zts44e	Increase Target Lv. for All Attacks : %s
zts45e	Decrease Target Level for All Attacks : %s
zts46e	Increase Target Lv. for Melee Attacks : %s
zts47e	Decrease Target Lv. for Melee Attacks : %s
zts48e	Increase Target Lv. for Ranged Attacks : %s
zts49e	Decrease Target Lv. for Ranged Attacks : %s
zts50e	Increase Focus Lv. for Magic Attacks : %s
zts51e	Decrease Focus Lv. for Magic Attacks : %s
zts52e	Change Fatal Attack
zts53e	Change Fatal Attack Probability
zts54e	Change Fatal Attack Damage
zts55e	Double Damage
zts56e	Change Fatal Attack Probability of the opponent
zts57e	Change Fatal Attack Damage of the opponent
zts58e	Increase Probability for Fatal Attacks : %s%%
zts59e	Decrease Probability for Fatal Attacks : %s%%
zts60e	Increase Damage by Fatal Attack : %s%%
zts61e	Decrease Damage by Fatal Attack : %s%%
zts62e	Increase Damage while attacking : %s [Chance : %s%%]
zts63e	Decrease Damage while attacking : %s [Chance : %s%%]
zts64e	Increase Probability to receive Fatal Attack : %s%%
zts65e	Decrease Probability to receive Fatal Attack : %s%%
zts66e	Increase Damage from Fatal Attack : %s%%
zts67e	Decrease Damage from Fatal Attack : %s%%
zts68e	Special Fatal Attack
zts69e	All attacks are Fatal
zts70e	Immune to Fatal Attack
zts71e	All attacks received are Fatal
zts72e	All attacks received are not Fatal
zts73e	Regular Probability of Fatal Attack
zts74e	All attacks are Fatal
zts75e	All attacks are not Fatal
zts76e	All attacks received are Fatal
zts77e	Immune to Fatal Attack
zts78e	Probability to give Fatal Attack : %s%%
zts79e	Probability to receive Fatal Attack : %s%%
zts80e	Adjust Element
zts81e	Adjust Fire Elemental Energy
zts82e	Adjust Water Elemental Energy
zts83e	Adjust Light Elemental Energy
zts84e	Adjust Dark Elemental Energy
zts85e	Change All elements Emerge
zts86e	Increase Fire Elemental Energy : %s
zts87e	Decrease Fire Elemental Energy : %s
zts88e	Increase Water Elemental Energy : %s
zts89e	Decrease Water Elemental Energy : %s
zts90e	Increase Light Elemental Energy : %s
zts91e	Decrease Light Elemental Energy : %s
zts92e	Increase Dark Elemental Energy : %s
zts93e	Decrease Dark Elemental Energy : %s
zts94e	Increase All Elemental Energy : %s
zts95e	Decrease All Elemental Energy : %s
zts96e	Amplify Damage
zts97e	Increase Probability
zts98e	Increase damage : %s%% [Chance : %s%%]
zts99e	Decrease damage : %s%% [Chance : %s%%]
zts100e	Increase Fire Elemental Energy for all interactions : %s
zts101e	Decrease Fire Elemental Energy for all interactions : %s
zts102e	Increase Water Elemental Energy for all interactions : %s
zts103e	Decrease Water Elemental Energy for all interactions : %s
zts104e	Increase Light Elemental Energy for all interactions : %s
zts105e	Decrease Light Elemental Energy for all interactions : %s
zts106e	Increase Dark Elemental Energy for all interactions : %s
zts107e	Decrease Dark Elemental Energy for all interactions : %s
zts108e	Adjust Defense Power
zts109e	Adjust All Defense Power
zts110e	Adjust Melee Defense
zts111e	Adjust Ranged Defense
zts112e	Adjust Magic Defense
zts113e	Adjust Defense Level
zts114e	Increase All Defense Power : %s
zts115e	Decrease All Defense Power : %s
zts116e	Increase Melee Defense Power : %s
zts117e	Decrease Melee Defense Power : %s
zts118e	Increase Ranged Defense Power : %s
zts119e	Decrease Ranged Defense Power : %s
zts120e	Increase Magic Defense Power : %s
zts121e	Decrease Magic Defense Power : %s
zts122e	Increase All Defense Lv. : %s
zts123e	Decrease All Defense Lv. : %s
zts124e	Adjust Dodge and % of Defense Power
