zts1e	General Effects
zts2e	Magic Effects
zts3e	Poison series
zts4e	Disease series
zts5e	Recharge series
zts6e	Good
zts7e	Neutral
zts8e	Bad
zts9e	Duration: %.1f second
zts10e	Every %d seconds,
zts11e	At the probability of %d%%
zts12e	Secondary symptom after %.1f seconds
zts13e	Generates [%s] at the probability of %d%% when released
zts14e	(Caster Lv. / %d)
zts15e	(Caster Lv. * %d)
zts16e	Recharge
zts17e	Energy for the next attack is full.
zts18e	Minor Bleeding
zts19e	Got slightly injured
zts20e	Toxic Thorn
zts21e	Poisoned by a toxic thorn.
zts22e	Broken-heart disease
zts23e	Your body and heart become deeply depressed
zts24e	Anger
zts25e	You are furious and concentrate on attacking only.
zts26e	Fury
zts27e	You are furious and all attacks are Fatal
zts28e	Rage
zts29e	You are furious and attack faster than usual
zts30e	Blackout
zts31e	Blind and stunned temporarily [n] you still suffer from pain.
zts32e	Demoralization
zts33e	Demoralized by opponent's power
zts34e	Glue
zts35e	Sticks on the body and disturbs attack
zts36e	Heavy Glue
zts37e	Sticks to your body and hinders movement
zts38e	Fear
zts39e	Serious Fear reduces the will to fight
zts40e	Shout for Battle
zts41e	Inspires passion for battle and increase attacking power
zts42e	Shout for morale
zts43e	Inspires high spirit and feel courageous
zts44e	Drunken Buzzing
zts45e	Feel light-headed due to alcohol
zts46e	PvP Mode
zts47e	Able to duel other players at any time
zts48e	Attack Level Down
zts49e	Attack level is lowered
zts50e	Blood Sworn
zts51e	Sacrifices blood to increase fighting spirit
zts52e	Suppressed
zts53e	Suppressed completely and even loses the will to fight
zts54e	Wounded Leg
zts55e	Movement slowed due to injured legs or wings
zts56e	Bleeding
zts57e	Get injured slightly. Cure it before it becomes serious.
zts58e	Paralyzing toxic
zts59e	Muscles are paralyzed
zts60e	Defense neutralizing toxic
zts61e	Pain is amplified and minor attacks cause injury
zts62e	Dizzying Toxic
zts63e	Feels dizzy very often
zts64e	Deadly Poison
zts65e	Slows down the body and gets shocked for a few seconds
zts66e	Move Disabled
zts67e	Gets hurt so badly and movement is disabled
zts68e	Freeze
zts69e	Encase body in ice and prevent movement
zts70e	Haste
zts71e	Gets body to move swiftly
zts72e	You feel lighter and move fast
zts73e	Ritual of Hawk
zts74e	Gives amazing eye-sights and enables efficient attacks
zts75e	Freezing Shield
zts76e	Spreads freezing energy around the body to protect from ranged attacks
zts77e	Recovery Aura
zts78e	Spreads warm energy around the body to recover gradually
zts79e	Light of Protection
zts80e	Spread bright light around the body to protect
zts81e	Sleep
zts82e	Falls asleep immediately but awaken when touched
zts83e	Blind
zts84e	Disturb eye sights for a few seconds.
zts85e	Toxic Arrowhead
zts86e	Applies toxic on a arrow to poison enemy
zts87e	Toxic Dagger
zts88e	Applies toxin on a dagger to poison enemy
zts89e	Serious Bleeding
zts90e	Decreases HP from a serious injury
zts91e	Incapacitation
zts92e	Attack and Defense Disabled
zts93e	Weakened respawn
zts94e	Upgrade Attack Power
zts95e	Upgrade Defense Power
zts96e	Upgrade Melee Attack Power
zts97e	Upgrade Ranged Defense Power
zts98e	Upgrade Magic Defense Power
zts99e	Unlimited MP
zts100e	Strong Energy
zts101e	Upgrade Movement Power
zts102e	Invincible Shield
zts103e	Jerking Toxic
zts104e	Attack Disabled. Chance to black-out when neutralized
zts105e	Shrinking Hand
zts106e	Gets hands to shrink and decrease attack power
zts107e	Side Effect of Sneeze
zts108e	Weak point of Kuluck Kuluck Kin. Attack now!
zts109e	Strong Toxic Thorn
zts110e	Poisoned by strong toxic thorn
zts111e	Doom of Darkness
zts112e	Damaged more by darkness, the effect of fatal attack gets decreased
zts113e	Hand of the Dead
zts114e	Fatal Poison
zts115e	Waiting Time for Mission
zts116e	Attempt the mission again, after waiting time is over
zts117e	Time for Using Magic Item
zts118e	Gives you the information about running time of magic items. After running time, items will disappear
zts119e	Stanch
zts120e	80% chance to stop bleeding at below Lv.4
zts121e	Burn
zts122e	Becomes weaker to fire attack and continuously reduce vital power
zts123e	Fatal Burn
zts124e	Fatal Black Out
zts125e	Unable to move and not use any item at all
zts126e	Fire Blessing
zts127e	Gets the fire elemental energy and increases fire elemental resistance
zts128e	Weakening Defense Power
zts129e	Drops defense level and decreases defensive power
zts130e	Dissemble shield
zts131e	Loses all defensive power for seconds.
zts132e	Shock
zts133e	Attack disabled due to sudden shock
zts134e	Iron Skin
zts135e	Maximize defense power while decreasing attack power
zts136e	Morale Increase
zts137e	Increases morale
zts138e	Run Away
zts139e	Run far away
zts140e	Hawk Eye
zts141e	Gives high probability of making successful attack
zts142e	Wind Walker
zts143e	Increase movement speed
zts144e	Flash Bang
zts145e	Attack disabled for a short duration
zts146e	Rapidity
zts147e	Shorten Cooldown time for skill
zts148e	Pinned Down
zts149e	Reduces movement and slow down casting time
