zts1e	Baby Fox
zts2e	Fox
zts3e	Big Fox
zts4e	Tired Dusi-Fox
zts5e	Dusi-Fox
zts6e	Strong Dusi-Fox
zts7e	Happy Oto-Fox
zts8e	Oto-Fox
zts9e	Angry Oto-Fox
zts10e	Happy Woolly
zts11e	Woolly
zts12e	Angry Woolly
zts13e	Baby Sheep
zts14e	Sheep
zts15e	Big Sheep
zts16e	Tired Rammer
zts17e	Rammer
zts18e	Strong Rammer
zts19e	Happy Mandra
zts20e	Mandra
zts21e	Angry Mandra
zts22e	Weak Herbimandra
zts23e	Herbimandra
zts24e	Strong Herbimandra
zts25e	Baby Dander
zts26e	Dander
zts27e	Big Dander
zts28e	Weak Toxi-Dander
zts29e	Toxi-Dander
zts30e	Strong Toxi-Dander
zts31e	Weak Seedle
zts32e	Seedle
zts33e	Strong Seedle
zts34e	Light Seedle
zts35e	Red Seedle
zts36e	Heavy Seedle
zts37e	Soft Pii
zts38e	Pii
zts39e	Hard Pii
zts40e	Baby Wild Pii
zts41e	Wild Pii
zts42e	Big Wild Pii
zts43e	Lazy Thorn Pii
zts44e	Thorn Pii
zts45e	Quick Thorn Pii
zts46e	Soft Pii-Pod
zts47e	Pii-Pod
zts48e	Hard Pii-Pod
zts49e	Baby Wild Pii Pod
zts50e	Wild Pii-Pod
zts51e	Big Wild Pii-Pod
zts52e	Lazy Thorn Pii-Pod
zts53e	Thorn Pii-Pod
zts54e	Quick Thorn Pii-Pod
zts55e	Weak Vampie
zts56e	Vampie
zts57e	Strong Vampie
zts58e	Weak Big Vampie
zts59e	Big Vampie
zts60e	Strong Vampie
zts61e	Weak Devil Vampie
zts62e	Devil Vampie
zts63e	Strong Devil Vampie
zts64e	Tired Walker
zts65e	Walker
zts66e	Angry Walker
zts67e	Tired Thorn Walker
zts68e	Thorny Walker
zts69e	Angry Thorn Walker
zts70e	Tired Stone Walker
zts71e	Stone Walker
zts72e	Angry Stone Walker
zts73e	Imp
zts74e	Baby Horn-Imp
zts75e	Angry Horn-Imp
zts76e	Happy Horn-Imp
zts77e	Horn-Imp
zts78e	Agi Horn-Imp
zts79e	Happy BigHorn-Imp
zts80e	Agi BigHorn-Imp
zts81e	BigHorn-Imp
zts82e	Jelly King
zts83e	Pink Sling
zts84e	Jumpy Sling
zts85e	Mush Red-Sling
zts86e	Red-Sling
zts87e	Jumpy Red-Sling
zts88e	Mush Dark-Sling
zts89e	Dark-Sling
zts90e	Jumpy Dark-Sling
zts91e	Mystik
zts92e	Gargs
zts93e	Crazy Garg
zts94e	Enygma
zts95e	Winged Garg
zts96e	Crazy Winged Garg
zts97e	Happy Rat
zts98e	Rat
zts99e	Angry Rat
zts100e	Weak Toxi-Rat
zts101e	Toxi-Rat
zts102e	Strong Toxi-Rat
zts103e	Baby Steel Rat
zts104e	Steel Rat
zts105e	Big Steel Rat
zts106e	Happy Miner
zts107e	Miner
zts108e	Angry Miner
zts109e	Weak Expy-Miner
zts110e	Expy-Miner
zts111e	Strong Expy-Miner
zts112e	Tired Miner-Chief
zts113e	Miner-Chief
zts114e	Strong Miner-Chief
zts115e	Weak Swordsman Koaren
zts116e	Swordsman Koaren
zts117e	Strong Swordsman Koaren
zts118e	Tired Archer Koaren
zts119e	Archer Koaren
zts120e	Strong Archer Koaren
zts121e	Rookie knight Koaren
zts122e	Knight Koaren
zts123e	Elite knight Koaren
zts124e	Not used
zts125e	ToT member
zts126e	Andrew Exper
zts127e	Conrad Korner
zts128e	Herald Guard
zts129e	Dummy Mandra
zts130e	Weak Vampie
zts131e	Sleepy Walker
zts132e	Flame
zts133e	Angry Flame
zts134e	Warepard
zts135e	Dark Warepard
zts136e	Boing
zts137e	Hard Boing
zts138e	Steel Boing
zts139e	Super Boing
zts140e	Mimic
zts141e	Fat Mimic
zts142e	Agi Mimic
