zts1e	Normaler Effekt
zts2e	Magischer Effekt
zts3e	Giftarten
zts4e	Krankheitsserie
zts5e	Aufladungsserie
zts6e	Gut
zts7e	Neutral
zts8e	Schlecht
zts9e	Dauer: %.1f Sekunden
zts10e	Alle %d Sekunden:
zts11e	Mit einer Wahrscheinlichkeit von %d%%
zts12e	Nebenwirkung nach %.1f Sekunde(n)
zts13e	Erzeugt %s mit einer Wahrscheinlichkeit von %d%%, wenn es freigegeben wird.
zts14e	(Wirkungslevel / %d)
zts15e	(Wirkungslevel * %d)
zts16e	Aufladen
zts17e	Die Energie für den nächsten Angriff ist voll aufgeladen.
zts18e	Leichte Blutung
zts19e	Eine leichte Verletzung erlitten.
zts20e	Giftdorn
zts21e	Durch einen Giftdorn vergiftet.
zts22e	Liebeskummer
zts23e	Du bist zutiefst betrübt.
zts24e	Zorn
zts25e	Der Angriff wird gebündelt und von Zorn geleitet.
zts26e	Wut
zts27e	Fokussiert auf den Angriff und fügt dem Gegner nur kritischen Schaden zu.
zts28e	Raserei
zts29e	Fokussiert nur auf den Angriff und führt schnelle Attacken aus.
zts30e	Blackout
zts31e	Löst einen Blackout aus. Man kann sich nicht mehr verteidigen, da man bewusstlos ist.
zts32e	Demoralisierung
zts33e	Durch die Stärke des Gegners entmutigt.
zts34e	Leim
zts35e	Haftet am Körper und unterbricht den Angriff.
zts36e	Schwerer Leim
zts37e	Klebt am Körper und beeinträchtigt die Bewegung.
zts38e	Angst
zts39e	Verursacht echte Furcht und nimmt jeglichen Spaß am Kampf.
zts40e	Schlachtschrei
zts41e	Ist inspiriert von der Leidenschaft für den Kampf und erhöht die Angriffskraft.
zts42e	Moralschrei
zts43e	Du bist inspiriert von der guten Stimmung und einem Gefühl der Sicherheit.
zts44e	Betrunkenes Gemurmel
zts45e	Fühlt sich aufgrund eines alkoholischen Getränks benommen.
zts46e	PvP-Modus
zts47e	Freundliche Wettkämpfe mit anderen Spielern sind jederzeit möglich.
zts48e	Das Angriffslevel ist verringert.
zts49e	Du bekommst eine Strafe beim Angriff, da dein Angriffslevel abgewiesen wurde.
zts50e	Blutfluch
zts51e	Schwöre auf das Blut und werde mutig.
zts52e	Verängstigt
zts53e	Ist komplett deprimiert und verliert sogar den Willen zu kämpfen.
zts54e	Verwundetes Bein
zts55e	Eine Verletzung der Beine oder Flügel, die die Bewegungen verlangsamt.
zts56e	Blutung
zts57e	Eine leichte Verletzung, die sich verschlimmern kann, wenn sie nicht behandelt wird.
zts58e	Lähmendes Gift
zts59e	Lähmt die Muskeln.
zts60e	Verteidigungsbeseitigendes Gift
zts61e	Leidet selbst bei kleinen Angriffen Schmerzen und wird sehr leicht verletzt.
zts62e	Benommenheitsgift
zts63e	Fühlt sich sehr oft schwindelig.
zts64e	Todesgift
zts65e	Bekommt einen Schock für ein paar Sekunden und der Körper bewegt sich langsamer.
zts66e	Bewegen unterbrechen
zts67e	Wird sehr schwer verletzt und kann sich nicht mehr bewegen.
zts68e	Frost
zts69e	Der Gegner wird eingefroren und ist bewegungsunfähig.
zts70e	Tempo
zts71e	Bewegt sich schnell.
zts72e	Verringert das Körpergewicht, um schnellere Bewegungen zu ermöglichen.
zts73e	Ritual des Falken
zts74e	Verleiht eine unglaubliche Sicht und ermöglicht effiziente Angriffe.
zts75e	Frostschild
zts76e	Der Frostschild erzeugt einen Eispanzer um den Körper und unterbricht Fernangriffe auf dich.
zts77e	Erholungsaura
zts78e	Umgibt den Körper mit warmer Energie und spendet Erholung.
zts79e	Schützendes Licht
zts80e	Umgibt den Körper mit einem hellen, schützenden Licht.
zts81e	Schlaf
zts82e	Fällt sofort in einen tiefen Schlaf, erwacht aber bei Berührung.
zts83e	Erblindung
zts84e	Beeinträchtigt für ein paar Sekunden die Sicht.
zts85e	Giftige Pfeilspitze
zts86e	Behandle die Pfeilspitze mit einem Gift, um den Feind zu vergiften.
zts87e	Giftiger Dolch
zts88e	Behandle den Dolch mit einem Gift, um den Feind zu vergiften.
zts89e	Schwere Blutung
zts90e	Eine ernsthafte Verletzung, die die HP verringert.
zts91e	Untauglichkeit
zts92e	Macht Angriffe oder Verteidigung unmöglich.
zts93e	Schwächungseffekt der Wiederbelebung
zts94e	Verstärkt den Angriff.
zts95e	Verstärkt die Verteidigung.
zts96e	Verstärkt die Nahangriffsverteidigung.
zts97e	Verstärkt die Fernangriffsverteidigung.
zts98e	Verstärkt die Magieverteidigung.
zts99e	Unbegrenzte MP
zts100e	Starke Energie
zts101e	Beschleunigen
zts102e	Schild der Unbesiegbarkeit
zts103e	Lähmendes Gift
zts104e	Unterbricht den Angriff. Kann betäubt sein, bis das Gift neutralisiert wird.
zts105e	Schrumpfhand
zts106e	Schrumpft die Hand und verringert die Angriffskraft.
zts107e	Nebeneffekt des Niesens
zts108e	Ein schwacher Moment von Kukukeen, vielleicht eine gute Zeit anzugreifen?
zts109e	Starker Giftdorn
zts110e	Durch einen starken Giftdorn vergiftet.
zts111e	Dunkelheit von DOOM
zts112e	Je schwächer das Schattenelement ist, desto geringer wird der Effekt eines kritischen Angriffs.
zts113e	Hand des Todes
zts114e	Todesgift
zts115e	Wartezeit für die Mission
zts116e	Du kannst die Mission nochmal bestreiten, sobald die Wartezeit um ist.
zts117e	Lebensdauer magischer Items
zts118e	Gibt dir Informationen über die Lebensdauer magischer Items. Sobald ihre Lebensdauer vorüber ist, verschwinden die Items.
zts119e	Blutung stillen
zts120e	Stillt Blutungen bis maximal Level 4 mit einer Wahrscheinlichkeit von 80%.
zts121e	Brennen
zts122e	Wird durch das Feuer geschwächt und die HP sinken kontinuierlich.
zts123e	Fatales Brennen
zts124e	Tödlicher Blackout
zts125e	Kann sich weder bewegen noch irgendein Item benutzen.
zts126e	Feuersegen
zts127e	Erhält das Feuerelement und erhöht die Feuerresistenz.
zts128e	Verteidigungskraft schwächen
zts129e	Das Verteidigungslevel fällt und verringert die Verteidigungskraft.
zts130e	Schild zerstören
zts131e	Verliert die gesamte Verteidigungskraft für ein paar Sekunden.
zts132e	Schock
zts133e	Der unerwartete Schock unterbricht den Angriff.
zts134e	Stahlhaut
zts135e	Maximiert die Verteidigungskraft und verringert die Angriffskraft.
zts136e	Erhöhung der Moral
zts137e	Erhöht die Moral.
zts138e	Wegrennen
zts139e	Renne weit weg.
zts140e	Falkenauge
zts141e	Erhöht die Wahrscheinlichkeit auf einen erfolgreichen Angriff.
zts142e	Windläufer
zts143e	Erhöht die Bewegungsgeschwindigkeit.
zts144e	Blitzknall
zts145e	Unterbricht den Angriff für eine Weile.
zts146e	Schnell
zts147e	Verkürzt die Abklingzeit des Skills.
zts148e	Absteigen
zts149e	Verzögert die Wirkungsdauer und verlangsamt die Bewegungsgeschwindigkeit.
zts150e	Angriffskraft absorbieren
zts151e	Verringert die Angriffskraft des Gegners und erhöht die eigene.
zts152e	Scharfe Schneide
zts153e	Schärft die Klinge der Waffe.
zts154e	Schneiden
zts155e	Verringert die MP und halbiert die Verteidigung.
zts156e	Fatale Blutung
zts157e	Verringert die HP und verhindert kritische Treffer.
zts158e	Nebel
zts159e	Verringert die Trefferrate.
zts160e	Mentales Gift
zts161e	Verursacht so viel Schaden wie MP verbraucht werden.
zts162e	Versteck
zts163e	Vor dem Feind verstecken.
zts164e	Verstärkendes Gift
zts165e	Reduziert alle Resistenzen und du erhältst alle kritischen Treffer.
zts166e	Magisches Licht
zts167e	Verringert die Trefferrate und die HP des Schattenelements.
zts168e	Manaschild
zts169e	Ersetzt einen Teil des Schadens durch MP.
zts170e	Heilige Waffe
zts171e	Verstärkt das Lichtelement und erhöht die Schattenresistenz.
zts172e	Schatten ausschalten
zts173e	Deaktiviert das Schattenelement.
zts174e	Segnung
zts175e	Verhindert kritische Treffer durch Erhöhung des Verteidigungslevels.
zts176e	Kritischer Treffer
zts177e	Erhöht die Konzentration und die Chance auf kritische Treffer.
zts178e	Sprint
zts179e	Ermöglicht sofort schnelle Bewegungen.
zts180e	Segen des Lieblings
zts181e	Verringert den Manaverbrauch.
zts182e	Erhöht die Erfahrungspunkte.
zts183e	Erhöht die Erfahrungspunkte für eine bestimmte Zeit.
zts184e	Angriffskraft erhöht
zts185e	Erhöht die Angriffskraft für eine bestimmte Zeit.
zts186e	Perfekter Schutz
zts187e	Kann eine bestimmte Zeit lang keinen Angriff ausüben & einstecken.
zts188e	Verzweiflung
zts189e	Kämpfe verzweifelt.
zts190e	Fesseln
zts191e	So überrascht, erfasst zu sein.
zts192e	Kurzer Blackout
zts193e	Kurzer Blackout
zts194e	Schwachstelle aufdecken
zts195e	Deckt Schwachstellen auf und erhält immer kritische Treffer.
zts196e	Starre
zts197e	Lähmt den Körper.
zts198e	Oxidation
zts199e	Beschädigt Kleider und Waffen mithilfe einer starken Säure.
zts200e	Zombie-Infektion
zts201e	Verwandelt sich in einen dummen Zombie und gibt eigenartige Geräusche von sich. Hochansteckend.
zts202e	Zombie-Immunität
zts203e	Verleiht Immunität gegen die Zombie-Infektion.
zts204e	Himmelslied
zts205e	Wird von dem schönen Lied angezogen und verliert den Kampfeswillen.
zts206e	Segen des Glücksschweins
zts207e	Erhöht die Erfahrungspunkte um 10%.
zts208e	Neujahrssegen
zts209e	Erhöht die Angriffs- und Verteidigungskraft um 10%.
zts210e	Valentinssegen
zts211e	Schluchzen & Weinen
zts212e	Schluchzt herzzerbrechend.
zts213e	White Day-Segen
zts214e	Lautlos
zts215e	Benutze die Schutzrolle
zts216e	Bewahrt die Ausrüstung beim Verbessern und das momentane Seltenheitslevel.
zts217e	Nebelgift
zts218e	Der dichte Nebel behindert alle Bewegungen.
zts219e	Duftende Tasche
zts220e	Für saisonale Events. Erhöht die Erfahrungspunkte um 30%.
zts221e	Regenbogenenergie
zts222e	Diese Kraft wird nach gewonnener Regenbogenschlacht erhalten. Die Spezialistenpunkte werden nicht verringert!
zts223e	Regenbogenenergie
zts224e	Rüstungsverstärkung
zts225e	Energieerhöhung
zts226e	Erhöht die maximalen HP/MP für eine bestimmte Zeit.
zts227e	Erhöht die Erfahrungspunkte um 20%.
zts228e	Segen des Altair und des Wega
zts229e	Ancelloan Segen
zts230e	Erhöht die Erfahrungspunkte um 100%.
zts231e	Segen des Schutzengels
zts232e	Erhöht die Erfahrungspunkte des NosMates um 50%.
zts233e	Stromschlag
zts234e	Du wurdest durch einen Stromschlag gelähmt und kannst dich nicht bewegen.
zts235e	Heftiger Stromschlag
zts236e	Du wurdest durch einen heftigen Stromschlag gelähmt und kannst dich nicht bewegen.
zts237e	Versteinerung
zts238e	Aufgrund der Versteinerung kannst du dich nicht bewegen.
zts239e	Mottengift
zts240e	Durch das Mottengift bist du langsamer geworden und musstest einen verheerenden Treffer einstecken.
zts241e	Die Plage
zts242e	Die Pflanzen wurden durch die Krankheit stark beeinträchtigt. Mit Hilfe der Zombie-Immunität kann dies verhindert werden.
zts243e	Blutsaugen
zts244e	Bietet die Möglichkeit, die HP des Gegners zu absorbieren und Schaden zu verursachen.
zts245e	Gedankenkontrolle
zts246e	Dein Geist steht unter der Kontrolle eines Anderen. Das verursacht ernsthaften Schaden.
zts247e	Der Zauber des Lieblings
zts248e	Die Produktionspunkte sind um 20% verringert.
zts249e	Die Pflanzen wurden durch die Krankheit stark beeinträchtigt.
zts250e	Feenverstärker
zts251e	Das Element der Fee wird zusätzlich um 30 erhöht.
zts253e	Erhöht alle Elementarkräfte und die Bewegungsgeschwindigkeit für 10 Minuten.
zts254e	Schüttelfrost
zts255e	Die Bewegungsgeschwindigkeit ist stark verlangsamt, da dein Körper durch die Kälte eingefroren ist.
zts256e	Segen des Wassers
zts257e	Erhält das Wasserelement und erhöht die Wasserresistenz.
zts258e	Gefrieren
zts259e	Du hast einen kritischen Treffer erlitten und kannst keinen Angriff ausführen, da dein Körper durch die Kälte betäubt ist.
zts260e	Verstärker aktiviert
zts261e	Bewegt sich sehr schnell, wenn der Verstärker eingesetzt wird.
zts262e	Giftgas
zts263e	Deine Verteidigung ist unwirksam und du kannst keine Skills wirken.
zts264e	Gebet der Verteidigung
zts265e	Erhöht das Verteidigungslevel und die maximalen HP/MP-Werte des Partners.
zts266e	Gebet des Angriffs
zts267e	Erhöht das Angriffslevel und stärkt die Moral.
zts268e	Die 1. dreifache Aufladung
zts269e	Wurde gesegnet. Die Angriffskraft ist für eine gewisse Zeit erhöht.
zts270e	Die 2. dreifache Aufladung
zts271e	Die 3. dreifache Aufladung
zts272e	Das 2te Giftgas
zts273e	Du kannst keine Skills wirken.
zts274e	Eisschild
zts275e	Beschützt sich selbst und wirkt Frost auf den Gegner.
zts276e	Heiliger Atem
zts277e	Die Kraft aller Gegner reduzieren, die nicht das Lichtelement benutzen.
zts278e	Erhöht die Verteidigung für eine bestimmte Zeit.
zts279e	Reflektiert den erhaltenen Schaden.
zts280e	Airwaves
zts281e	Segen des Seelensteins
zts282e	Wenn du eine Spezialistenkarte trägst, dann bekommst du 50% der Erfahrungspunkte zusätzlich zu dem normalen Joblevel.
zts283e	Spezialisten-Schutzrolle für niedrige Level benutzen.
zts284e	Bei Benutzung kann der Spieler seine Spezialistenkarte von 0-9 verbessern.
zts285e	Spezialisten-Schutzrolle für hohe Level benutzen.
zts286e	Bei Benutzung kann der Spieler seine Spezialistenkarte von 10-14 verbessern.
zts287e	Berserker
zts288e	Erhöht die Angriffs- und Bewegungsgeschwindigkeit und verringert die Verteidigung.
zts289e	Rüstung zerreißen
zts290e	Verringert die Verteidigung des Gegners durch die Zerstörung seiner Rüstung.
zts291e	Geist des Adlers
zts292e	Erweckt den Geist des Adlers in dir.
zts293e	Elementares Leuchten
zts294e	Der Geist des Waldes erhöht deine Lichtresistenz.
zts295e	Geist des Wolfes
zts296e	Erweckt den Geist des Wolfes in dir.
zts297e	Verlust der Elemente
zts298e	Führt zu schlechten Effekten und Leiden des Waldes.
zts299e	Geist des Bären
zts300e	Erweckt den Geist des Bären in dir.
zts301e	Wächtergeist
zts302e	Zum Schutz umhüllt ein Götze den Magier für eine Weile.
zts303e	Dunkler Fluch
zts304e	Das Schattenelement wird durch einen Götzen erhöht.
zts305e	Besessenheit
zts306e	Ein Götze kontrolliert den Geist des Gegners.
zts307e	Trank des Bösen
zts308e	Ein Götze übernimmt den Körper des Gegners.
zts309e	Totenmesse
zts310e	Das Lied des Götzen lässt den Gegner vor Angst zittern.
zts311e	Leben und Tod
zts312e	Erhöht die Angriffs- und Verteidigungskraft für eine bestimmte Zeit um 10%.
zts313e	Segen des neuen Jahres
zts314e	Erhöht die Kampf- und Joberfahrungspunkte für eine bestimmte Zeit um 10%.
zts315e	Verbraucht HP, um die Angriffskraft zu erhöhen.
zts316e	Erkältung
zts317e	Du bekommst eine starke Erkältung und verlierst die Kontrolle über deinen Körper.
zts318e	Pest
zts319e	Du kannst feindlichen Angriffen nicht geschickt ausweichen, weil du so benommen bist.
zts320e	Buff des 1. Jahrestages
zts321e	Erhöht die maximalen HP und MP für 1 Stunde um 10%.
zts322e	Wiederbelebung
zts323e	Ohne den Schwächungseffekt der Wiederbelebung.
zts324e	White Day-Segen
zts325e	Unbesiegbar im PvP
zts326e	Deine HP werden 5 Sekunden lang nicht verringert, während du von Gegnern angegriffen wirst.
zts327e	Das heilige Licht vermindert die Fähigkeiten aller Gegner.
zts328e	Erhöht die Angriffskraft im PvP.
zts329e	Wenn sich der Spieler im PvP befindet, ist die Angriffskraft für eine Stunde um 50% erhöht. Gilt nur in Glacernon.
zts330e	Erhöht die Verteidigung im PvP.
zts331e	Wenn sich der Spieler im PvP befindet, ist die Verteidigung für eine Stunde um 50% erhöht. Gilt nur in Glacernon.
zts332e	Erhöht die Resistenz im PvP.
zts333e	Wenn sich der Spieler im PvP befindet, ist die Resistenz für eine Stunde um 20% erhöht. Gilt nur in Glacernon.
zts334e	Friert den Angreifer nach dem Blocken ein.
zts335e	Spieler-Level/%d
zts336e	Spieler-Level*%d
zts337e	Level/%d
zts338e	Level*%d
zts339e	Erhaltung der Natur
zts340e	Die Elementresistenz wird verbessert.
zts341e	Steigerung der Elementresistenz
zts342e	Leichter Giftdorn
zts343e	Fataler Giftdorn
zts344e	Verdünntes Todesgift
zts345e	Fatales Todesgift
zts346e	Leichtes Nervengas
zts347e	Nervengas
zts348e	Starkes Nervengas
zts349e	Fatales Nervengas
zts350e	Leichte Kälte
zts351e	Schlechte Kälte
zts352e	Fatale Kälte
zts353e	Leichte Verbrennung
zts354e	Heftige Verbrennung
zts355e	Leichter Blackout
zts356e	Fataler Blackout
zts357e	Beschädigen der Verteidigungswaffe
zts358e	Zerbrechen der Verteidigungswaffe
zts359e	Waffe schwächen
zts360e	Waffe beschädigen
zts361e	Waffe zerbrechen
zts362e	Waffe zerstören
zts363e	Leichte Lähmung
zts364e	Lähmung
zts365e	Starke Lähmung
zts366e	Extreme Lähmung
zts367e	Leichte Verzweiflung
zts368e	Ernste Verzweiflung
zts369e	Fatale Verzweiflung
zts370e	Leichte Angst
zts371e	Ernste Angst
zts372e	Fatale Angst
zts373e	Leichter Horror
zts374e	Horror
zts375e	Ernster Horror
zts376e	Fataler Horror
zts377e	Leichte Untauglichkeit
zts378e	Starke Untauglichkeit
zts379e	Ernste Untauglichkeit
zts380e	Leichte Schwächung der Resistenz
zts381e	Schwächung der Resistenz
zts382e	Starke Schwächung der Resistenz
zts383e	Ernste Schwächung der Resistenz
zts384e	Leichte Schwächung des Angriffselements
zts385e	Schwächung des Angriffselements
zts386e	Starke Schwächung des Angriffselements
zts387e	Ernste Schwächung des Angriffselements
zts388e	Leichter Frost
zts389e	Starker Frost
zts390e	Ernster Frost
zts391e	Leichte Versteinerung
zts392e	Starke Versteinerung
zts393e	Ernste Versteinerung
zts394e	Starre
zts395e	Du kannst deinen Körper nicht kontrollieren.
zts396e	Magische Barriere
zts397e	Leichtes Benommenheitsgift
zts398e	Starkes Benommenheitsgift
zts399e	Fatales Benommenheitsgift
zts400e	Bei einem Angriff mit dem heiligen Licht wird die Lichtresistenz verringert.
zts401e	Nicht angreifbar
zts402e	Dunkler Schokoriegel
zts403e	Erhöht die Angriffskraft für 30 Minuten um 10%.
zts404e	Weißer Schokoriegel
zts405e	Die Verteidigung ist für 30 Minuten um 10% erhöht.
zts406e	Stern
zts407e	Erhöht die Erfahrungspunkte 50 Minuten lang um 10%.
zts408e	Starke Schwächung des Angriffselements
zts409e	Ernste Schwächung des Angriffselements
zts410e	Zorn des Stier Buschi
zts411e	Das Stier Buschi wird zornig, wodurch seine Angriffskraft erhöht wird.
zts412e	Erhöht die Verteidigung.
zts413e	Erhöht die Verteidigungkraft für eine gewisse Zeit.
zts414e	Erhöht die Chance auf kritische Treffer.
zts415e	Erhöht die Chance auf kritische Treffer für eine gewisse Zeit.
zts416e	Maximiert magische Angriffe.
zts417e	Maximiert die Magieangriffskraft für eine gewisse Zeit.
zts418e	Elektrischer Schatten
zts419e	Erhöht die Verteidigungskraft.
zts420e	Erhöht die Nahangriffsverteidigung.
zts421e	Für eine gewisse Zeit ist der Schaden erhöht, wenn du einen kritischen Treffer landest.
zts422e	Premium-Medaille (10 Tage)
zts423e	Du kannst den Effekt nutzen, solange er anhält.
zts424e	Premium-Medaille (30 Tage)
zts425e	Premium-Medaille (1 Tag)
zts426e	Atem des Verlierers
zts427e	Das Angriffs- und Verteidigungslevel wird 0.
zts428e	Das Angriffs- und Verteidigungslevel wird 0 und die Bewegungsgeschwindigkeit ist um 2 verringert.
zts429e	Das Angriffs- und Verteidigungslevel wird 0 und die Trefferrate ist um 20 verringert.
zts430e	Eiskette
zts431e	Die Bewegungsgeschwindigkeit ist um 3 verringert.
zts432e	Manaübertragung
zts433e	Erhöht deine Verteidigungskraft und verringert gleichzeitig den erhaltenen Schaden um 30%, wobei deine Mana verbraucht werden.
zts434e	Du erhältst durch den Buff 10 Minuten lang 30% mehr Kampf- und Joberfahrungspunkte.
zts437e	Zusammen mit deinem Freund erhältst du doppelte Erfahrungspunkte. Der Buff verschwindet, sobald sich dein Freund ausloggt.
zts439e	Calvinas' Fluch
zts440e	Du bist von Calvinas' Fluch betroffen. Deine Bewegungsgeschwindigkeit ist verringert.
zts441e	Mana entziehen
zts442e	Raubt deinem Gegner Mana.
zts443e	Schwäche
zts444e	Offenbart deinem Gegner deine Schwäche.
zts445e	Du kannst dich nicht bewegen, da du einen Stromschlag bekommen hast.
zts446e	Verbraucht HP, um die Angriffskraft zu erhöhen.
zts447e	Fluch des Kommandanten
zts448e	Der Fluch des Kommandanten. Verringert die Angriffs- und Verteidigungskraft für 60 Sekunden.
zts449e	Explosionsschock
zts450e	Die Bewegungsgeschwindigkeit wird verringert und es ist nicht möglich, Angriffen auszuweichen.
zts451e	Der Fluch des Elitekommandanten
zts452e	Der Fluch des Elitekommandanten. Verringert die Angriffs- und Verteidigungskraft für 120 Sekunden.
zts453e	Erhöht die Erfahrungspunkte um 100%. Kann mit Ancelloan Segen verwendet werden.
zts454e	Erhöht die Erfahrungspunkte um 50%. Kann mit Ancelloan Segen verwendet werden.
