zts1e	Attaque spéciale
zts2e	L'attaque est interrompue.
zts3e	L'attaque rapprochée est inefficace.
zts4e	L'attaque à distance est inefficace.
zts5e	La magie n'est pas permise.
zts6e	Le ciblage est inefficace.
zts7e	Aucune attaque n'est permise.
zts8e	Les attaques rapprochées ne sont pas permises.
zts9e	Les attaques à distance ne sont pas permises.
zts10e	Les attaques magiques ne sont pas permises.
zts11e	L'attaque échoue si tu manques ta cible (sauf attaque magique).
zts12e	Défense spéciale
zts13e	Interrompre la défense
zts14e	La défense d'attaque rapprochée est inefficace.
zts15e	La défense à distance est inefficace.
zts16e	La défense magique est inefficace.
zts17e	L'esquive est annulée.
zts18e	Toute les défenses sont neutralisées.
zts19e	La défense d'attaque rapprochée est neutralisée.
zts20e	La défense d'attaque à distance est neutralisée.
zts21e	La défense magique est neutralisée.
zts22e	Aucune défense n'est possible.
zts23e	La force d'attaque est modifiée.
zts24e	Toutes les attaques sont modifiées.
zts25e	L'attaque rapprochée est modifiée.
zts26e	L'attaque à distance est modifiée.
zts27e	L'attaque magique est modifiée.
zts28e	Le niveau d'attaque est modifié.
zts29e	Toutes les attaques augmentent de %s.
zts30e	Toutes les attaques diminuent de %s.
zts31e	La force d'attaque rapprochée augmente de %s.
zts32e	L'attaque rapprochée diminue de %s.
zts33e	L'attaque à distance augmente de %s.
zts34e	L'attaque à distance diminue de %s.
zts35e	La force d'attaque magique augmente de %s.
zts36e	La force d'attaque magique diminue de %s.
zts37e	Le niveau d'attaque augmente de %s.
zts38e	Le niveau d'attaque diminue de %s.
zts39e	La cible est modifiée.
zts40e	Toutes les cibles sont modifiées.
zts41e	La cible proche est modifiée.
zts42e	La cible distante est modifiée.
zts43e	La concentration est modifiée.
zts44e	La précision de toutes les attaques augmente de %s.
zts45e	La précision de toutes les attaques diminue de %s.
zts46e	La précision des attaques rapprochées augmente de %s.
zts47e	La précision des attaques rapprochées diminue de %s.
zts48e	La précision des attaques à distance augmente de %s.
zts49e	La précision des attaques à distance diminue de %s.
zts50e	Le niveau de concentration augmente de %s pendant l'attaque magique.
zts51e	Le niveau de concentration diminue de %s pendant l'attaque magique.
zts52e	L'attaque critique est modifiée.
zts53e	La probabilité d'infliger un coup critique est modifiée.
zts54e	Les dégâts d'attaque critique sont modifiés.
zts55e	Doubles dégâts
zts56e	La probabilité d'attaque critique de l'adversaire est modifiée.
zts57e	Les dégâts d'attaque critique de l'adversaire sont modifiés.
zts58e	La probabilité de provoquer un coup critique augmente de %s%%.
zts59e	La probabilité de provoquer un coup critique diminue de %s%%.
zts60e	Les dégâts infligés par coups critiques augmentent de %s%%.
zts61e	Les dégâts augmentent de %s%%, tandis que la probabilité de coups critiques diminue.
zts62e	Avec une probabilité de %s%%, les dégâts augmentent de %s%%.
zts63e	Avec une probabilité de %s%%, les dégâts diminuent de %s%% en cas d'attaque.
zts64e	La probabilité de subir un coup critique augmente de %s%%.
zts65e	La probabilité de subir un coup critique diminue de %s%%.
zts66e	Les dégâts causés par coup critique augmentent de %s%%.
zts67e	Les dégâts subis par des coups critiques diminuent de %s%%.
zts68e	Attaque critique spéciale
zts69e	Une attaque critique peut être lancée à coup sûr.
zts70e	Aucune attaque critique certaine ne peut être lancée.
zts71e	Les coups critiques sont toujours subis.
zts72e	Les coups critiques sont parfois subis.
zts73e	Probabilité normale de coups critiques
zts74e	Un coup critique est automatiquement provoqué.
zts75e	Aucun coup critique n'est jamais provoqué.
zts76e	Les coups critiques sont toujours subis.
zts77e	Aucun coup critique n'est jamais subi.
zts78e	Avec une probabilité de %s%%, les coups critiques sont toujours provoqués.
zts79e	Avec une probabilité de %s%%, un coup critique est subi.
zts80e	L'élément est modifié.
zts81e	L'élément Feu est modifié.
zts82e	L'élément Eau est modifié.
zts83e	L'élément Lumière est modifié.
zts84e	L'élément Obscurité est modifié.
zts85e	Tous les éléments à venir sont modifiés.
zts86e	L'élément Feu augmente de %s.
zts87e	L'élément Feu diminue de %s.
zts88e	L'élément Eau augmente de %s.
zts89e	L'élément Eau diminue de %s.
zts90e	L'élément Lumière augmente de %s.
zts91e	L'élément Lumière diminue de %s.
zts92e	L'élément Obscurité augmente de %s.
zts93e	L'élément Obscurité diminue de %s.
zts94e	Chaque élément augmente de %s.
zts95e	Chaque élément diminue de %s.
zts96e	Les dégâts augmentent.
zts97e	La probabilité augmente.
zts98e	Avec une probabilité de %s%%, les dégâts augmentent de %s%%.
zts99e	Avec une probabilité de %s%%, les dégâts diminuent de %s%%.
zts100e	L'élément Feu augmente de %s.
