zts1e	Effet général
zts2e	Effet magique
zts3e	Sortes de poison
zts4e	Série de maladies
zts5e	Série de charges
zts6e	Positif
zts7e	Neutre
zts8e	Négatif
zts9e	Durée : %.1f secondes
zts10e	Toutes les % secondes :
zts11e	[Avec une probabilité de %d %%]
zts12e	Effet secondaire après %.1f secondes
zts13e	Il y a une probabilité de %d%% de provoquer %s quand activé.
zts14e	(Niveau d'effet / %d)
zts15e	(Niveau d'effet * %d)
zts16e	Recharge
zts17e	L'énergie est complètement rechargée pour la prochaine attaque.
zts18e	Saignement léger
zts19e	Une légère blessure est infligée.
zts20e	Épine toxique
zts21e	L'épine toxique provoque un empoisonnement.
zts22e	Chagrin d'amour
zts23e	Tu es profondément affligé.
zts24e	Colère
zts25e	L'attaque est concentrée et guidée par la colère.
zts26e	Fureur
zts27e	L'attaque est focalisée pour infliger à l'adversaire uniquement des dégâts critiques.
zts28e	Rage
zts29e	L'attaque est focalisée pour provoquer des attaques rapides.
zts30e	Syncope
zts31e	La syncope provoquée rend inconscient et empêche donc de se défendre.
zts32e	Démoralisation
zts33e	La puissance de l'adversaire démoralise.
zts34e	Colle
zts35e	Le corps en est recouvert, ce qui bloque l'attaque.
zts36e	Colle forte
zts37e	La colle se répand sur le corps et restreint les déplacements.
zts38e	Peur
zts39e	La terrible peur provoquée fait perdre la joie de combattre.
zts40e	Cri de combat
zts41e	La rage du combat augmentant, la force d'attaque augmente elle aussi.
zts42e	Cri de moral
zts43e	Tu te sens reboosté par ta bonne humeur et un sentiment de sécurité.
zts44e	Murmures ivres
zts45e	La boisson alcoolisée provoque un hébètement.
zts46e	Mode PvP
zts47e	Les compétitions amicales entre joueurs sont à tout moment possibles.
zts48e	Le niveau d'attaque diminue.
zts49e	Tu subis une pénalité en attaquant, car ton niveau d'attaque a été rejeté.
zts50e	Malédiction du sang
zts51e	Jure sur le sang et deviens courageux.
zts52e	Effrayé
zts53e	Sous l'effet de la déprime, la volonté de combattre s'éteint.
zts54e	Jambe blessée
zts55e	Cette blessure aux jambes ou aux ailes ralentit les mouvements.
zts56e	Saignement
zts57e	Cette blessure légère peut empirer si elle n'est pas traitée.
zts58e	Poison paralysant
zts59e	Le muscles se paralysent.
zts60e	Poison antidéfense
zts61e	Sous le coup de la douleur après de faibles attaques, la cible est aisément blessée.
zts62e	Poison engourdissant
