zts1e	NosVille
zts2e	Plaine de NosVille
zts3e	Prairie des mines
zts5e	Sentier envoûté
zts6e	Entrée de Fernon
zts8e	Mont Krem ouest
zts9e	Mont Krem est
zts10e	Cime du mont Krem
zts12e	Falaise rocheuse
zts15e	Mine désertée
zts21e	Plaine ensoleillée
zts22e	Temple Fernon
zts23e	Labo secret
zts24e	Crypte Fernon
zts25e	Tour temple Fernon
zts26e	Caverne de NosCamp
zts27e	Cave profonde
zts28e	Vallée brumeuse
zts29e	Pic du crépuscule
zts30e	Antre des esprits
zts31e	Grotte du mont
zts32e	Cachot de Shanera
zts33e	Sapinière
zts34e	Orée de Sapinière
zts35e	Mine fluviale
zts36e	Tunnel enfoui
zts37e	Falaise escarpée
zts38e	Érablière
zts39e	Orée d'Érablière
zts40e	Sol de forêt
zts41e	Seli-Lusha
zts42e	Chemin souterrain
zts43e	Citadelle
zts44e	Toundra Bitoren
zts45e	Canyon de Share
zts46e	Place Port Alveus
zts47e	Marché Port Alveus
zts48e	Bateau
zts49e	Désert glacé nord
zts50e	Forêt de Lorten
zts51e	Océan de Radikun
zts52e	Océan de Radikun
zts53e	Voie du Poulailler
zts54e	Mine ouest 1
zts55e	Mine ouest 2
zts56e	Entrée de jelly
zts57e	Mine nord
zts58e	Entrée de ginseng
zts59e	Sentier envoûté
zts60e	Tour du sorcier
zts61e	Temple Fernon 1
zts62e	Poulailler secret
zts63e	Pièce secrète
zts64e	Temple Fernon 2-10
zts65e	Temple Fernon -1
zts66e	Sortie est
zts67e	Sortie nord
zts68e	Sortie ouest
zts69e	Temple Fernon -2
zts70e	Portes-mystères
zts71e	Sentier en zigzag
zts72e	Porte du deuil
zts73e	Crypte Fernon 1
zts74e	Dédale spiralé E
zts75e	Dédale spiralé O
zts76e	Crypte Fernon 2
zts77e	Crypte Fernon 3
zts78e	Crypte Fernon 4
zts79e	Dédale spiralé N
zts80e	Dédale spiralé S
zts81e	Mont Krem ouest
zts82e	Mont Krem est
zts83e	Cime du mont Krem
zts84e	Grotte du mont 1
zts85e	Grotte du mont 2
zts86e	Grotte du mont 3
zts87e	Zone rouge
zts88e	Zone verte
zts89e	Zone bleue
zts90e	Tunnel froid
zts91e	Grotte du mont 4
zts92e	Grotte du mont 5
zts93e	Grotte du mont 6
zts94e	Crevasse secrète
zts95e	Dédale de douleur
zts96e	Sentier brumeux
zts97e	Sentier arachnide
zts98e	Zone dévastée
zts99e	Zone jaune
zts100e	Citadelle des anges
zts101e	Citadelle des démons
zts102e	Terre gelée ouest
zts103e	Terre gelée est
zts104e	Trône de Morcos
zts105e	Abîme des ténèbres
zts106e	Nid de Calvina
zts107e	Port désertique de Mortaz
zts108e	Environs du port
zts109e	Près du camp Neil
zts110e	Camp de Neil
zts111e	Camp marchand est
zts112e	Près camp voleurs
zts113e	Camp voleurs du désert
zts114e	Près du camp Melki
zts115e	Camp de Melki
zts116e	Camp d'Akamur
zts117e	Camp marchand ouest
zts118e	Environs du camp de Kerus
zts119e	Camp de Kerus
zts120e	Près du camp Garton
zts121e	Camp de Garton
zts122e	Chemin du Temple
zts123e	Temple oublié
zts124e	Désert perdu
zts125e	Cité des aigles du désert
zts126e	Zone du chaos
zts127e	Environs du chaos
zts128e	Patio des voleurs
zts129e	Centre des voleurs
zts130e	Patio d'Aster
zts131e	Centre d'Aster
zts132e	Patio de Rashid
zts133e	Centre de Rashid
zts134e	Chemin de l'autel
zts135e	Chemin secret
zts136e	Crypte Fernon 3
zts137e	Crypte Fernon 5
zts138e	Grotte cristalline
zts139e	Autel cristallin
zts210e	Désert du Nord
zts211e	Porte du volcan
zts212e	Crocs de Kertos
zts213e	Sentier est
zts214e	Sentier ouest
zts215e	Griffes de Valakus
zts216e	Ailes du phénix
zts217e	Aile gauche
zts218e	Aile droite
zts219e	Route de Katol
zts220e	Caverne de Kertos
zts221e	Caverne de Valakus
zts222e	Place de Grenigas
