zts1e	Meilleur service
zts2e	Médaille d'Erenia
zts3e	[Effet principal] Chaque stock sera aggrandi de 8,  en somme de 24, [n] Lorsqu'il est utilisé avec la médaille de l'aventurier l'augmentation sera de 36 [n] [Effet supplémentaire] l'expérience de combat  sera augmentée de 15%. [n] les points d'expérience de l'animal et du partenaire  de 15%. [n] ( seront augmentés de 30% lorsque la médaille de de l'aventurier est utilisée avec) Gain en Or augmenté de 20%. [n] Gain de Réputation augmenté 20%
zts4e	Amoureux des aventures faciles ?
zts5e	Médaille de l'aventurier
zts6e	[Effet principal] Tous les stocks seront aggrandis de 4,  au total de 12,[n] lorsqu'il est utlisé avec la médaille d'Erenia, l'aggrandissement sera de 36 [n][Effet secondaire] L'expérience de combat sera augmentée de 15 %. [n] l'expérience de métier de 15 %. [n] Les points d'expérience de l'animal et du partenaire  seront augmentés de 15%. (augmentation de 30 % en cas d'utilisation avec la médaille d'Erenia)
zts7e	Va au delà des limites des compétences de la Fée !!!
zts8e	Sellaim
zts9e	Cette fée du Feu peut évoluer jusqu'au niveau 70.[n]Elle a les mêmes compétences que la fée du Feu.[n]C'est objet n'est pas négociable.[n][n]
zts10e	Élément Eau renforcé
zts11e	Woondine
zts12e	Esprit d'Eau ; peut augmenter jusqu'à 70.[n]Possède les mêmes compétences que la fée d'eau.[n]Cet objet ne peut être échangé entre les utilisateurs.[n]
zts13e	Élément Lumière renforcé
zts14e	Eperial
zts15e	Esprit de Lumière ; peut augmenter jusqu'à 70.[n]Possède les mêmes compétences que la fée de lumière.[n]Cet objet ne peut être échangé avec les autres joueurs.[n]
zts16e	Montre le pouvoir de l'ombre
zts17e	Turik
zts18e	Esprit d'Ombre ; peut augmenter jusqu'à 70.[n] Possède les mêmes compétences de la fée d'ombre.[n] Cet objet ne peut être échangé entre joueurs.
zts19e	L'utilisation augmente t-elle vite ?
zts20e	Grande Sellaim
zts21e	Esprit du feu ; peut évoluer jusqu'au niveau 70[n]Possède les mêmes compétences que la fée du Feu[n]Ne peut être échangé[n]
zts22e	Directement utilisable !
zts23e	Grande Woondine
zts24e	Esprit de l'eau ; peut évoluer jusqu'à 70.[n] Commence à partir de 40 et non pas de 1.[n] a les mêmes compétence que la Fée de l'esu [n] Ne peut pas être commercialisé [n]
zts25e	Trop impatient ?
zts26e	Grande Eperial
zts27e	Esprit de la Lumière;  peut évoluer jusqu'à 70. [n] Commence à partir de 40 et non pas de 1. [n] possède les mêmes propriétés que la Fée de a Lumière [n]. Ne peut être commercialisé [n]
zts28e	Prèt pour le lancement !
zts29e	Grande Turik
zts30e	Esprit de l'Obscurité ;  peut évoluer jusqu'à 70. [n] Commence à partir de 40 et non pas de 1. [n] possède les mêmes propriétés que la Fée de l'Obscurité [n]. Ne peut être commercialisé [n]
zts31e	Emplacement d'entrepôt à louer
zts32e	Entrepôt géant (30 jours)
zts33e	Tu profites de 56 emplacements dans ton Mini-pays.[n]La durée d'utilisation commence dès que tu l'installes.[n][Attention][n]L'entrepôt disparaîtra une fois la durée d'utilisation écoulée. Alors, pense à prévoir un autre entrepôt.[n]Si l'entrepôt est petit, tu ne pourras pas y stocker tous tes objets. Mieux vaut donc faire le tri dans tes objets.
zts34e	Donne un Surnom à ton animal !
zts35e	Badge pour familiers
zts36e	Donne un nom à ton animal. [n] Disparaît après usage [n]
zts37e	Donne un nom à ton animal
zts38e	5x badge pour NosMates
zts39e	Donne un nom à ton animal. [n] Achète un Lots de 5 Noms pour ton animal [n]
zts40e	Pour un bel animal
zts41e	3x croquettes de qualité
zts42e	La loyauté de l'animal devient maximale. [n] Élevation supplémentaire du niveau  de 1 [n] Applicable que lorsque le niveau de l'animal est 5 niveaux en dessous de celui du joueur. [n] (lorsque le joueur est au niveau 50,  il peut augmenter jusqu'à 45) [n]
zts43e	Fais gaffe à ta santé
zts44e	Médicament pour partenaire
zts45e	La familiarité de l'animal devient maximale. [n] Élevation supplémentaire du niveau  de 1 [n] Applicable que lorsque le niveau de l'animal est 5 niveaux en dessous de celui du joueur. [n] (lorsque le joueur est au niveau 50,  il peut augmenter jusqu'à 45) [n]
zts46e	Laisse pas ton animal seul
zts47e	Perle de familier
zts48e	Tu peux mettre ton animal dans une perle et la mettre dans ton stock [n] peut être échanger avec d'autres joueurs [n][Avertissement] Les caractéristiques  de l'animal restent inchangées, mais son nom est supprimé.[n] lorsque le Niveau de l'animal est élevé, [n] il peut être gardé dans le Mini-pays mais ne peut devenir un NosMate.[n]
zts49e	Echange ton Partenaire
zts50e	Perle pour retenir ton partenaire
zts51e	Tu peux retenir ton partenaire dans une boule à l'intérieur de ton magasin ou dans ton stock [n] Peut être échanger avec d'autres joueurs. [n] [Attention] Le partenaire doit être dépourvu de tout équipement pendant qu'il est dans la boule.[n] Si le même partenaire s'y trouve déjà, tu dois  d'abord le sortir. [n] lorsque le niveau du partenaire est plus élevé que celui du joueur,[n] la boule contenant le partenaire peut être conservé dans le Mini-pays  mais  il ne peut pas devenir un Nosnmate.[n]
zts52e	Echangeons-nous des cartes !
zts53e	Boîte à carte de spécialiste
zts54e	Tu peux déposer ici une carte de spécialiste.[n]Tu as ainsi la possibilité de l'échanger à d'autres joueurs.[n]Le niveau et l'expérience seront conservés.[n]
zts55e	Paquet du Spécialiste Extra
zts56e	Petit chargeur spécial
zts57e	Tous les HP sont rétablis.[n]Les points de spécialiste augmentent de 30 000.[n]
zts58e	Chargeur spécial moyen
zts59e	Tous les HP sont rétablis.[n]Les points de spécialiste augmentent de 70 000.[n]
zts60e	Paquet de spécialiste Deluxe
zts61e	Grand Chargeur spécial
zts62e	Tous les HP/MP sont rétablis et tous les effets négatifs sont levés.[n]Les points de spécialiste augmentent de 180 000.[n]
zts63e	Assure le pari !
zts64e	Amulette de la Bénédiction de Dieu
zts65e	Peut être utilisé trois fois [n] Augmente  la probabilité  de réussite lors des paris de 10% et protège  l'arme lors  d'une attaque manquée [n] Peutr être utilisé avec les armes et les équipements.
zts66e	Parier dans le calme !
zts67e	Amulette de la protection divine
zts68e	Peut être utilisé trois fois [n] Protège ton arme en cas d'attaque manquée dans un duel [n] Peut être utilisé avec les armes et les équipements [n]
zts69e	Réutilisation de l'équipement
zts70e	Amulette de renforcement
zts71e	Peut être utilisé trois fois [n] Peut améliorer l'équipement même au cas où le niveau ne change pas [n] Peut être utilisé avec les armes et les équipements [n]
zts72e	Approvisionne toi une fois pour de bon !
zts73e	99 grands breuvages complets
zts74e	Achète 99 grands breuvages complets [n]
zts78e	Tu ne trouveras cette potion nulle part ailleurs !
zts79e	70 sources thermales de Cylloan
zts80e	3 000 HP/MP sont rétablis.
zts84e	Tu me manques !
zts85e	10 Ailes de l'amitié
zts86e	Peut te téléporter vers tout joueur qui s'est enregistré comme ton ami. [n] Ne peut être utilisé que lorsque l'ami se trouve sur un terrain normal. [n] Pour être téléporté, il suffit d'appuyer le bouton "Bouger" dans la fenêtre du  Messager [n]
zts87e	Pare toi ainsi que ton partenaire
zts88e	Escrimeur Wax A, qu'est ce t'es beau !!
zts89e	Voici par exemple un Épéiste.[n]Il existe d'autres cartes pour les Sorciers et les Archers.[n][n]Je dois me différencier des autres ! La même coiffure que tout le monde ?[n]Ce n'est pas mon style ! Je suis unique et ma coiffure doit l'être aussi ![n]Trouver la bonne coiffure est tout un art.[n]Les Aventuriers ne peuvent pas l'utiliser.[n][n]
zts90e	Cire des Archer A, Tu es ma bien-aimée !
zts91e	Voici un exemple pour les Archers.[n]Il existe d'autres images complètement différentes pour les Épéistes et les Sorciers.[n][n]Mais je veux sortir du lot. La même coiffure que tout le monde ? Très peu pour moi... Je suis unique et ma coiffure aussi ! La coiffure est tout un art.[n]Les Aventuriers ne peuvent pas l'utiliser.
zts92e	Cire du Sorcier A,Tu es le meilleur !
zts93e	Voici par exemple un Sorcier.[n]Il existe d'autres cartes pour les Épéistes et les Archers.[n][n]Je dois me différencier des autres ! La même coiffure que tout le monde ?[n]Ce n'est pas mon style ! Je suis unique et ma coiffure doit l'être aussi ![n]Trouver la bonne coiffure est tout un art.[n]Les Aventuriers ne peuvent pas l'utiliser.[n][n]
zts94e	Toi beau gosse !!!
zts95e	Épéiste, Cire B
