zts1e	一般效果
zts2e	魔法效果
zts3e	毒系
zts4e	疾病系
zts5e	集氣系
zts6e	完整的
zts7e	中立
zts8e	損壞的
zts9e	持續時間%.1f秒
zts10e	每%d秒，
zts11e	以%d%%機率，
zts12e	%.1f秒後發動第二症狀
zts13e	解除時以 %d%%的機率發生 [%s]
zts14e	(施展者等級 / %d)
zts15e	(施展者等級 * %d)
zts16e	集氣
zts17e	下次攻擊時要使用的氣集合完畢
zts18e	微弱出血
zts19e	受到微弱傷害的狀態
zts20e	刺毒
zts21e	被有毒的刺刺傷所感染的狀態
zts22e	咒壓惡疾　
zts23e	身體彷若遭受千斤重壓一樣
zts24e	憤怒
zts25e	因氣憤而失去理智，只顧發動攻擊的狀態
zts26e	怒火
zts27e	因極為憤怒而發動致命傷害攻擊的狀態
zts28e	激烈怒火
zts29e	因激烈的憤怒而以極快的速度發動攻擊的狀態
zts30e	暈厥
zts31e	暫時失去意識，即使被敵人攻擊也無法回擊
zts32e	士氣降低
zts33e	被對方的氣勢壓制而失去了鬥志的狀態
zts34e	超能膠
zts35e	身體被黏著造成攻擊阻礙
zts36e	超級超能膠
zts37e	被強力的能膠黏著令身體動彈不得
zts38e	恐懼
zts39e	內心遭受驚嚇而完全喪失鬥志的狀態
zts40e	戰場之吹息
zts41e	強烈的戰鬥意念而使戰鬥力提升的狀態
zts42e	氣勢之咆哮
zts43e	士氣被鼓舞而令人感覺會打勝仗的狀態
zts44e	微醉
zts45e	受到酒精的影響令思覺開始迷糊。
zts46e	PvP模式
zts47e	可隨時與其他玩家進行對戰的狀態
zts48e	攻擊等級降低
zts49e	受到攻擊懲罰而使攻擊等級降低的狀態
zts50e	血界契約
zts51e	以自己的鮮血做為誓約，提升勇猛及鬥志的狀態
zts52e	四面楚歌
zts53e	被對方完全壓制而使士氣、鬥志完全喪失
zts54e	主攻腿部
zts55e	腿或翅膀等行動相關的部位受到傷害而使動作變遲緩
zts56e	出血
zts57e	遭受攻擊而出現的嚴重傷口，放置不管可能會發炎
zts58e	筋力弱化毒
zts59e	中了讓肌肉無力的毒，令人感覺全身失去重心
zts60e	防禦弱化毒
zts61e	小小的衝擊也能感覺到極大痛苦而受到傷害
zts62e	暈眩毒
zts63e	瞬間令人暈眩
zts64e	猛毒
zts65e	身體遭受毒性侵蝕而瞬間休克
zts66e	無法移動
zts67e	四肢部位受到嚴重傷害而完全無法行動的狀態
zts68e	冰封
zts69e	身體結冰而無法動彈
zts70e	加速術
zts71e	身體變的很輕快，可以快速移動的狀態
zts72e	身體變的非常輕快，可非常快速的移動
zts73e	鷹目
zts74e	得到由如老鷹般銳利的視野，使攻擊更加準確的狀態
zts75e	玄氣盾
zts76e	寒冷的氣流圍繞著身體，可阻擾遠距離物體
zts77e	回復氣流
zts78e	溫暖的氣流包圍著身體，並慢慢的使身體恢復
zts79e	光之護罩
zts80e	明亮的光罩圍著身體周圍並保護身體
zts81e	入睡
zts82e	瞬間陷入沉睡，但是只要有人碰一下就會醒來
zts83e	煙幕
zts84e	暫時讓眼睛看不到
zts85e	箭峰塗毒
zts86e	在箭矢上塗上劇毒，使用後可造成毒之感染
zts87e	短刺塗毒
zts88e	在短劍上塗上劇毒，使用後可造成毒之感染
zts89e	嚴重出血
zts90e	因受到嚴重傷害使HP大量減少
zts91e	無力
zts92e	攻擊與防禦都呈現無力狀態
zts93e	弱化復活
zts94e	攻擊力增強
zts95e	防禦力增強
