zts1e	新物品
zts2e	[n]
zts3e	木棍
zts4e	在路邊隨便撿到的棍子[n][n]
zts5e	木棒
zts6e	略為修飾過的棒子[n][n]
zts7e	木劍
zts8e	用堅硬的木材刻出來的木劍[n][n]
zts9e	木槌
zts10e	用木頭作的棒子[n][n]
zts11e	擣槌
zts12e	用來擣米用的槌子，相當的沉重[n][n]
zts13e	修練者木劍
zts14e	為了修煉者而製作的木劍[n][n]
zts15e	冒險家之劍
zts16e	冒險家第一次裝備的[n]正式武器[n][n]
zts17e	木彈弓
zts18e	一開始就帶在身上的彈弓[n][n]
zts19e	有彈性的彈弓
zts20e	彈性極佳，發射出去的威力更大[n][n]
zts21e	狙擊彈弓
zts22e	傳說中這個彈弓能使用再狙擊攻擊[n][n]
zts23e	鋼鐵彈弓
zts24e	用鋼鐵製作的彈弓，任意拉動也不會壞掉[n][n]
zts25e	舊衣
zts26e	開始冒險時，從家裡穿出來的衣服[n][n]
zts27e	運動服
zts28e	運動時穿的衣服[n][n]
zts29e	冒險家之衣
zts30e	冒險家愛穿的衣服[n]復活時以很高的機率不會弱化[n][n]
zts31e	專業運動服
zts32e	伸縮性佳，運動時非常舒適[n][n]
zts33e	旅行者的斗篷套裝
zts34e	即使在冒險中需要露宿也不會感到寒冷[n][n]
zts35e	溫暖的斗篷套裝
zts36e	衣服上有個可以包住身體的抖逢[n]復活時以很高的機率不弱化[n][n]
zts37e	初級劍士之劍
zts38e	成為劍士時基本會得到的劍[n]冒險家無法裝備[n][n]
zts39e	短劍
zts40e	刀刃短的單手劍，初級劍士們常用的武器[n][n]
zts41e	試練之劍
zts42e	將過去在戰場上的戰敗兵用過的兵器重新鑄成的劍[n]爆擊機率很高[n][n]
zts43e	小型劍
zts44e	一般劍士們常用的劍[n][n]
zts45e	青銅紋短劍
zts46e	試練之劍加上青銅紋路鑄成的劍[n]爆擊機率會上升[n][n]
zts47e	長劍
zts48e	中級品級的武器，動線佳，劍士們愛用的劍[n][n]
zts49e	赤魂之劍
zts50e	附上戰士之魂的劍，基本攻擊力弱[n]但是卻能發揮火屬性之力[n][n]
zts51e	細劍
zts52e	刀刃細長的單手劍，非常的輕巧[n][n]
zts53e	金飾長劍
zts54e	在赤魂之劍上加上黃金握柄的劍[n]除了有火之力之外，還能提升致命攻擊機率[n][n]
zts55e	寬劍
zts56e	刀刃很寬的劍[n][n]
zts57e	重裝劍
zts58e	傷害值的落差很大，但是可以給予很大的傷害[n][n]
zts59e	塔斯曼長劍
zts60e	提升掌握感的長劍[n][n]
zts61e	嘉護之劍
zts62e	手握此劍的人，會感受到被神秘力量保護著身體的感覺[n][n]
zts63e	名譽之劍
zts64e	只有被承認的劍士才能得到的武器[n]含有水之力[n][n]
zts65e	初級弓手的弓
zts66e	成為弓手時會得到的弓[n]冒險家無法裝備[n][n]
zts67e	小弓
zts68e	用木頭作成的弓，威力很弱[n][n]
zts69e	靈巧之弓
zts70e	輕巧的弓，因此可以很敏捷的瞄準獵物。命中率增加[n][n]
zts71e	竹弓
zts72e	用竹子做成的弓，耐損度高[n][n]
zts73e	強化弓
zts74e	強化過的敏捷之弓[n]將輕巧又命中率高，但威力弱的弱點補強[n]有增加命中率及威力的效果[n][n]
zts75e	堅木弓
zts76e	將兩片堅韌木料做成的弓，非常的堅固[n]且具有很高的彈性[n][n]
zts77e	馭風之弓
zts78e	研究風的古代弓手製作的弓[n]箭矢會隨風射出，並發揮更有威力的攻擊[n][n]
zts79e	角弓
zts80e	用牛角做裝飾的弓[n]弓手們最想要收藏的武器[n][n]
zts81e	皮革弓
zts82e	把馭風之弓的握感做提升的弓，還使用牛皮做了握把[n]可發動很高的致命傷害[n][n]
zts83e	獵弓
zts84e	很典型的獵弓，耐損力強[n]最常使用在地形險峻的狩獵[n][n]
zts85e	勇猛之弓
zts86e	不懼危險的弓士使用的弓[n]會大幅增加傷害，並含有火之力[n][n]
zts87e	長弓
zts88e	弓身很長的武器[n][n]
zts89e	青銅弓
zts90e	將勇猛之弓加上青銅重新鑄造的弓[n]還可當盾牌使用[n]有著勇猛之弓的攻擊力，再額外附加了防禦力[n][n]
zts91e	精靈弓
zts92e	附有精靈之力的弓，所有屬性之力會增加[n][n]
zts93e	初級咒術師之杖
zts94e	成為咒術師時會得到的法杖[n]冒險家無法裝備[n][n]
zts95e	赤珠法杖
zts96e	鑲著紅色的珠珠[n][n]
zts97e	精藍法杖
zts98e	裝飾著藍色的寶珠[n]寶珠裡附著神秘的力量，可提升魔法之力[n][n]
zts99e	紅寶石法杖
zts100e	用很大的紅寶石裝飾著[n][n]
zts101e	魔力之杖
zts102e	在精藍法杖上灑上神秘咒粉的法杖[n][n]
zts103e	藍珠法杖
zts104e	鑲著藍色的珠珠[n][n]
zts105e	光之杖
zts106e	散發著神秘光芒的法杖，生命再生力會提升[n][n]
zts107e	奧柏之杖
zts108e	鑲著白寶石的法杖[n][n]
zts109e	瑪雅法杖
zts110e	將光之杖上的神秘珠珠重新賦予魔力[n]可使MP再生力提升[n][n]
zts111e	珊瑚法杖
zts112e	用貴重的珊瑚裝飾的法杖[n][n]
zts113e	光榮之杖
zts114e	擁有此法杖者，光榮將伴隨身邊[n]不會受到士氣的影響[n][n]
zts115e	水晶之杖
zts116e	用高級水晶裝飾的法杖[n][n]
zts117e	智力之杖
zts118e	在光榮之杖上，灑上神秘咒粉淨化過的法杖[n][n]
zts119e	暗之杖
zts120e	充滿暗之力的法杖[n][n]
zts121e	皮手套
zts122e	裝備感極佳，方便拉弓[n]遠距離攻擊力會提高[n][n]
zts123e	粗糙手套
zts124e	因材質粗糙，所以武器不容易從手上滑落[n]近距離攻擊力會提高[n][n]
zts125e	冒險家之鞋
zts126e	冒險家穿著鞋子[n][n]
zts127e	後跟強化鞋
zts128e	把鞋子的後跟換成堅硬材質的鞋子[n][n]
zts129e	皮鞋
zts130e	用皮革做成的鞋子[n][n]
zts131e	滑行鞋
zts132e	鞋底使用特殊材質，可快速的滑行[n]聽說本來是做給舞者的鞋子[n][n]
zts133e	熟練冒險家之劍　
zts134e	老練的冒險家所使用的劍[n][n]
zts135e	超強彈弓
zts136e	彈弓之中的彈弓[n][n]
zts137e	初級戰士的弩
zts138e	戰士基本配備的輔助武器[n][n]
zts139e	堅木弩
zts140e	用堅木做成的小弩[n][n]
zts141e	紅心弩
zts142e	弩上有個紅心，命中率很高[n][n]
zts143e	薄手套
zts144e	因為材質很薄，所以沒什麼效果[n][n]
zts145e	橡膠手套
zts146e	手掌處貼著橡膠，搬運東西時很方便[n][n]
zts147e	鋼鐵弩
zts148e	用鋼鐵製成，所以很重。但是攻擊力很強[n][n]
zts149e	名家的弩
zts150e	弩的達人所做的弩，有著優秀的平衡感[n][n]
zts151e	十字弓
zts152e	很典型的十字弓，握感很好[n][n]
zts153e	犀牛角弩
zts154e	用犀牛的角做成的弩，耐損力高且可快速裝填箭矢[n][n]
zts155e	勇猛的十字弓
zts156e	附有勇士的氣魄，可提高士氣[n][n]
zts157e	初級弓手的匕首
zts158e	弓手基本會配戴的輔助武器[n][n]
zts159e	匕首
zts160e	可給予一定傷害的匕首[n][n]
zts161e	試練匕首
zts162e	傳說遇到危急時，威力會非常強的匕首[n]爆擊機率會上升[n][n]
zts163e	精密匕首
zts164e	在匕首上使用神秘的寶石加工過的武器，具有提升所有攻擊力的神秘效果[n][n]
zts165e	名家的匕首
zts166e	製作匕首的達人所做出的高級匕首，有著優秀的平衡感[n][n]
zts167e	短劍
zts168e	很典型的短劍[n][n]
zts169e	紅寶石短劍
zts170e	用紅寶石裝飾著短劍，可讓短劍很顯眼[n][n]
zts171e	精靈短劍
zts172e	附著精靈之力的短劍，包含著四種屬性之力[n][n]
zts173e	初級咒術師的組合槍
zts174e	咒術師基本配戴的輔助武器[n][n]
zts175e	小組合槍
zts176e	微型的組合槍，火力較弱[n][n]
zts177e	魔力組合槍
zts178e	將魔力灌注在槍身內，加強性能[n][n]
zts179e	黃金組合槍
zts180e	黃金是可提高魔力的材料，用黃金裝飾[n]可提升魔法攻擊力[n][n]
zts181e	名家的組合槍
zts182e	製作組合槍的達人所做出的穩定性極高的組合槍[n]可發動致命打擊[n][n]
zts183e	黃銅組合槍
zts184e	用黃銅製做的組合槍，耐損性高[n]重量太重是個缺點[n][n]
zts185e	月聖痕組合槍
zts186e	上面刻印著月亮紋路的組合槍，有著魔力提升的效果[n][n]
zts187e	暗黑組合槍
zts188e	本身擁有強大威力，深具威脅性[n][n]
zts189e	初級劍士護甲
zts190e	劍士基本裝備的服裝[n][n]
zts191e	粗布護甲
zts192e	只用厚厚的布纏起來做成的護甲，防禦能力差劣[n][n]
zts193e	棉布護甲
zts194e	在厚布裡面填入棉花的護甲，輕巧且保溫性好[n][n]
zts195e	皮甲
zts196e	用厚厚的粗皮做成的一般護甲[n][n]
zts197e	體甲
zts198e	穿著他可提升力量[n]可增加體力[n][n]
zts199e	裝飾皮甲
zts200e	在皮甲上穿上鐵片的護甲，防禦效果並不大[n][n]
zts201e	強化皮甲
zts202e	將兩件皮甲合成後參入精油[n]防禦力好，且又輕巧[n][n]
zts203e	金鱗盔甲
zts204e	用金屬鱗片緊密縫製而成的盔甲[n][n]
zts205e	士氣之甲
zts206e	裝備後不會被士氣上升或下降所影響[n]面對於等級高的敵人會更有利[n][n]
zts207e	鐵盔甲
zts208e	在皮甲上裝上鐵板的盔甲[n][n]
zts209e	黃金盔甲
zts210e	用黃金做裝飾的盔甲[n]華麗但非常沉重[n]魔法防禦的效果強[n][n]
