zts1e	依蘭特村莊
zts2e	依蘭特北部平原
zts3e	西部礦山的魔物
zts5e	小路和大法師之塔
zts6e	比斯特神殿入口
zts8e	林克山地 左側
zts9e	林克山地 右側
zts10e	林克山地山峰
zts12e	翻滾斷層
zts15e	廢礦地區
zts21e	曙光平原
zts22e	比斯特神殿
zts23e	禁斷研究所
zts24e	比斯特地下 秘密地區
zts25e	比斯特神殿 上層
zts26e	nos camp洞穴
zts27e	崔直穴洞
zts28e	霧溪谷
zts29e	黃昏斷崖
zts30e	魂靈穴洞
zts31e	岩山洞窟
zts32e	密普里殿堂
zts33e	黑森林
zts34e	黑森林幽暗之處
zts35e	遠古樹海
zts36e	地下隧道
zts37e	陡峭山崖
zts38e	楓葉森林
zts39e	楓葉森林外側
zts40e	古老樹海深處
zts41e	拔托魯沙
zts42e	地下通道
zts43e	冰封雪堡
zts44e	彼托頓德拉
zts45e	帢雷斯峽谷
zts46e	布洛西德廣場
zts47e	布洛西德商店地區
zts48e	迪斯號
zts49e	北部雪源地帶
zts50e	亡者森林
zts51e	拉迪昆海岸
zts52e	拉迪昆海岸
zts53e	通向吱雞養雞場之路
zts54e	西部第1礦山
zts55e	西部第2礦山
zts56e	軟綿綿廣場入口
zts57e	北部礦山
zts58e	詛咒的山蔘田入口
zts59e	神殿旁小路
zts60e	魔法師的塔
zts61e	比斯特神殿1層
zts62e	秘密的養雞場
zts63e	秘密的房間
zts64e	比斯特神殿2~10層
zts65e	比斯特神殿B1層
zts66e	東部逃生通道
zts67e	北部逃生通道
zts68e	西部逃生通道
zts69e	比斯特神殿B2層
zts70e	6個的關卡
zts71e	彎彎曲曲的通路
zts72e	悲歡的宴會場入口
zts73e	神殿秘密地區B1層
zts74e	龍捲地圖東
zts75e	龍捲地圖西
zts76e	神殿秘密地區B2層
zts77e	施展秘密地區B3層
zts78e	神殿秘密地區B4層
zts79e	龍捲地圖 北
zts80e	龍捲地圖 南
zts81e	克林山地左側地區
zts82e	克林山地右側地區
zts83e	克林山地山峰
zts84e	山地洞窟1
zts85e	山地洞窟2
zts86e	山地洞窟3
zts87e	紅色空間
zts88e	綠色空間
zts89e	藍色空間
zts90e	寒冰洞窟
zts91e	山地洞窟4
zts92e	山地洞窟5
zts93e	山地洞窟6
zts94e	秘密空間
zts95e	苦痛的迷宮
zts96e	陰森的通道
zts97e	魔神的安息處入口
zts98e	黑暗的地方
zts99e	黃色空間
zts100e	冰封雪堡(天使)
zts101e	冰封雪堡(惡魔)
zts102e	西部凍土地帶
zts103e	東部凍土地帶
zts104e	穆克斯的王座
zts105e	黑暗的深淵
zts106e	凱比納斯的巢穴
zts107e	摩魯塔茲港口
zts108e	沙漠港口周邊
zts109e	尼爾的野營地周邊
zts110e	尼爾的野營地
zts111e	商團野營地東部
zts112e	盜賊團巢穴周邊
zts113e	沙漠盜賊團巢穴
zts114e	麥爾奇的野營地周邊
zts115e	麥爾奇的野營地
zts116e	阿卡瑪商團野營地
zts117e	商團野營地西部
zts118e	凱路斯野營地周邊
zts119e	凱路斯野營地
zts120e	卡頓的野營地周邊
zts121e	卡頓的野營地
zts122e	被遺忘的聖殿要道
zts123e	被遺忘的聖殿
zts124e	迪斯丘陵
zts125e	沙漠飛鷹城
zts126e	無法地帶
zts127e	無法地帶周邊
zts128e	舊亞斯特聖殿書庫
zts129e	舊亞斯特聖殿禮拜堂
zts130e	亞斯特聖殿內部聖室
zts131e	亞斯特聖殿中央聖室
zts132e	拉希特聖殿內部聖室
zts133e	拉希特聖殿中央聖室
zts134e	苦澀的祭壇入口
zts135e	舊亞斯特聖殿秘密通路
zts136e	神殿秘密地區B3層
zts137e	神殿秘密地區B5層
zts138e	閃耀的水晶洞穴
zts139e	閃耀的水晶祭壇
zts210e	北方沙漠
zts211e	烈焰之刃入口
zts212e	克拉托斯之牙
zts213e	烈焰之刃東面通道
zts214e	烈焰之刃西面通道
zts215e	巴拉酷斯之爪
zts216e	鳳凰之翼
zts217e	鳳凰之左翼
zts218e	鳳凰之右翼
zts219e	卡頓部米倫之徑
zts220e	克拉托斯之窟
zts221e	巴拉酷斯之窟
zts222e	太陽神之聖殿入口
