zts1e	休息(C)
zts2e	拾獲(X,`)
zts3e	開設商店
zts4e	申請鬥技
zts5e	時空鬥技場
zts6e	未指定
zts7e	[初級]筋力強化修行
zts8e	可讓身體的體質提升3
zts9e	身體體質增加時，近距離攻擊與近距離防禦力會提高
zts10e	[中級] 筋力強化修行
zts11e	可讓身體的體質提升12
zts12e	[高級] 筋力強化修行
zts13e	[最高] 筋力修行
zts14e	[初級] 爆擊力 修行
zts15e	可讓敏捷提升3
zts16e	敏捷增加時，遠距離攻擊、遠距離防禦力、命中、迴避會提高
zts17e	[中級] 爆擊力 修行
zts18e	可讓敏捷提升12
zts19e	敏捷增加時，遠距離攻擊、遠距離防禦力、命中、迴避會提高
zts20e	[高級] 爆擊力 修行
zts21e	[最高] 爆擊力 修行
zts22e	[初級] 智力探索 修行
zts23e	可讓精神體質提升4
zts24e	精神體質增加時，可讓魔法攻擊與魔法防禦力增加
zts25e	[中級] 智力開發 修行
zts26e	可讓精神體質提升15
zts29e	[初級] 飼養法
zts30e	[中級] 飼養法
zts31e	[高級] 飼養法
zts32e	[最高] 飼養法
zts33e	[初級] 生命助長
zts34e	HP最大值增加50
zts35e	[中級] 生命助長
zts36e	HP最大值增加150
zts37e	[高級] 生命助長
zts38e	[最高] 生命助長
zts39e	[初級] 精神煥發
zts40e	MP最大值增加50
zts41e	[中級] 精神煥發
zts42e	MP最大值增加150
zts43e	[高級] 精神煥發
zts44e	[最高] 精神煥發
zts45e	[初級] 頻率度 攻擊編
zts46e	所有的攻擊力提升 2
zts47e	[中級] 頻率度 攻擊編
zts48e	所有的攻擊力提升6
zts51e	[初級] 本體防禦術
zts52e	所有的防禦力提升3
zts53e	[中級] 本體防禦術
zts54e	所有的防禦力提升8
zts57e	[初級] 復原體質提升
zts58e	HP回復量提升 20
zts59e	[中級] 復原體質提升
zts60e	HP回復量提升 50
zts61e	[高級] 復原體質提升
zts62e	[最高] 復原體質提升
zts63e	[初級]凝聚體質提升
zts64e	MP回復量提升 20
zts65e	[中級]凝聚體質提升
zts66e	MP回復量提升 50
zts67e	[高級]凝聚體質提升
zts68e	[最高]凝聚體質提升
zts70e	在一般狀態下也能讓HP與MP慢慢的回復
zts71e	[中級]自我康復
zts72e	[高級]自我康復
zts73e	[初級] 武器駕馭
zts74e	[中級] 武器駕馭
zts75e	[高級] 武器駕馭
zts76e	[初級] 會心一擊研究
zts77e	[中級] 會心一擊研究
zts78e	[高級] 會心一擊研究
zts79e	[初級] 毒抗性體質
zts80e	[中級] 毒抗性體質
zts81e	[高級] 毒抗性體質
zts82e	[初級] 疾病抗體質
zts83e	[中級] 疾病抗體質
zts84e	[高級] 疾病抗體質
zts85e	[初級] 魔法抗體質
zts86e	[中級] 魔法抗體質
zts87e	[高級] 魔法抗體質
zts88e	[初級] 一般抗體質
zts89e	[中級] 一般抗體質
zts90e	[高級] 一般抗體質
zts91e	[初級] 健康報告
zts92e	[中級] 健康報告
zts93e	[高級] 健康報告
zts94e	[初級] 自然體
zts95e	[中級] 自然體
zts96e	[高級] 自然體
zts97e	揮打
zts98e	基本的武器的攻擊。
zts99e	瞄準彈射
zts100e	彈弓的基本使用技術。
zts101e	聚力強攻
zts102e	用力揮舞武器，造成更大損傷的技術。
zts103e	集束射擊
zts104e	集束力量地射擊，造成告更大損傷的技術。
zts105e	揮輪
zts106e	以自我為軸心揮動武器，使周圍的敵人都受到損傷。
zts107e	無差別
zts108e	盲目的攻擊前方的敵人。
zts109e	戰場之吹息
zts110e	讓冒險隊全體的攻擊防禦數值提升。
zts111e	氣勢之咆哮
zts112e	讓冒險隊全體的氣勢提升。
zts113e	精氣
zts114e	集中四周的精氣納為己用，以準備下次攻勢。
zts115e	捕獲
zts116e	鬥氣球
zts117e	冒險家唯一能學到的基礎遠程魔法技術。
zts118e	毫無破綻欺詐術
zts119e	資真價實的熟練欺詐術。
zts120e	GM欺詐術2
zts121e	基本斬術
zts122e	劍士的基本技術，用劍揮斬對方。
zts123e	穿弩
zts124e	使用弩箭的基本技巧。
zts125e	爆怒的一擊
zts126e	向對方使出會心一擊。有2%的機率變成爆怒的狀態。
zts127e	弱點打擊
zts128e	找出敵人的弱點後集中攻擊。
zts129e	劍氣衝擊波
zts130e	以劍氣製造強勁氣流攻擊敵人。
zts131e	包含光屬性。
zts132e	打暈
zts133e	用刀背打暈對方。
zts134e	震動波
zts135e	將氣勁擊入地面，引起的地震令一定範圍敵人受傷。
zts136e	包含火屬性。
zts137e	狂舞
zts138e	一次衝擊前方的眾多敵人。
zts139e	連擊
zts140e	高速的攻擊兩次。
zts141e	疾馳射擊
zts142e	以比風還要快的速度的連射弩箭。
zts143e	挑撥射擊
zts144e	令攻擊其他人的敵人轉攻自己。
zts145e	強勢聚氣
zts146e	聚集力量，準備下次的攻擊。
zts147e	血界契約
