zts1e	幼紅小狐
zts2e	紅小狐　
zts3e	成年紅小狐
zts4e	活潑棕色小狐
zts5e	棕色小狐
zts6e	殘酷棕色小狐
zts7e	溫順野生小狐
zts8e	野生小狐
zts9e	兇殘野生小狐
zts10e	溫順羊咩
zts11e	羊咩
zts12e	狂暴羊咩
zts13e	幼野羚羊
zts14e	野羚羊
zts15e	成年野羚羊
zts16e	溫馴巨角羊
zts17e	巨角羊
zts18e	殘酷巨角羊
zts19e	溫順野生食人花
zts20e	野生食人花
zts21e	殘酷食人花
zts22e	脆弱藥材食人花
zts23e	藥材食人花
zts24e	強壯食人花
zts25e	幼苗史汀奇
zts26e	史汀奇
zts27e	茁壯的史汀奇
zts28e	微毒史汀奇
zts29e	毒史汀奇
zts30e	劇毒史汀奇
zts31e	弱小黃色貝諾
zts32e	黃色貝諾
zts33e	殘酷黃色貝諾
zts34e	弱小紅色貝諾
zts35e	紅色貝諾
zts36e	殘酷紅色貝諾
zts37e	乾扁跳荳
zts38e	跳荳
zts39e	堅硬跳荳
zts40e	野生小跳荳
zts41e	野生跳荳
zts42e	野生大跳荳
zts43e	脆弱刺跳荳
zts44e	尖刺跳荳
zts45e	尖銳刺跳荳
zts46e	乾扁荳莖
zts47e	荳莖
zts48e	堅硬荳莖
zts49e	野生小荳莖
zts50e	野生荳莖
zts51e	野生大荳莖
zts52e	脆弱刺荳莖
zts53e	尖刺荳莖
zts54e	尖銳刺荳莖
zts55e	小蝠鼠妖球
zts56e	蝠鼠妖球
zts57e	威猛蝠鼠妖球
zts58e	小巨翅妖球
zts59e	巨翅妖球
zts60e	強猛巨翅妖球
zts61e	小惡魔翅膀妖球
zts62e	惡魔翅膀妖球
zts63e	大惡魔翅膀妖球
zts64e	黑暗爆破手士兵
zts65e	黑暗爆破手
zts66e	狂暴黑暗爆破手
zts67e	黑暗衝擊手士兵
zts68e	黑暗衝擊手
zts69e	狂暴黑暗衝擊手
zts70e	黑暗追擊手士兵
zts71e	黑暗追擊手
zts72e	狂暴黑暗追擊手
zts73e	小角尤達兵
zts74e	小角尤達
zts75e	狂暴小角尤達
zts76e	獨角尤達士兵
zts77e	獨角尤達
zts78e	狂暴獨角尤達
zts79e	魔翼尤達士兵
zts80e	魔翼尤達
zts81e	狂暴魔翼尤達
zts82e	微型粉紅萊吉姆
zts83e	粉紅萊吉姆
zts84e	輕型粉紅萊吉姆
zts85e	微型紅萊吉姆
zts86e	紅萊吉姆
zts87e	微型紅萊吉姆
zts88e	輕型黑萊吉姆
zts89e	黑萊吉姆
zts90e	微型黑萊吉姆
zts91e	冥界戰士士兵
zts92e	冥界戰士
zts93e	狂暴冥界戰士
zts94e	巨翅冥界戰士士兵
zts95e	巨翅冥界戰士
zts96e	狂暴巨翅冥界戰士
zts97e	小箭豬
zts98e	箭豬
zts99e	狂暴箭豬
zts100e	小毒箭豬
zts101e	毒箭豬
zts102e	狂暴毒箭豬
zts103e	幼鋼鐵箭豬
zts104e	鋼鐵箭豬
zts105e	狂暴鐵箭豬
zts106e	新手礦務士兵
zts107e	新手礦務
zts108e	粗獷新手礦務
zts109e	資深礦務士兵
zts110e	資深礦務
zts111e	力士資深礦務
zts112e	礦務長士兵
zts113e	礦務長
zts114e	狂暴礦務長
zts115e	艾彌爾長劍士兵
zts116e	艾彌爾長劍侍衛
zts117e	艾彌爾長劍隊長
zts118e	艾彌爾弓手士兵
zts119e	艾彌爾弓手侍衛
zts120e	艾彌爾弓手隊長
zts121e	艾彌爾護衛士兵
zts122e	艾彌爾護衛長
zts123e	艾彌爾護衛官
zts124e	不使用
zts125e	ToT 戰隊員
zts126e	安格魯哥爾雅
zts127e	瑪格斯庫琳
zts128e	聖蘭頓護衛
zts129e	毒蜘蛛食人花
zts130e	小蝠鼠妖球精
zts131e	黑暗爆破手士兵
zts132e	獄炎精靈
zts133e	獄炎魔靈
zts134e	腥紅獵獸
zts135e	暗黑腥紅獵獸
zts136e	偵測儀
zts137e	堅硬偵測儀
zts138e	鋼鐵偵測儀
zts139e	堅硬鋼鐵偵測儀
zts140e	深淵寶箱士兵
zts141e	深淵寶箱怪
zts142e	狂暴深淵寶箱怪
zts143e	鋼煉深淵
zts144e	狂暴鋼煉深淵
zts145e	巴特大刀士兵
zts146e	巴特大刀侍衛
zts147e	巴特大刀隊長
zts148e	巴特投槍士兵
zts149e	巴特投槍侍衛
zts150e	巴特投槍隊長
zts151e	巴特突擊士兵
zts152e	巴特突擊侍衛
zts153e	巴特突擊隊長
zts154e	巴比安
zts155e	比斯特 德勒撒斯
zts156e	夢古夢古
zts157e	紅色夢古
zts158e	黑色夢古
zts159e	感冒夢古
zts160e	劍鬥士夢古
zts161e	巨大食人花
zts162e	破滅食人花
zts163e	毒蜘蛛兵
zts164e	史域多
zts165e	史域多祭祀
zts166e	史域多銅像
zts167e	紅色萊吉姆
zts168e	鬼祟萊吉姆
zts169e	粉紅光萊吉姆
zts170e	暗黑萊吉姆
zts171e	黑暗毒蜘蛛
zts172e	破片偵測儀
zts173e	精銳破片偵測儀
zts174e	蒸氣偵測儀
zts175e	精銳蒸氣偵測儀
zts176e	聖誕夢古
zts177e	海洛
zts178e	迎春豬寶寶
zts179e	啡色德舍格
zts180e	碧綠德舍格
zts181e	胖胖鴿子
zts182e	胖熊鳥
zts183e	毒胖熊鳥
zts184e	石槌子莖幹
zts185e	鐵槌子莖幹
zts186e	石斧頭莖幹
zts187e	鐵斧頭莖幹　
zts188e	朽木喪屍
zts189e	狂暴朽木喪屍
zts190e	綠葉精靈
zts191e	綠葉魔怪
zts192e	綠葉刃偵測儀
zts193e	鐵綠葉刃偵測儀
zts194e	灰豺狼
zts195e	灰野豺狼
zts196e	鬃毛豺狼
zts197e	鬃毛野豺狼
zts198e	山洞豬
zts199e	地洞豬
zts200e	山岩烏龜
zts201e	段岩烏龜
zts202e	工蜂巢穴
zts203e	精銳工蜂巢穴
zts204e	狂暴蜂群
zts205e	精銳工蜂群
zts206e	皇后蜂
zts207e	瑰麗皇后蜂
zts208e	巨齒毒蜘蛛
zts209e	劇毒毒蜘蛛
zts210e	殘酷毒蜘蛛
zts211e	毒毒蜘蛛
zts212e	狂暴毒毒蜘蛛
zts213e	毒毒蜘蛛頭目
zts214e	王毒蜘蛛
zts215e	飢餓毒蜘蛛
