zts1e	依蘭特 裝備商店 (使用)
zts13e	你好
zts14e	想要了解什麼?
zts15e	如何強化裝備?
zts16e	強化有什麼好處?
zts17e	如何更換同伴的裝備?
zts18e	旁邊這位長的一模一樣的人是誰?
zts19e	想要強化裝備 ~首先需要雪樂粉末與魂之液.
zts20e	只有武器與服裝可以進行強化，且可以強化到1~10強化的等級越高，所需要的雪樂粉末越多
zts21e	啊！對了，你還要給我進行強化的手續費喔~
zts22e	我要去哪裡找雪樂粉末與魂之液啊?
zts23e	啊~那些東西精練吉溫之石之後就可以得到了
zts24e	吉溫之石通常可以到很多地方收集~利用吉溫之石加上魂之液精練劑進行精練，就可以得到粉末與魂之液了
zts25e	雪樂粉末每次精練都可以得到一點，但是我不能保障每次都可以得到魂之液
zts26e	如果你的運氣很好的話，說不定也可以得到很完整的魂之液呢.
zts27e	好，知道了
zts28e	強化武器或服裝時，攻擊等級或防禦等級也會上升喔
zts29e	可是物品上只會顯示 + 的標示而已，沒有其他變化耶~
zts30e	沒錯！物品的能力值是沒有任何的變化
zts31e	但是，實際戰鬥的時候，會依照等級的差異使攻擊力與防禦力有所變化，所以呢~只要等級有變高，戰鬥的時候也會變的比較輕鬆一點喔
zts32e	攻擊與防禦力會有什麼樣的變化呢?
zts33e	會比較攻擊者的攻擊等級與防禦者的防禦等級，再依照這些的差異來提升數值
zts34e	通常等級的差異越多，實際威力的差異也會越大，所以等級越高，性能就會變的更佳
zts35e	哦~原來如此！了解了
zts36e	想看什麼東西呢?
zts37e	我要看武器
zts38e	我要看服裝
zts39e	我要看其他裝備
zts40e	同伴裝備是指，跟你在一起的同伴們所配戴的裝備.
zts41e	如果想把他們變的更強，那就要製作同伴裝備了
zts42e	製作同伴裝備很簡單，只要把你在使用的武器或服裝拿給我交換就可以了
zts43e	這樣我就可以製作成跟那些裝備同樣能力的同伴專用裝備了，但是，近距離只能變成近距離的，遠距離的只能變成遠距離的喔！
zts44e	如果你的同伴專門使用近距離攻擊時，應該要配戴近距離武器與身體系服裝
zts45e	如果你的同伴專門使用遠距離攻擊時應該要使用遠距離武器與敏捷系服裝
zts46e	如果使用魔法攻擊，就需要魔法武器與精神系服裝
zts47e	嗯? 他嗎? 他是我的雙胞胎弟弟
zts48e	為什麼你這麼忙~他那邊卻很閒?
zts49e	呵呵，他本來就很愛玩啦，做事情也馬馬虎虎的，所以我也不太想把事情交給他做啦
zts50e	啊，對了！
zts51e	聽說那傢伙會拿裝備做一些奇奇怪怪的事情，所以不要被他騙喔！
zts52e	哦~是喔? 了解了
zts53e	依蘭特 裝備商店2 (使用)
zts62e	什麼叫衝裝備?
zts64e	如果你現在對身上武器或服裝中的稀有等級有什麼不滿意的地方話，拿給我看看.
zts65e	我用神明給我的技術來做一個稀有物品給你！
zts66e	啊? 是喔? 那為什麼要用衝來形容呢?
zts67e	因為有時候…我會不小心失手的…失手的時候物品不一定能保的住…所以這是有冒險性的！
zts68e	呃…… 失手的機率該不會很高吧?
zts69e	不會！當然不是那樣！如果稀有等級是負的， 成功率就會非常大啦！
zts70e	那稀有等級高呢?
zts71e	嗯…… 我就是對那種東西特別容易失手……
zts72e	不過…只要我碰過的物品沒有消失…那就一定會賦予1~7之間的其中一個稀有等級了！這點我可以跟你保證！
zts74e	依蘭特 Nos Camp (使用)
zts101e	結束對話
zts102e	有什麼想要問的嗎?
zts104e	開始進行時空裂縫的時候，任務開始與挑戰紀錄有什麼不同呢?
zts119e	基本上任務開始或挑戰紀錄與時空裂縫的任務是相同的，進行時空任務時，會依照冒險家進行的狀況而得到分數…
zts120e	選擇挑戰紀錄時，可以利用自己所得到的分數來挑戰最高紀錄
zts121e	那有什麼意義嗎?  挑戰紀錄好像沒什麼特別的好處…
zts122e	當然不是！！ 當你達成新紀錄時，你的名字會秀出來！ 當你的朋友們看到時…應該會很羨慕你吧?
zts123e	然後呢~ 或許某一天羅布格卿計畫要頒獎給這些高分者… 不過最重要的還是名譽吧！！
zts124e	如果是這樣的話，很多人只會去挑戰紀錄啊，那何必又去玩平凡的任務呢！
zts125e	哈哈… 問題是… 挑戰紀錄時，需要手續費啊！！ 如果你的能力不足，還硬要去挑戰時空的話，你也只會變窮光蛋啦！ 你說是不是啊?
zts126e	挑戰紀錄時，一定要很慎重的考慮啦！
zts127e	如果你並不在乎那些虛名，也就不用去挑戰啦！
zts128e	不過呢~~吼~身為一個冒險家，不去挑戰的話不覺得自己很沒出息嗎?
zts129e	呵呵，我知道了！ 我再慢慢想想看好了
zts130e	好~以上是艾美的解說，祝福你有一個很炫的冒險之路喔！！
zts131e	你想要的職業是什麼呢?
zts132e	我想要痛快的打死那些壞蛋！ 我要選擇劍士！！
zts133e	我要射射射！！ 射死壞蛋！ 我要選擇弓手！！
zts134e	唔… 就咒術師吧！！ 因為好像很帥！
zts135e	當你變換職業之後，無法使用冒險家專用的裝備了
zts136e	但是我們會提供可以使用的裝備，這樣可以嗎?
zts137e	要給我的裝備功能如何呢?
zts138e	哈哈哈…  這個嘛… 應該不錯用啦
zts139e	--------------------------------------
zts140e	唉唷，我們又不是慈善集團… 羅布格卿最近又不太支援我們…嘰哩咕嚕…碎碎唸…
zts141e	…反正~ 你要換職業對嗎?
zts142e	沒辦法了…我要換職業！！
zts143e	不， 我要去辦別的事情
zts156e	在夢之歷險中會遇到很多很多的人，如果有相處很好的朋友，就可以大家一起組織成一個家庭…
zts157e	大家可以在家庭中互相協助並建立感情，一起體驗家族生活！！ 享受幸福的滋味！
zts158e	我要創立家族
zts159e	我要解除家族
zts160e	要怎麼創立家族呢?
zts161e	請告訴我關於家族的指令
zts162e	謝謝~ 再見！
zts163e	為了成立一個家族，首先要完成轉職，尋找三個完成ACT1-1的冒險家.
zts164e	這三個人組成一個隊伍後，其中一個人來找我就可以了… 但是要花一點點的手續費，創立費用才區區的20萬黃金而已啦！！
zts165e	在這之前請先想好一個家族的名稱，然後再來告訴我，這樣就算創立完成囉！！ 啊~對了！！ 申請的人會成為家族的[家長]，其他2位會成為[副家長]喔
zts166e	有件事情先跟你們說一下抱歉… 目前家族的功能尚未完成，所以介面或某些功能是目前無法使用的
zts167e	我們會以最快的速度來支援的，請見諒喔~
zts168e	好，知道了
zts169e	首先工會聊天請使用 [：想說的話]
zts170e	家族相關的一些指令可以使用對話視窗進行，只要在前面增加 % 就可以了
zts171e	想認養家人時，可以輸入 [%認養 對方的名稱] 即可，只有家長與副家長擁有認養的權限
zts172e	退出或驅逐時，輸入[%退出]，[%驅逐 對方名稱] 就可以了，但是只有家長才擁有驅逐的權限
zts173e	當然家長與副家長是不能退出的！！ 退出家族的人要過3天，才可以創立新的家族或加入其他家族
