zts1e	新手冒險家學習課程
zts2e	去挑戰過個橋就能看到的時空裂縫吧
zts3e	去村莊前面的橋的另一邊捕獲吱雞吧
zts4e	去挑戰依蘭特北部平原的等級5的時空裂縫吧
zts5e	去練金術協會找拉迪安魯爾對話
zts6e	去挑戰依蘭特北部平原等級8的時空裂縫吧
zts7e	去裝備商店找比茲柏修斯對話
zts8e	去挑戰依蘭特北部平原等級10的時空裂縫吧
zts9e	去TheGanZ找雪滋羅濱蒂對話
zts10e	去挑戰依蘭特北部平原等級12的時空裂縫吧
zts11e	新手冒險家的修練
zts12e	請獵殺史汀奇
zts13e	請獵殺弱的黃色貝諾
zts14e	請獵殺茁壯的史汀奇
zts15e	請獵殺黃色貝諾
zts16e	請獵殺殘酷黃色貝諾
zts17e	請獵殺溫順羊咩
zts18e	請獵殺乾扁跳荳
zts19e	請獵殺小箭豬
zts20e	請獵殺跳荳
zts21e	請獵殺荳莖
zts22e	請獵殺羊咩
zts23e	請獵殺箭豬
zts24e	請獵殺堅硬跳荳
zts25e	請獵殺微毒史汀奇
zts26e	請獵殺弱小紅色貝諾
zts27e	請獵殺狂暴箭豬
zts28e	保護依蘭特村莊
zts29e	請獵殺幼紅小狐
zts30e	請獵殺溫順野生食人花
zts31e	請獵殺毒史汀奇
zts32e	請獵殺紅色貝諾
zts33e	請獵殺野生食人花
zts34e	請獵殺狂暴羊咩
zts35e	請獵殺劇毒史汀奇
zts36e	請獵殺紅小狐
zts37e	請獵殺殘酷紅色貝諾
zts38e	請獵殺成年紅小狐
zts39e	請獵殺殘酷食人花
zts40e	請獵殺野生小跳荳
zts41e	請獵殺小毒箭豬
zts42e	請獵殺幼野羚羊
zts43e	請獵殺棕色小狐
zts44e	請獵殺野生跳荳
zts45e	請獵殺野羚羊
zts46e	請獵殺毒箭豬
zts47e	請獵殺殘酷棕色小狐
zts48e	請獵殺脆弱藥材食人花
zts49e	請獵殺成年野羚羊
zts50e	請獵殺野生大跳荳
zts51e	請獵殺巨角羊
zts52e	請獵殺藥材食人花
zts53e	請獵殺殘酷巨角羊
zts54e	請獵殺強壯食人花
zts55e	神殿消滅任務
zts56e	請獵殺狂暴鋼煉深淵
zts57e	請獵殺鋼鐵偵測儀
zts58e	請獵殺鋼鐵箭豬
zts59e	請獵殺粉紅萊吉姆
zts60e	請獵殺小角尤達
zts61e	請獵殺惡魔翅膀妖球
zts62e	請獵殺堅硬鋼鐵偵測儀
zts63e	請獵殺獨角尤達士兵
zts64e	請獵殺黑暗追擊手士兵
zts65e	請獵殺狂暴黑暗衝擊手
zts66e	請獵殺野生小狐
zts67e	請獵殺狂暴鐵箭豬
zts68e	請獵殺微型紅萊吉姆
zts69e	請獵殺獨角尤達
zts70e	請獵殺狂暴小角尤達
zts71e	請獵殺大惡魔翅膀妖球
zts72e	請獵殺兇殘野生小狐
zts73e	請獵殺狂暴的獄火
zts74e	請獵殺微型黑萊吉姆
zts75e	請獵殺黑暗追擊手
zts76e	請獵殺魔翼尤達士兵
zts77e	請獵殺狂暴獨角尤達
zts78e	請獵殺狂暴黑暗追擊手
zts79e	請獵殺腥紅獵獸
zts80e	請獵殺狂暴冥界戰士
zts81e	請獵殺狂暴魔翼尤達
zts82e	請獵殺巨翅冥界戰士
zts83e	請獵殺冥界戰士
zts84e	請獵殺魔翼尤達
