zts1e	特殊攻擊
zts2e	遠古魔物的復活
zts3e	超生化魔物來襲
zts4e	不能遠距離攻擊
zts5e	不能使用魔法
zts6e	不能命中
zts7e	不能進行任何攻擊
zts8e	不能進行近距離攻擊
zts9e	不能進行遠距離攻擊
zts10e	不能使用魔法攻擊
zts11e	因不能瞄準對方而使攻擊失敗(魔法除外)
zts12e	特殊防禦
zts13e	不能防禦
zts14e	不能近距離防禦
zts15e	不能遠距離防禦
zts16e	不能防禦魔法
zts17e	不能迴避
zts18e	所有防禦力都失效
zts19e	近距離防禦力失效
zts20e	遠距離防禦力失效
zts21e	魔法防禦力失效
zts22e	完全不能迴避
zts23e	轉換攻擊力
zts24e	轉換所有攻擊
zts25e	轉換近距離攻擊
zts26e	轉換遠距來攻擊
zts27e	轉換魔法攻擊
zts28e	轉換攻擊等級
zts29e	所有的攻擊力增加 %s
zts30e	所有的攻擊力減少 %s
zts31e	近距離攻擊力增加 %s
zts32e	近距離攻擊力減少 %s
zts33e	遠距離攻擊力增加 %s
zts34e	遠距離攻擊力減少 %s
zts35e	魔法攻擊力增加 %s
zts36e	魔法攻擊力減少 %s
zts37e	攻擊等級增加 %s
zts38e	攻擊等級減少 %s
zts39e	轉換命中
zts40e	轉換所有命中
zts41e	轉換近距離命中
zts42e	轉換遠距離命中
zts43e	轉換集中
zts44e	所有攻擊的命中數值增加 %s
zts45e	所有攻擊的命中數值減少 %s
zts46e	近距離攻擊的命中數值增加 %s
zts47e	近距離攻擊的命中數值減少 %s
zts48e	遠距離攻擊的命中數值增加 %s
zts49e	遠距離攻擊的命中數值減少 %s
zts50e	施展魔法時的集中數值增加 %s
zts51e	施展魔法時的集中數值減少 %s
zts52e	轉換致命打擊
zts53e	轉換致命機率
zts54e	轉換致命損傷
zts55e	倍數損傷
zts56e	轉換對方的致命機率
zts57e	轉換對方的致命損傷
zts58e	致命打擊機率增加 %s%%
zts59e	致命打擊機率減少 %s%%
zts60e	發動致命打擊時，所受的損傷增加 %s%%
zts61e	發動致命打擊時，所受的損傷減少 %s%%
zts62e	攻擊時以%s%%的機率增加 %s%%損傷
zts63e	攻擊時以%s%%的機率減少 %s%%損傷
zts64e	被致命打擊打到的機率增加 %s%%
zts65e	被致命打擊打到的機率減少 %s%%
zts66e	被致命打擊打到時的損傷增加 %s%%
zts67e	被致命打擊打到時的損傷減少 %s%%
zts68e	特殊致命打擊
zts69e	一律使用致命攻擊
zts70e	一律不使用致命攻擊
zts71e	持續遭受致命攻擊
zts72e	不會遭受致命攻擊
zts73e	一定機率的致命攻擊
zts74e	持續使用致命攻擊
zts75e	絕對不能發動致命攻擊
zts76e	持續遭受致命攻擊損傷
zts77e	絕對不會被致命攻擊損傷
zts78e	一直以 %s%%機率發動致命攻擊
zts79e	一直以 %s%%機率被致命攻擊損傷
zts80e	轉換屬性值
zts81e	轉換火之力
zts82e	轉換水之力
zts83e	轉換光之力
zts84e	轉換暗之力
zts85e	轉換所有屬性之力
zts86e	火屬性之力增加 %s
zts87e	火屬性之力減少 %s
zts88e	水屬性之力增加 %s
zts89e	水屬性之力減少 %s
zts90e	光屬性之力增加 %s
zts91e	光屬性之力減少 %s
zts92e	暗屬性之力增加 %s
zts93e	暗屬性之力減少 %s
zts94e	所有屬性之力增加 %s
zts95e	所有屬性之力減少 %s
zts96e	提升損傷
zts97e	提升機率
zts98e	以%s%%的機率增加%s%%損傷
zts99e	以%s%%的機率減少%s%%損傷
zts100e	無視相輔相剋關係, 火之力直接增加 %s
zts101e	無視相輔相剋關係, 火之力直接減少 %s
zts102e	無視相輔相剋關係, 水之力直接增加 %s
zts103e	無視相輔相剋關係, 水之力直接減少 %s
zts104e	無視相輔相剋關係, 光之力直接增加 %s
zts105e	無視相輔相剋關係, 光之力直接減少 %s
zts106e	無視相輔相剋關係, 暗之力直接增加 %s
zts107e	無視相輔相剋關係, 暗之力直接減少 %s
zts108e	轉換防禦力
zts109e	轉換所有防禦
zts110e	轉換近距離防禦
zts111e	轉換遠距離防禦
zts112e	轉換魔法防禦
zts113e	轉換防禦等級
zts114e	所有防禦力提升 %s
zts115e	所有防禦力減少 %s
zts116e	近距離防禦力提升 %s
zts117e	近距離防禦力減少 %s
zts118e	遠距離防禦力提升 %s
zts119e	遠距離防禦力減少 %s
