zts1e	依蘭特村莊
zts2e	依蘭特北部平原
zts3e	西部礦山的魔物
zts4e	曙光平原
zts5e	比斯特神殿入口
zts6e	西部第1礦山地區
zts7e	西部第2礦山地區
zts8e	北部礦山
zts9e	比斯特神殿1樓
zts10e	比斯特神殿地下1樓
zts11e	比斯特神殿地下2樓
zts12e	神殿幽禁地區B1樓
zts13e	神殿幽禁地區B2樓
zts14e	神殿幽禁地區B3樓
zts15e	神殿幽禁地區B4樓
zts16e	神殿幽禁地區B5樓
zts17e	林克山地 左側
zts18e	林克山地 右側
zts19e	林克山地山峰
zts20e	岩山洞窟1
zts21e	岩山洞窟2
zts22e	岩山洞窟3
zts23e	岩山洞窟4
zts24e	岩山洞窟5
zts25e	岩山洞窟6
zts26e	密普里殿堂B1樓
zts27e	密普里殿堂B2樓
zts28e	密普里殿堂B3樓
zts29e	密普里殿堂B4樓
zts30e	隱沒的通道
zts31e	陰森的通道
zts32e	禁斷研究所1樓
zts33e	禁斷研究所2樓
zts34e	禁斷研究所3樓
zts35e	前往神殿前甬道
zts36e	廢礦
zts37e	廢礦地下
zts38e	近衛隊避難所
zts39e	比斯特神殿2樓
zts40e	比斯特神殿3樓
zts41e	比斯特神殿4樓
zts42e	比斯特神殿5樓
zts43e	比斯特神殿6樓
zts44e	比斯特神殿7樓
zts45e	比斯特神殿8樓
zts46e	比斯特神殿9樓
zts47e	比斯特神殿10樓
zts48e	秘密之房
zts49e	北邊緊急通路
zts50e	東邊緊急通路
zts51e	西邊緊急通路
zts52e	6個關卡
zts53e	大法師之塔1樓
zts54e	大法師之塔2樓
zts55e	大法師之塔3樓
zts56e	大法師之塔4樓
zts57e	大法師之塔5樓
zts58e	大法師之塔6樓
zts59e	大法師之塔7樓
zts60e	大法師之塔8樓
zts61e	翻滾斷層4樓
zts62e	翻滾斷層3樓
zts63e	翻滾斷層2樓
zts64e	翻滾斷層1樓
zts65e	蜿蜒崎嶇通路
zts66e	龍捲地圖 東
zts67e	龍捲地圖 西
zts68e	龍捲地圖 南
zts69e	龍捲地圖 北
zts70e	神秘的養雞場
zts71e	個人商店地區
zts72e	即時戰役
zts73e	生存遊戲
zts74e	個人對戰
zts75e	家族對戰
zts76e	悲歡的宴會場入口
zts77e	冒險場所
zts78e	悲歡的宴會場
zts79e	軟綿綿廣場入口
zts80e	軟綿綿廣場
zts81e	詛咒的山參田入口
zts82e	詛咒的山參田
zts83e	魔神沉睡地入口
zts84e	魔神沉睡地
zts85e	苦澀的祭壇入口
zts86e	苦澀的祭壇
zts87e	往吱雞養雞場
zts88e	吱雞養雞場
zts89e	超級吱雞的棲息地
zts90e	迷你屋
zts91e	礦山英雄任務
zts92e	波紋之殿
zts93e	時間之殿
zts94e	遺忘之殿
zts95e	神殿英雄任務
zts96e	比斯特之根
zts97e	任務地圖
zts98e	隕石墜落地點
zts99e	屋頂藏身處
zts100e	鯰魚主宮藏身處
zts101e	氣氛不錯的庭園
zts102e	異世界的一部份
zts103e	崔直洞穴
zts104e	村莊洞穴
zts105e	Nos camp洞穴
zts106e	窄洞穴
zts107e	紅色空間
zts108e	藍色空間
zts109e	綠色空間
zts110e	黃色空間
zts111e	黑暗的地方
zts112e	黃昏斷崖
zts113e	霧溪谷
zts114e	靈魂洞穴
zts115e	痛苦的迷宮
zts116e	祕密空間
zts117e	端午節活動場地
zts118e	死亡之地
zts119e	黑森林
zts120e	楓葉森林
zts121e	樵夫小屋
zts122e	磨坊
zts123e	倉庫內部
zts124e	喵咪小屋
zts125e	黑森林幽暗之處
zts126e	遠古樹海1樓
zts127e	遠古樹海2樓
zts128e	遠古樹海3樓
zts129e	地下隧道1樓
zts130e	地下隧道2樓
zts131e	地下隧道3樓
zts132e	古老樹海深處
zts133e	地下通道
zts134e	寒冰洞穴
zts135e	陡峭山崖
zts136e	陡峭山崖外側
zts137e	楓葉森林外側
zts138e	拔托魯沙
zts139e	拔托魯沙B1
zts140e	拔托魯沙B2
zts141e	拔托魯沙B3
zts142e	拔托魯沙B4
zts143e	拔托魯沙B5
zts144e	漂雪小路
zts145e	端午節遠征起點
zts146e	冰封雪堡
zts147e	冰封雪堡西部地區
zts148e	冰封雪堡東部地區
zts149e	彼托頓德拉
zts150e	帢雷斯峽谷
zts151e	穆克斯的王座
zts152e	布洛西德廣場
zts153e	布洛西德商店地區
zts154e	迪斯號
zts155e	西部凍土地帶
zts156e	東部凍土地帶
zts157e	北部雪源地帶
zts161e	亡者森林
zts162e	黑暗深淵
zts163e	拉迪昆海岸
zts164e	卡比納斯王的巢穴
zts165e	拉迪昆海岸
zts166e	摩魯塔茲沙漠港口
zts167e	沙漠港口周邊
