zts1e	最棒的服務
zts2e	愛羅尼亞獎章
zts3e	[主要效果][n]裝備、主要、其他物品的持有量各增加8格，[n]共增加24格空間。[n](與冒險家的獎章一起使用會再增加36格)[n][附加效果][n]戰鬥經驗值獲得量提升 15%，[n]職業經驗值獲得量提升15%，[n]寵物及同伴的獲得經驗值提升15%。[n](與冒險家的獎章一起使用會再提升30%)，[n]黃金獲得量提升20%，[n]名譽獲得量提升 20%。[n][n]
zts4e	想要體驗便利的冒險時
zts5e	冒險家獎章
zts6e	[主要效果][n]裝備、主要、其他物品的持有量各增加4格，[n]共增加12格空間。[n](與愛羅尼亞的獎章一起使用會再增加36格)[n][附加效果][n]戰鬥經驗值獲得量提升 15%，[n]職業經驗值獲得量提升15%，[n]寵物及同伴的獲得經驗值提升15%。[n](與愛羅尼亞的獎章一起使用會再提升30%)[n][n]
zts7e	可超越精靈的能力！
zts8e	火精靈
zts9e	可讓能力成長到70的火之精靈。[n]與火精靈有同樣的功能。[n]此物品無法進行交易。[n]
zts10e	更強的水屬性
zts11e	水精靈
zts12e	可讓能力成長到70的水之精靈。[n]與水精靈有同樣的功能。[n]此物品無法進行交易。[n]
zts13e	強力的光之力
zts14e	光精靈
zts15e	可讓能力成長到70的光之精靈。[n]與光精靈有同樣的功能。[n]此物品無法進行交易。[n]
zts16e	嚐嚐黑暗之力吧
zts17e	黑暗精靈
zts18e	可讓能力成長到70的暗之精靈。[n]與暗精靈有同樣的功能。[n]此物品無法進行交易。[n]
zts19e	成長到有用處了?
zts20e	高階火精靈
zts21e	可讓能力成長到70的火之精靈。[n]已經成長到40的狀態，不需要從1開始培養。[n]與火精靈有同樣的功能。[n]此物品無法進行交易。[n]
zts22e	買來馬上可用
zts23e	高階水精靈
zts24e	可讓能力成長到70的水之精靈。[n]已經成長到40的狀態，不需要從1開始培養。n]與水精靈有同樣的功能。[n]此物品無法進行交易。[n]
zts25e	培養過程省略！
zts26e	高階光精靈
zts27e	可讓能力成長到70的光之精靈。[n]已經成長到40的狀態，不需要從1開始培養。n]與光精靈有同樣的功能。[n]此物品無法進行交易。[n]
zts28e	馬上能派上用場的傢伙
zts29e	高階黑暗精靈
zts30e	可讓能力成長到70的暗之精靈。[n]已經成長到40的狀態，不需要從1開始培養。n]與暗精靈有同樣的功能。[n]此物品無法進行交易。[n]
zts31e	56格的空間
zts32e	超大型倉庫
zts33e	設置在迷你屋後，能租用可使用56格[n]寬敞空間的倉庫。[n]從一開始設置就會開始倒數可使用時間。[n][注意事項][n]使用時間到期後倉庫會消失，請預先準備好[n]其他倉庫。[n]如果其他倉庫的空間比較小，可能會有空間不足[n]而東西無法取出的狀況，請在到期之前先整理好倉庫的物品。[n][n]
zts34e	幫我的寵物取個名字！
zts35e	寵物名牌 1個
zts36e	可以幫自己的寵物取名字。[n]使用一次後會消失。[n]
zts37e	幫我們取名字吧
zts38e	寵物名牌 5個一組
zts39e	可以幫自己的寵物取名字。[n]可一次購買5個寵物名牌。[n]
zts40e	給心愛的寵物
zts41e	最高級 寵物飼料 3個
zts42e	寵物的忠誠度會升到最大值，[n]還會提升一個等級。[n]但是必須與玩家角色的等級低5級以上[n]才可使用。[n](若玩家等級為50，寵物只能會提升到45級)[n][n]
zts43e	注意同伴的健康
zts44e	同伴專用補藥 3個
zts45e	同伴的好感度會升到最大值，[n]還會提升一個等級。[n]但是必須與玩家角色的等級低5級以上[n]才可使用。[n](若玩家等級為50，同伴只能會提升到45級)[n][n]
zts46e	不要讓寵物離開
zts47e	寵物保管彈珠
zts48e	可以把寵物放入彈珠中，並保管在物品欄或倉庫裡面，[n]還可與其他玩家進行交易。[n][注意事項][n]寵物的所有記錄都會被儲存，[n]但是寵物名稱會消失。[n]寵物等級比角色等級高時，[n]雖然可將寵物放在Mini Land中，[n]但是無法使用在自組隊伍中。[n][n]
zts49e	同伴也可以交易?
zts50e	同伴保管彈珠
zts51e	可以把同伴放入彈珠中，並保管在物品欄或倉庫裡面，[n]還可與其他玩家進行交易。[n][注意事項][n]保管時要先將同伴的裝備全部解除，[n]若已經有相同同伴，必須先將該同伴[n]放入彈珠後再喚出來使用。[n]同伴等級比角色等級高時，[n]雖然可將同伴放在Mini Land中，[n]但是無法使用在自組隊伍中。[n][n]
zts52e	交易特殊卡片吧！
zts53e	特殊卡片盒
zts54e	可放入1張卡片，[n]卡片放入包包後，[n]可與其它玩家交換或交易。[n]保管時等級與經驗值也會被儲存。[n]
zts55e	任意享用特殊人物
zts56e	SP補充劑(小)
zts57e	恢復所有的HP。[n]還會追加30000 SP點數。[n]
zts58e	SP補充劑(中)
zts59e	恢復所有的HP/MP。[n]還會追加70000 SP點數。[n]
zts60e	任意享用特殊人物
zts61e	SP補充劑(大)
zts62e	恢復所有的HP/MP[n]及消除所有負效果。[n]還會追家180000 SP點數。[n]
zts63e	哦哦~衝裝備也可以很安全~
zts64e	衝衝神的祝福符咒
zts65e	可使用3次。[n]裝備後衝裝備的成功機率會提升10%，[n]失敗時還會保護裝備。[n]武器、服裝共用。[n]
zts66e	衝裝備也不過如此！！
zts67e	衝衝神的保護符咒
zts68e	可使用3次。[n]失敗時還會保護裝備。[n]武器、服裝共用。[n]
zts69e	裝備可以再利用喔
zts70e	等級固定強化符咒
zts71e	可使用3次。[n]可以強化等級已經被固定的裝備。[n]武器、服裝共用[n]
zts72e	喝吧~喝吧！
zts73e	非常大的全體恢復劑 99個
zts74e	購買99個 非常大的全體恢復劑 。[n]
zts78e	只有Nos Mall才有賣的恢復劑！
zts79e	希魯安的泉水 70個
zts80e	HP/MP各恢復3000。[n]
zts84e	好想念你~我的朋友~
zts85e	友誼的翅膀10個
zts86e	可以直接飛到朋友的身邊。[n]但是對方必須在一般地區才可使用。[n]按下即時通的移動按鈕即可移動。[n]
zts87e	亮眼的演出！
zts88e	髮臘A 劍士大大~ 好帥啊！
