zts1e	Effetto Generale
zts2e	Effetti magici
zts3e	Pozione seria
zts4e	Serie di malesseri
zts5e	Ricaricare serie
zts6e	Buono
zts7e	Neutrale
zts8e	Cattivo
zts9e	Durata: %.1f secondi
zts10e	Ogni %d secondi,
zts11e	[Probabilità: %d%%]
zts12e	Effetto Secondario tra %.1f sec.
zts13e	Genera l'effetto [%s] con una probabilità di un %d%% quando viene sbloccato.
zts14e	(Lv dell'Attaccante / %d)
zts15e	(Lv dell'Attaccante * %d)
zts16e	Ricarica
zts17e	L'energia accumulata per il prossimo attacco.
zts18e	Sanguinamento Minore
zts19e	E' stata ricevuta una leggera ferita
zts20e	Spina velenosa
zts21e	Vieni avvelenato da una spina tossica.
zts22e	Malessere di un Cuore Infranto
zts23e	Il tuo corpo e il tuo cuore diventa profondamente depresso
zts24e	Rabbia
zts25e	L'attacco è guidato con l'ira
zts26e	Furia
zts27e	si concentra sull'attacco e danneggia mortalmente il nemico
zts28e	Raggio
zts29e	Attacca molto velocemente concentrandosi sulla Velocità e sul Fervore
zts30e	Blackout
zts31e	Oscurato per il momento. Non è in grado di sentire quando è attaccato poichè è in uno stato di incoscienza.
zts32e	Demoralizzazione
zts33e	Demoralizzato dalla potenza avversaria
zts34e	Colla
zts35e	Si incolla sul corpo e rallenta gli attacchi
zts36e	Colla grande
zts37e	Si incolla sul corpo rallentandone i movimenti
zts38e	Paura
zts39e	Da seriamente paura e si diverte in una battaglia
zts40e	Grido di battaglia
zts41e	Ispirato dalla sete di battaglia, aumenti il potere di attacco
zts42e	Grida per il Morale
zts43e	Ispirato con alto spirito è sicurezza
zts44e	Ronzio rumoroso
zts45e	Ti senti Storidito a causa di un Drink alcolico
zts46e	Modalità PvP
zts47e	Puoi avere sfide amichevoli con altri giocatori in qualsiasi momento
zts48e	Calo del livello d'attacco
zts49e	Hai una penalità in attacco perche il livello di attacco è rifiutato
zts50e	Giuramento di sangue
zts51e	Giuramento col sangue e diventare coraggioso
zts52e	Soppresso
zts53e	Completamente depresso e voglia di combattere persa.
zts54e	Gamba ferita
zts55e	Ti fanno male le gambe e le ali, e il movimento diventa più lento
zts56e	Sanguinamento
zts57e	Hai una ferita lieve. Se non la curi, potrebbe diventare grave
zts58e	Paralizzante tossico
zts59e	Il muscolo viene paralizzato
zts60e	Neutralizza gli effetti tossici
zts61e	Sente dolore anche ricevendo colpi leggeri e prova dolore più facilemente
zts62e	Confuso dalla Tossicità
zts63e	Si sente confuso molto spesso
zts64e	Veleno Mortale
zts65e	Convince il corpo a muoversi lentamente ed ottiene una scossa per alcuni secondi
zts66e	Impossibilitato a muoversi
zts67e	Viene ferito in maniera grave e non è in grado di spostarsi
zts68e	Congela
zts69e	L'avversario viene congelato e non è in grado di muoversi.
zts70e	Velocità
zts71e	Muove rapidamente
zts72e	Alleggerire il peso corporeo così da spostarsi in modo rapido
zts73e	Rituale del Falco
zts74e	Da una vista stupenda e permette attacchi più efficienti
zts75e	Scudo congelante
zts76e	Lo Scudo congelante genera una corazza di ghiaccio che circonda il corpo e blocca gli attacchi a distanza.
zts77e	Recupero Aura
zts78e	Dà energia calda intorno al corpo e recupera.
zts79e	Luce della protezione
zts80e	Diffonde una luce brillante intorno al corpo per proteggerlo
zts81e	Dormi
zts82e	Si addormenta immediatamente finchè qualcuno non lo tocca.
zts83e	Cieco
zts84e	Interrompe la vista per un paio di secondi.
zts85e	Punta di freccia avvelenata
zts86e	Metti unasostanza tossica sulla punta di una freccia per avvelenare il nemico
zts87e	Pugnale velenoso
zts88e	Metti una sostanza tossica su un pugnale per avvelenare il nemico
zts89e	Sanguinamento grave
zts90e	Una ferita grave riduce gli HP.
zts91e	Inabilitato
zts92e	Inabilita l'attacco o la difesa
zts93e	Effetto di indebolimento della rinascita
zts94e	Migliora la potenza d'attacco
zts95e	Migliora la potenza difensiva
zts96e	Migliora la potenza d'attacco ravvicinato
zts97e	Migliora la potenza difensiva da lontano
zts98e	Rafforza la difesa magica.
zts99e	MP illimitati
zts100e	Energia potente
zts101e	Migliora la Velocità.
zts102e	Scudo invincibile
zts103e	Spinta Velenosa
zts104e	Impedisce ogni attacco. Il veleno fa perdere conoscenza.
zts105e	Stretta di Mano
zts106e	Stringi la mano con l'avversario diminuendo il tuo attacco.
zts107e	Lo Starnuto ha un effetto collaterale.
zts108e	Un punto debole di Kuluck Kuluck Kin, forse è il momento buono per attaccare?
zts109e	Veleno dannoso della spina
zts110e	Vieni punto da una potente spina velenosa.
zts111e	Oscurità di DOOM
zts112e	L'effetto di un Colpo Critico diminuisce all'aumentare dell'Oscurità.
zts113e	Mano del Morto
zts114e	Veleno Mortale
