zts1e	공격특수
zts2e	공격불가
zts3e	근접공격불가
zts4e	원거리공격불가
zts5e	마법사용불가
zts6e	명중불가
zts7e	아무런 공격도 하지 못한다
zts8e	근접공격을 하지 못한다
zts9e	원거리공격을 하지 못한다
zts10e	마법을 사용하지 못한다
zts11e	상대방을 맞추지 못해 공격이 실패한다 (마법제외)
zts12e	방어특수
zts13e	방어불가
zts14e	근접방어불가
zts15e	원거리방어불가
zts16e	마법방어불가
zts17e	회피불가
zts18e	모든 방어력이 적용되지 않는다
zts19e	근접 방어력이 적용되지 않는다
zts20e	원거리 방어력이 적용되지 않는다
zts21e	마법 방어력이 적용되지 않는다
zts22e	회피를 전혀 하지 못한다
zts23e	공격력변경
zts24e	모든공격변경
zts25e	근접공격변경
zts26e	원거리공격변경
zts27e	마법공격변경
zts28e	공격등급변경
zts29e	모든 공격력이 %s만큼 증가한다
zts30e	모든 공격력이 %s만큼 감소한다
zts31e	근접 공격력이 %s만큼 증가한다
zts32e	근접 공격력이 %s만큼 감소한다
zts33e	원거리 공격력이 %s만큼 증가한다
zts34e	원거리 공격력이 %s만큼 감소한다
zts35e	마법공격력이 %s만큼 증가한다
zts36e	마법공격력이 %s만큼 감소한다
zts37e	공격등급이 %s만큼 증가한다
zts38e	공격등급이 %s만큼 감소한다
zts39e	명중변경
zts40e	모든명중변경
zts41e	근접명중변경
zts42e	원거리명중변경
zts43e	집중변경
zts44e	모든 공격의 명중수치가 %s만큼 증가한다
zts45e	모든 공격의 명중수치가 %s만큼 감소한다
zts46e	근접공격의 명중 수치가 %s만큼 증가한다
zts47e	근접공격의 명중 수치가 %s만큼 감소한다
zts48e	원거리 공격의 명중수치가 %s만큼 증가한다
zts49e	원거리 공격의 명중수치가 %s만큼 감소한다
zts50e	마법 시전시 집중수치가 %s만큼 증가한다
zts51e	마법 시전시 집중수치가 %s만큼 감소한다
zts52e	치명타변경
zts53e	치명확률변경
zts54e	치명데미지변경
zts55e	배수 데미지
zts56e	상대 치명타확률 변경
zts57e	상대 치명데미지 변경
zts58e	치명타가 터질 확률이 %s%%만큼 증가한다
zts59e	치명타가 터질 확률이 %s%%만큼 감소한다
zts60e	치명타시 증가하는 데미지의 양이 %s%%만큼 늘어난다
zts61e	치명타시 증가하는 데미지의 양이 %s%%만큼 감소한다
zts62e	공격시 %s%%확률로 데미지가 %s%% 증가한다
zts63e	공격시 %s%%확률로 데미지가 %s%% 감소한다
zts64e	치명타에 맞을 확률이 %s%%만큼 증가한다
zts65e	치명타에 맞을 확률이 %s%%만큼 감소한다
zts66e	치명타에 맞을때 피해가 %s%%만큼 증가한다
zts67e	치명타에 맞을때 피해가 %s%%만큼 감소한다
zts68e	치명타특수
zts69e	무조건 치명타때림
zts70e	무조건 치명타 못때림
zts71e	항상치명타맞음
zts72e	항상치명타맞지않음
zts73e	일정확률 치명타
zts74e	항상 치명타를 때린다
zts75e	치명타를 절대 때리지 못한다
zts76e	항상 치명타에 맞는다
zts77e	치명타에 절대 맞지 않는다
zts78e	항상 %s%%확률로 치명타를 때린다
zts79e	항상 %s%%확률로 치명타에 맞는다
zts80e	속성값변경
zts81e	불기운변경
zts82e	물기운변경
zts83e	빛기운변경
zts84e	어둠기운변경
zts85e	모든속성기운변경
