zts1e	일반효과
zts2e	마법효과
zts3e	독계열
zts4e	질병계열
zts5e	충전계열
zts6e	좋은
zts7e	중립
zts8e	나쁜
zts9e	지속시간 %.1f초
zts10e	%d초마다,
zts11e	%d%% 확률로,
zts12e	%.1f초후 2차증상 발생
zts13e	해제시 %d%% 확률로 [%s] 발생
zts14e	(시전자레벨 / %d)
zts15e	(시전자레벨 * %d)
zts16e	충전
zts17e	다음공격에 사용할 기운이 모여있습니다
zts18e	약한출혈
zts19e	살짝 상처를 입은 상태입니다
zts20e	가시독
zts21e	독이 있는 가시에 찔려서 생긴 상태입니다
zts22e	천근만근병
zts23e	몸과 마음이 아주 무거워지는 병입니다
zts24e	분노
zts25e	화가나서 오로지 공격에만 집중하는 상태입니다
zts26e	매서운 분노
zts27e	화가나서 오로지 공격에만 집중하며 상대에게 치명상을 입힙니다
zts28e	격한 분노
zts29e	화가나서 오로지 공격에만 집중하며 매우 빨리 공격합니다
zts30e	기절
zts31e	잠시 정신을 잃은 상태입니다. 공격을 받아도 모릅니다.
zts32e	사기저하
zts33e	상대의 기에 눌려 의욕이 상실된 상태입니다
zts34e	끈끈이
zts35e	끈적이는 물체가 몸에 엉겨붙어 공격을 방해합니다
zts36e	무지끈끈이
zts37e	끈적이는 물체에 제대로 엉겨붙어 이동을 못하는 상태입니다
zts38e	공포
zts39e	극심한 두려움으로 모든 의욕이 바닥으로 떨어진 상태입니다
zts40e	전투의 외침
zts41e	싸움에 대한 갈망이 온몸으로 끓어올라 전투력이 상승한 상태입니다
zts42e	사기의 외침
zts43e	기세가 등등해져 왠지 잘 싸울수 있을것 같은 상태입니다
zts44e	알딸딸
zts45e	알코올이 들어있는 음료로 인해 기분이 알딸딸한 상태입니다
zts46e	PvP모드
zts47e	다른 플레이어와 언제든지 친선 대결을 펼칠수 있는 상태입니다
zts48e	공격등급약화
zts49e	공격등급이 떨어져 공격에 패널티를 받는 상태입니다
zts50e	피의맹세
zts51e	피를 담보로 자신의 용맹함과 투지를 끌어올린 상태입니다
zts52e	기선제압
zts53e	상대에게 완전히 제압당해 사기저하는 물론 공격 의지까지 상실한 상태입니다
zts54e	다리상처
zts55e	다리나 날개같은 이동관련 부위에 상처가 생겨 움직임이 느려진 상태입니다
zts56e	출혈
zts57e	약간 심한 상처를 입은 상태입니다. 놔두면 덧납니다
zts58e	근력약화독
zts59e	근육에 힘이 빠지는 독입니다. 몸이 흐물거리는 기분이 듭니다.
zts60e	방어약화독
zts61e	작은 충격에도 통증을 크게 느끼고 상처를 입습니다.
zts62e	어지러움독
zts63e	순간순간 현기증에 시달리게 됩니다.
zts64e	맹독
zts65e	몸이 약간 무거워지며 순간적으로 쇼크를 받습니다.
zts66e	이동불가
zts67e	이동관련 부위에 큰 상처를 입어 이동을 전혀 할 수 없는 상태입니다
zts68e	결빙
zts69e	몸이 얼음으로 뒤덮혀 꼼짝도 할수 없습니다
zts70e	헤이스트
zts71e	몸을 날렵하게 해 빠르게 이동할 수 있는 상태입니다
zts72e	몸이 대단히 날렵해져 엄청나게 빠르게 이동합니다
zts73e	매의의식
zts74e	날카로운 시력을 얻어 효율적으로 공격할 수 있는 상태입니다
zts75e	냉기실드
zts76e	서늘한 기운이 몸 주위를 맴돌게해 원거리 물체를 방해합니다
zts77e	재생오라
zts78e	따뜻한 기운이 몸을 감싸며 천천히 회복시켜 줍니다
zts79e	빛의보호
zts80e	밝은 빛의 장막이 몸주위를 뒤덮으며 보호해 줍니다
zts81e	수면
zts82e	순식간에 깊은 잠에 빠집니다. 하지만 누가 건드리면 바로 깨어납니다
zts83e	블라인드
zts84e	잠시 눈앞이 매우 침침해 집니다.
zts85e	화살촉독바르기
zts86e	화살에 독을 묻혀 사용시 독을 감염시킵니다.
zts87e	단검독바르기
zts88e	단검에 독을 묻혀 사용시 독을 감염시킵니다.
zts89e	심한출혈
zts90e	심한 상처로 HP가 많이 감소합니다
zts91e	무력화
zts92e	공격과 방어에 무력해집니다
zts93e	부활약화
zts94e	공격력증강
zts95e	방어력증강
zts96e	근접방어증강
zts97e	원거리방어증강
zts98e	마법방어증강
zts99e	무한MP
zts100e	초강력기운
zts101e	이동력강화
zts102e	무적쉴드
zts103e	경련독
zts104e	공격이 불가능해지며 독기운이 사라질때 기절할 수가 있습니다
zts105e	손이오그라드는병
zts106e	손이 잘 펴지지 않아서 공격능력이 떨어집니다
zts107e	재채기후유증
zts108e	쿨럭쿨럭킨의 약점으로 이때 공격하면 효과가 좋습니다
zts109e	강한가시독
zts110e	강한독이 묻은 가시에 찔려서 생긴 상태입니다.
zts111e	어둠의저주
zts112e	어둠에 피해를 더 입으며 치명타의 효과가 줄어듭니다
zts113e	망자의손
zts114e	강한맹독
zts115e	임무대기시간
zts116e	대기시간이 끝나면 시공의 돌 임무에 다시 도전할 수 있다
zts117e	마법물품사용시간
zts118e	마법 물품의 남은 사용시간을 알려준다. 시간이 모두 다끝나면 아이템이 사라진다.
zts119e	지혈
zts120e	출혈을 막은 상태로 4레벨 이하 출혈을 80%확률로 막는다.
zts121e	화상
