zts1e	새로운아이템
zts2e	[n]
zts3e	나무토막
zts4e	도중에 길거리에서 주운 몽둥이 대용품[n][n]
zts5e	나무몽둥이
zts6e	맞으면 좀더 아프도록 다듬은 몽둥이다[n][n]
zts7e	목검
zts8e	단단한 나무를 대충 깎아 만든 목검이다[n][n]
zts9e	나무망치
zts10e	나무를 깎아 만든 망치[n][n]
zts11e	떡매
zts12e	떡을 칠때 사용하는 것이지만 상당히 무겁다[n][n]
zts13e	수련자의 목검
zts14e	수련자를 위해 제대로 만든 목검이다[n][n]
zts15e	모험가의 검
zts16e	모험가들이 가장 처음 손에 잡아보는[n]무기다운 무기다[n][n]
zts17e	나무 새총
zts18e	처음부터 지니고 있던 새총[n][n]
zts19e	탄력있는 새총
zts20e	탄력이 좋아 더욱 아프게 때릴수 있는 새총이다[n][n]
zts21e	저격용 새총
zts22e	믿을수 없지만 저격용으로 사용된다고 전해진다[n][n]
zts23e	강철 새총
zts24e	강철로 되어 있어서 힘껏 잡아당겨도 괜찮은 새총이다[n][n]
zts25e	입던 옷
zts26e	처음 모험을 떠날때 집에서 입고 나온 옷이다[n][n]
zts27e	트레이닝복
zts28e	운동할때 입는 보편적인 옷[n][n]
zts29e	모험가의 옷
zts30e	모험가들이 즐겨 입는 의상이다[n]부활시 높은 확률로 약화가 되지 않는다[n][n]
zts31e	전문 트레이닝복
zts32e	신축성이 뛰어나 움직이기 매우 편한 옷이다[n][n]
zts33e	여행자의 망토셋
zts34e	여행중 노숙을 하더라도 따뜻하게 잘수 있다[n][n]
zts35e	따뜻함의 망토셋
zts36e	몸을 잘 감싸주는 망토가 달린 옷이다[n]부활시 높은 확률로 약화가 되지 않는다[n][n]
zts37e	초급검사의검
zts38e	검사에게 기본으로 지급되는 검[n]모험가는 착용할수 없다[n][n]
zts39e	쇼트소드
zts40e	칼날이 짧은 한손검으로 초보 검사들이 주로 사용한다.[n][n]
zts41e	시련의검
zts42e	과거 전장의 패잔병의 병기를 녹여 만든 무기로 한이 서려있다.[n]크리티컬 확률 상승[n][n]
zts43e	스몰소드
zts44e	평범한 검사들이 주로 사용하는 검이다.[n][n]
zts45e	청동문양쇼트소드
zts46e	시련의검에 청동을 첨가하여 세공한 장검이다.[n]크리티컬 확률이 상승된다.[n][n]
zts47e	롱소드
zts48e	중급 품질의 펄션으로 동선이 좋아 검사들이 즐겨 사용한다.[n][n]
zts49e	붉은영혼의검
zts50e	전사의 영혼이 서린 검으로 기본 공격력은 낮은 편이지만[n]대신 불기운이 깃들어 있다.[n][n]
zts51e	펄션
zts52e	날이 긴 장검으로 한손으로 사용할 수 있을만큼 가벼워 인기가 좋다.[n][n]
zts53e	황금장식롱소드
zts54e	붉은영혼의 검에 황금 손잡이 장식을 조합한 검.[n]불기운과 함께 높은 치명타를 자랑한다.[n][n]
zts55e	브로드소드
zts56e	일반적인 브로드 소드로 날이 넓은 것이 특징이다.[n][n]
zts57e	완력의장검
zts58e	데미지의 편차가 크지만 그만큼 높은 데미지를 줄 수 있다.[n][n]
zts59e	바스타드소드
zts60e	손잡이에 그립감을 높인 장검이다.[n][n]
zts61e	스키아보나
zts62e	이검을 손에 든자는 신비로운 힘에 의해서 신체를 보호받게 된다.[n][n]
zts63e	클레이모어
zts64e	최고의 검사들에게 주어지는 명예로운 검이다.[n]물기운이 스며있다.[n][n]
zts65e	초급궁사의활
zts66e	궁사에게 기본으로 지급되는 활[n]모험가는 착용할수 없다[n][n]
zts67e	작은활
zts68e	나무로 만든 작은 활이다. 시위가 작아 파워가 약하다.[n][n]
zts69e	민첩의활
zts70e	얇고 가벼운 활로 민첩하게 조준이 가능하다. 명중률 증가[n][n]
zts71e	대나무활
zts72e	대나무로 만든 활로 내구성이 좋지 않다.[n][n]
zts73e	강화활
