zts1e	밀라노 마을
zts2e	밀라노북부평원
zts3e	서부광산지역
zts4e	아침의 평원
zts5e	페르논신전입구
zts6e	서부제1광산
zts7e	서부제2광산
zts8e	북부광산
zts9e	페르논신전1층
zts10e	페르논신전B1층
zts11e	페르논신전B2층
zts12e	신전비밀지역B1층
zts13e	신전비밀지역B2층
zts14e	신전비밀지역B3층
zts15e	신전비밀지역B4층
zts16e	신전비밀지역B5층
zts17e	크렘산지좌측지역
zts18e	크렘산지우측지역
zts19e	크렘산지봉우리
zts20e	산지동굴1
zts21e	산지동굴2
zts22e	산지동굴3
zts23e	산지동굴4
zts24e	산지동굴5
zts25e	산지동굴6
zts26e	쉐인라던전B1층
zts27e	쉐인라던전B2층
zts28e	쉐인라던전B3층
zts29e	쉐인라던전B4층
zts30e	숨겨진통로
zts31e	음침한 통로
zts32e	비밀의 연구소 1층
zts33e	비밀의 연구소 2층
zts34e	비밀의 연구소 3층
zts35e	신전옆 오솔길
zts36e	폐광
zts37e	폐광지하
zts38e	친위대 대피소
zts39e	페르논신전 2층
zts40e	페르논신전 3층
zts41e	페르논신전 4층
zts42e	페르논신전 5층
zts43e	페르논신전 6층
zts44e	페르논신전 7층
zts45e	페르논신전 8층
zts46e	페르논신전 9층
zts47e	페르논신전 10층
zts48e	비밀의방
zts49e	북쪽비상통로
zts50e	동쪽비상통로
zts51e	서쪽비상통로
zts52e	6개의 관문
zts53e	마법사의 탑 1층
zts54e	마법사의 탑 2층
zts55e	마법사의 탑 3층
zts56e	마법사의 탑 4층
zts57e	마법사의 탑 5층
zts58e	마법사의 탑 6층
zts59e	마법사의 탑 7층
zts60e	마법사의 탑 8층
zts61e	데굴데굴절벽 4층
zts62e	데굴데굴절벽 3층
zts63e	데굴데굴절벽 2층
zts64e	데굴데굴절벽 1층
zts65e	구불구불통로
zts66e	소용돌이맵 동
zts67e	소용돌이맵 서
zts68e	소용돌이맵 남
zts69e	소용돌이맵 북
zts70e	비밀의양계장
zts71e	개인상가지역
zts72e	돌발전투
zts73e	얼음땡
zts74e	개인 아레나
zts75e	패밀리 아레나
zts76e	통곡의 연회장입구
zts77e	모험의 장소
zts78e	통곡의 연회장
zts79e	말랑말랑 광장입구
zts80e	말랑말랑 광장
zts81e	저주의 인삼밭입구
zts82e	저주의 인삼밭
zts83e	마신의 안식처입구
zts84e	마신의 안식처
zts85e	고통의 제단입구
zts86e	고통의 제단
zts87e	꼬닭 양계장가는길
zts88e	꼬닭 양계장
zts89e	킹꼬닭 서식지
zts90e	미니랜드
zts91e	광산영웅임무
zts92e	일렁임의 존
zts93e	시간의 존
zts94e	망각의 존
zts95e	신전영웅임무
zts96e	페르논의 뿌리
zts97e	미션맵
zts98e	운석낙하지점
zts99e	은신처 지붕
zts100e	나마즈다유 은신처
zts101e	분위기좋은 정원
zts102e	다른세계의 일부
zts103e	수직동굴
zts104e	촌장의 동굴
zts105e	노스캠프 동굴
zts106e	좁은동굴
zts107e	붉은공간
zts108e	푸른공간
zts109e	녹색공간
zts110e	노란공간
zts111e	으슥한곳
zts112e	노을진절벽끝
zts113e	안개계곡
zts114e	혼령의 동굴
zts115e	고통의 미궁
zts116e	비밀공간
zts117e	단오절 이벤트
zts118e	죽음의 땅
zts119e	전나무숲
zts120e	단풍나무숲
zts121e	나무꾼집
zts122e	물래방앗간
zts123e	창고내부
zts124e	고양이방
zts125e	전나무숲 깊숙한곳
zts126e	상류구덩이1층
zts127e	상류구덩이2층
zts128e	상류구덩이3층
zts129e	지하터널1층
zts130e	지하터널2층
zts131e	지하터널3층
zts132e	오래된 나무속
zts133e	지하통로
zts134e	싸늘한동굴
zts135e	가파른절벽
zts136e	가파른절벽 계곡
zts137e	단풍나무숲 외각
zts138e	셀리루샤
zts139e	셀리루샤B1층
zts140e	셀리루샤B2층
zts141e	셀리루샤B3층
zts142e	셀리루샤 B4층
zts143e	셀리루샤 B5층
zts144e	눈꽃 오솔길
zts145e	로우쫑 습격지점
zts146e	프로즌하트 성채
zts147e	프로즌하트 성채 서부지역
zts148e	프로즌하트 성채 동부지역
zts149e	비토른 툰드라
zts150e	샤레스 협곡
zts151e	모르코스의 왕좌
zts152e	브룩힐드 광장
zts153e	브룩힐드 상점지구
zts154e	데이지호
zts155e	서부동토지대
zts156e	동부동토지대
zts157e	북부설원지대
zts158e	검사 영혼의 유적
zts159e	궁사 영혼의 유적
zts160e	주술사 영혼의 유적
zts161e	로르튼 숲
zts162e	어둠의 심연
zts163e	라디쿤 섬
zts164e	켈비나스의 둥지
zts165e	라디쿤 해안
zts166e	모르타즈 사막항구
zts167e	사막항구 주변
zts168e	닐의 야영지 인근
zts169e	닐의 야영지
zts170e	상단 야영지 동부
zts171e	멜키의 야영지 인근
zts172e	멜키의 야영지
zts173e	아카무르상단 야영지
zts174e	상단 야영지 서부
zts175e	케루스의 야영지 인근
zts176e	케루스의 야영지
zts177e	가톤의 야영지 인근
zts178e	잊혀진 사원 길목
zts179e	잊혀진 사원
zts180e	가톤의 야영지
zts181e	데이지 언덕
zts182e	데저트이글 시티
zts183e	옛아스터사원 서고
zts184e	옛아스터사원 예배당
zts185e	라시드사원 내부성소
zts186e	라시드사원 중앙성소
zts187e	도적단 소굴 인근
zts188e	사막도적단 소굴
zts189e	아스터사원
zts190e	트레져헌터 본부
zts191e	아카무르상단 본점
zts192e	무법지대
zts193e	무법지대 인근
zts194e	아스터사원 내부성소
zts195e	아스터사원 중앙성소
zts196e	옛아스터사원 비밀통로
zts197e	도적단소굴 내부성소
zts198e	도적단소굴 중앙성소
zts199e	도적단소굴 사령부
zts200e	잭오랜턴 은신처
zts201e	로펠로저택 야외 식장
zts202e	빛나는 수정 동굴
zts203e	빛나는 수정 제단
zts204e	퀸꼬닭 둥지가는길
zts205e	퀸꼬닭 둥지
zts206e	퀸꼬닭 둥지 근처
zts207e	연합 함선
zts208e	함선 지하창고
zts209e	함선 갑판
zts210e	북쪽사막
zts211e	불타는 검 입구
zts212e	케르토스의 이빨
zts213e	불타는 검 우측 통로
zts214e	불타는 검 좌측 통로
zts215e	발라쿠스의 손아귀
zts216e	불사조의 날개
zts217e	불사조의 좌측 날개
zts218e	불사조의 우측 날개
zts219e	카톨볼미론의 여로
zts220e	태양신의 신전
zts221e	발라쿠스의 은신처
zts222e	발라쿠스의 동굴
zts223e	발라쿠스의 길
zts224e	태양신의 신전 입구
zts225e	용암의 길
zts226e	불사조의 길
zts227e	케르토스의 동굴
zts228e	케르토스의 길
zts229e	케르토스의 은신처
zts230e	레어로 가는 길
zts231e	동굴로 가는 길
zts232e	토너먼트
zts233e	개척하지 않은 땅
zts234e	혼돈의 세계
zts235e	폐허가 된 고향
zts236e	으슥한 숲속 길
zts237e	구미호 은신처
zts238e	마녀의 거처
zts239e	망고네 뒷마당
zts240e	실로안
zts241e	미스틱헤븐 제1관문
zts242e	미스틱헤븐 제2관문
zts243e	미스틱헤븐 제3관문
zts244e	미스틱헤븐 제4관문
zts245e	헬로드 제1관문
zts246e	헬로드 제2관문
zts247e	헬로드 제3관문
zts248e	헬로드 제4관문
zts249e	잊혀진 미스틱헤븐 1지역
zts250e	잊혀진 미스틱헤븐 2지역
zts251e	잊혀진 헬로드 1지역
zts252e	잊혀진 헬로드 2지역
zts253e	안셀로안의 의지 1지역
zts254e	안셀로안의 의지 2지역
zts255e	안셀로안의 의지 3지역
zts256e	안셀로안의 의지 4지역
zts257e	안셀로안의 의지 5지역
zts258e	안셀로안의 의지 6지역
zts259e	실로안 비행정
zts260e	안셀로안의 의지 비행정
zts261e	잊혀진 신전
zts262e	잊혀진 신전가는 길
zts263e	미드가르드
zts264e	아리아 성 보물창고
zts265e	아리아 성 내부
zts266e	타트하펜담
zts267e	방목지
zts268e	요툰하임
zts269e	잊혀진 탑 내부
zts270e	잊혀진 탑 1층
