zts1e	밀라노 마을
zts2e	밀라노북부평원
zts3e	서부광산지역
zts5e	오솔길과 마법사의탑
zts6e	페르논신전입구
zts8e	크램산지좌측지역
zts9e	크램산지우측지역
zts10e	크램산지봉우리
zts12e	데굴데굴절벽
zts15e	폐광지역
zts21e	아침의 평원
zts22e	페르논신전
zts23e	비밀의 연구소
zts24e	페르논지하 비밀지역
zts25e	페르논신전 상층부
zts26e	노스캠프 동굴
zts27e	수직동굴
zts28e	안개계곡
zts29e	노을진절벽끝
zts30e	혼령의 동굴
zts31e	산지동굴
zts32e	쉐인라던전
zts33e	전나무숲
zts34e	전나무숲 깊숙한곳
zts35e	상류구덩이
zts36e	지하터널
zts37e	가파른절벽
zts38e	단풍나무숲
zts39e	단풍나무숲 외각
zts40e	오래된 나무속
zts41e	셀리루샤
zts42e	지하통로
zts43e	프로즌하트 성채
zts44e	비토른 툰드라
zts45e	샤레스 협곡
zts46e	브룩힐드 광장
zts47e	브룩힐드 상점지구
zts48e	데이지호
zts49e	북부설원지대
zts50e	로르튼 숲
zts51e	라디쿤 섬
zts52e	라디쿤 해안
zts53e	꼬닭 양계장가는길
zts54e	서부제1광산
zts55e	서부제2광산
zts56e	말랑말랑 광장입구
zts57e	북부광산
zts58e	저주의 인삼밭입구
zts59e	신전옆 오솔길
zts60e	마법사의 탑
zts61e	페르논신전1층
zts62e	비밀의 양계장
zts63e	비밀의 방
zts64e	페르논신전2~10층
zts65e	페르논신전B1층
zts66e	동쪽비상통로
zts67e	북쪽비상통로
zts68e	서쪽비상통로
zts69e	페르논신전B2층
zts70e	6개의 관문
zts71e	구불구불통로
zts72e	통곡의 연회장입구
zts73e	신전비밀지역B1층
zts74e	소용돌이맵 동
zts75e	소용돌이맵 서
zts76e	신전비밀지역B2층
zts77e	시전비밀지역B3층
zts78e	신전비밀지역B4층
zts79e	소용돌이맵 북
zts80e	소용돌이맵 남
zts81e	크램산지 좌측지역
zts82e	크램산지 우측지역
zts83e	크램산지 봉우리
zts84e	산지동굴1
zts85e	산지동굴2
zts86e	산지동굴3
zts87e	붉은공간
zts88e	녹색공간
zts89e	푸른공간
zts90e	싸늘한 동굴
zts91e	산지동굴4
zts92e	산지동굴5
zts93e	산지동굴6
zts94e	비밀공간
zts95e	고통의 미궁
zts96e	음침한 통로
zts97e	마신의 안식처입구
zts98e	으슥한곳
zts99e	노란공간
zts100e	프로즌하트 성채(천사)
zts101e	프로즌하트 성채(악마)
zts102e	서부동토지대
zts103e	동부동토지대
zts104e	모르코스의 왕좌
zts105e	어둠의 심연
zts106e	켈비나스의 둥지
zts107e	모르타즈 항구
zts108e	사막 항구 주변
zts109e	닐의 야영지 인근
zts110e	닐의 야영지
zts111e	상단 야영지 동부
zts112e	도적단 소굴 인근
zts113e	사막도적단 소굴
zts114e	멜키의 야영지 인근
zts115e	멜키의 야영지
zts116e	아카무르 상단 야영지
zts117e	상단 야영지 서부
zts118e	케루스의 야영지 인근
zts119e	케루스의 야영지
zts120e	가톤의 야영지 인근
zts121e	가톤의 야영지
zts122e	잊혀진 사원 길목
zts123e	잊혀진 사원
zts124e	데이지 언덕
zts125e	데저트이글 시티
zts126e	무법지대
zts127e	무법지대 인근
zts128e	옛아스터사원 서고
zts129e	옛아스터사원 예배당
zts130e	아스터사원 내부성소
zts131e	아스터사원 중앙성소
zts132e	라시드사원 내부성소
zts133e	라시드사원 중앙성소
zts134e	고통의 제단입구
zts135e	옛아스터사원 비밀통로
zts136e	신전비밀지역B3층
zts137e	신전비밀지역B5층
zts138e	빛나는 수정동굴
zts139e	빛나는 수정제단
zts210e	북쪽사막
zts211e	불타는 검 입구
zts212e	케르토스의 이빨
zts213e	불타는 검 우측 통로
zts214e	불타는 검 좌측 통로
zts215e	발라쿠스의 손아귀
zts216e	불사조의 날개
zts217e	불사조의 좌측 날개
zts218e	불사조의 우측 날개
zts219e	카톨볼미론의 여로
zts220e	케르토스의 동굴
zts221e	발라쿠스의 동굴
zts222e	태양신의 신전 입구
