zts1e	ÈŞ½Ä(C)
zts2e	Áİ±â(X,`)
zts3e	»óÁ¡°³¼³
zts4e	¹èÆ²½ÅÃ»
zts5e	Å¸ÀÓ¼­Å¬
zts6e	¹ÌÁöÁ¤
zts7e	[ÃÊ±Ş] ±Ù·Â °­È­ ÄÚ½º
zts8e	½ÅÃ¼ ´É·ÂÀ» 3 ³ô¿©ÁØ´Ù.
zts9e	½ÅÃ¼´É·ÂÀÌ Áõ°¡ÇÏ¸é ±ÙÁ¢ °ø°İ°ú ±ÙÁ¢¹æ¾î·ÂÀÌ Áõ°¡ÇÑ´Ù
zts10e	[Áß±Ş] ±Ù·Â °­È­ ÄÚ½º
zts11e	½ÅÃ¼ ´É·ÂÀ» 12 ³ô¿©ÁØ´Ù.
zts12e	[°í±Ş] ±Ù·Â °­È­ ÄÚ½º
zts13e	[ÃÖ°í] ±Ù·ÂÄÚ½º
zts14e	[ÃÊ±Ş] ¼ø¹ß·Â ÄÚ½º
zts15e	¹ÎÃ¸À» 3 ³ô¿©ÁØ´Ù.
zts16e	¹ÎÃ¸ÀÌ Áõ°¡ÇÏ¸é ¿ø°Å¸®°ø°İ, ¿ø°Å¸®¹æ¾î, ¸íÁß, È¸ÇÇ°¡ ³ô¾ÆÁø´Ù
zts17e	[Áß±Ş] ¼ø¹ß·Â ÄÚ½º
zts18e	¹ÎÃ¸À» 12 ³ô¿©ÁØ´Ù.
zts19e	¹ÎÃ¸ÀÌ Áõ°¡ÇÏ¸é ¿ø°Å¸®°ø°İ, ¿ø°Å¸®¹æ¾î, ¸íÁß, È¸ÇÇ°¡ Áõ°¡ÇÑ´Ù
zts20e	[°í±Ş] ¼ø¹ß·Â ÄÚ½º
zts21e	[ÃÖ°í] ¼ø¹ß·Â ÄÚ½º
zts22e	[ÃÊ±Ş] Áö´É°³¹ß ÄÚ½º
zts23e	Á¤½Å ´É·ÂÀ» 4 ³ô¿©ÁØ´Ù.
zts24e	Á¤½ÅÀÌ Áõ°¡ÇÏ¸é ¸¶¹ı°ø°İ, ¸¶¹ı¹æ¾î·ÂÀÌ Áõ°¡ÇÑ´Ù
zts25e	[Áß±Ş] Áö´É°³¹ß ÄÚ½º
zts26e	Á¤½Å ´É·ÂÀ» 15 ³ô¿©ÁØ´Ù.
zts29e	[ÃÊ±Ş] »çÀ°¹ı
zts30e	[Áß±Ş] »çÀ°¹ı
zts31e	[°í±Ş] »çÀ°¹ı
zts32e	[ÃÖ°í] »çÀ°¹ı
zts33e	[ÃÊ±Ş] »ı¸í¿¬Àå
zts34e	ÃÖ´ë HP¾çÀ» 50 Áõ°¡½ÃÄÑÁØ´Ù
zts35e	[Áß±Ş] »ı¸í¿¬Àå
zts36e	ÃÖ´ë HP¾çÀ» 150 Áõ°¡½ÃÄÑÁØ´Ù
zts37e	[°í±Ş] »ı¸í¿¬Àå
zts38e	[ÃÖ°í] »ı¸í¿¬Àå
zts39e	[ÃÊ±Ş] Á¤½Å¼ö·Ã
zts40e	ÃÖ´ë MP¾çÀ» 50 Áõ°¡½ÃÄÑÁØ´Ù
zts41e	[Áß±Ş] Á¤½Å¼ö·Ã
zts42e	ÃÖ´ë MP¾çÀ» 150 Áõ°¡½ÃÄÑÁØ´Ù
zts43e	[°í±Ş] Á¤½Å¼ö·Ã
zts44e	[ÃÖ°í] Á¤½Å¼ö·Ã
zts45e	[ÃÊ±Ş] È¿À²Àû °ø°İ·Ğ
zts46e	¸ğµç °ø°İ·ÂÀ» 2 »ó½Â½ÃÄÑÁØ´Ù
zts47e	[Áß±Ş] È¿À²Àû °ø°İ·Ğ
zts48e	¸ğµç °ø°İ·ÂÀ» 6 »ó½Â½ÃÄÑÁØ´Ù
zts51e	[ÃÊ±Ş] ÀÚ±â ¹æ¾î¼ú
zts52e	¸ğµç ¹æ¾î·ÂÀ» 3 »ó½Â½ÃÄÑÁØ´Ù
zts53e	[Áß±Ş] ÀÚ±â ¹æ¾î¼ú
zts54e	¸ğµç ¹æ¾î·ÂÀ» 8 »ó½Â½ÃÄÑÁØ´Ù
zts57e	[ÃÊ±Ş] »ı¸íÈ¸º¹»ó½Â
zts58e	HP È¸º¹¾çÀ» 20 »ó½Â½ÃÄÑÁØ´Ù
zts59e	[Áß±Ş] »ı¸íÈ¸º¹»ó½Â
zts60e	HP È¸º¹¾çÀ» 50 »ó½Â½ÃÄÑÁØ´Ù
zts61e	[°í±Ş] »ı¸íÈ¸º¹»ó½Â
zts62e	[ÃÖ°í] »ı¸íÈ¸º¹»ó½Â
zts63e	[ÃÊ±Ş]¸í»óÈ¸º¹½Ã°£
zts64e	MPÈ¸º¹¾çÀ» 20 »ó½Â½ÃÄÑÁØ´Ù
zts65e	[Áß±Ş]¸í»óÈ¸º¹½Ã°£
zts66e	MPÈ¸º¹¾çÀ» 50 »ó½Â½ÃÄÑÁØ´Ù
zts67e	[°í±Ş]¸í»óÈ¸º¹½Ã°£
zts68e	[ÃÖ°í]¸í»óÈ¸º¹½Ã°£
zts70e	Æò»ó½Ã¿¡µµ HP¿Í MP¸¦ ¾à°£¾¿ È¸º¹½ÃÄÑÁØ´Ù
zts71e	[Áß±Ş]ÀÚ¿¬Ä¡À¯
zts72e	[°í±Ş]ÀÚ¿¬Ä¡À¯
zts73e	[ÃÊ±Ş] ¹«±â¸¦ ´Ù·çÀÚ
zts74e	[Áß±Ş] ¹«±â¸¦ ´Ù·çÀÚ
zts75e	[°í±Ş] ¹«±â¸¦ ´Ù·çÀÚ
zts76e	[ÃÊ±Ş] Ä¡¸íÀûÀÎ°ø°İ ¿¬±¸
zts77e	[Áß±Ş] Ä¡¸íÀûÀÎ°ø°İ ¿¬±¸
zts78e	[°í±Ş] Ä¡¸íÀûÀÎ°ø°İ ¿¬±¸
zts79e	[ÃÊ±Ş] µ¶ÀúÇ× ´É·Â
zts80e	[Áß±Ş] µ¶ÀúÇ× ´É·Â
zts81e	[°í±Ş] µ¶ÀúÇ× ´É·Â
zts82e	[ÃÊ±Ş] Áúº´ÀúÇ× ´É·Â
zts83e	[Áß±Ş] Áúº´ÀúÇ× ´É·Â
zts84e	[°í±Ş] Áúº´ÀúÇ× ´É·Â
zts85e	[ÃÊ±Ş] ¸¶¹ıÀúÇ× ´É·Â
zts86e	[Áß±Ş] ¸¶¹ıÀúÇ× ´É·Â
zts87e	[°í±Ş] ¸¶¹ıÀúÇ× ´É·Â
zts88e	[ÃÊ±Ş] ÀÏ¹İÀúÇ× ´É·Â
zts89e	[Áß±Ş] ÀÏ¹İÀúÇ× ´É·Â
zts90e	[°í±Ş] ÀÏ¹İÀúÇ× ´É·Â
zts91e	[ÃÊ±Ş] °Ç°­°ü¸®
zts92e	[Áß±Ş] °Ç°­°ü¸®
zts93e	[°í±Ş] °Ç°­°ü¸®
zts94e	[ÃÊ±Ş] ¿ä°¡
zts95e	[Áß±Ş] ¿ä°¡
zts96e	[°í±Ş] ¿ä°¡
zts97e	ÈÖµÎ¸£±â
zts98e	±âº»ÀûÀÎ ±â¼ú·Î ¹«±â¸¦ ÈÖµÎ¸£´Â °ø°İÀÌ´Ù
zts99e	»õÃÑ½î±â
zts100e	»õÃÑÀ» »ç¿ëÇÏ´Â ±âº» ±â¼úÀÌ´Ù
zts101e	°­ÇÑÀÏ°İ
zts102e	Á»´õ °­·ÂÇÏ°Ô ¹«±â¸¦ ÈÖµÑ·¯ Å« ÇÇÇØ¸¦ ÀÔÈ÷´Â ±â¼úÀÌ´Ù
zts103e	Á¶ÁØ»ç°İ
zts104e	Á»´õ Á¤¹ĞÇÑ »ç°İÀ¸·Î Àû¿¡°Ô ´õ ¸¹Àº ÇÇÇØ¸¦ ÀÔÈù´Ù
zts105e	µ¹·ÁÄ¡±â
zts106e	¸öÀ» ÇÑ¹ÙÄû µ¹·Á ÁÖÀ§ÀÇ ÀûµéÀ» ¸ğµÎ °ø°İÇÏ´Â ±â¼úÀÌ´Ù
zts107e	³­Å¸
zts108e	¾ÕÀÇ ÀûÀ» »çÁ¤¾øÀÌ µÎµé°Ü ¶§¸®´Â ±â¼úÀÌ´Ù
zts109e	ÀüÅõÀÇ ¿ÜÄ§
