zts1e	새끼 붉은여우
zts2e	붉은여우
zts3e	어미 붉은여우
zts4e	[지친 갈색여우]
zts5e	갈색여우
zts6e	강한 갈색여우
zts7e	[순한 큰귀여우]
zts8e	큰귀여우
zts9e	사나운 큰귀여우
zts10e	순한 백양
zts11e	백양
zts12e	성난백양
zts13e	새끼 야생양
zts14e	야생양
zts15e	어미 야생양
zts16e	지친 큰뿔양
zts17e	큰뿔양
zts18e	강한 큰뿔양
zts19e	순한 야생만드라
zts20e	야생만드라
zts21e	거친 야생만드라
zts22e	부실한 약재만드라
zts23e	약재만드라
zts24e	튼튼한 약재만드라
zts25e	덜자란 댄더피프
zts26e	댄더피프
zts27e	잘자란 댄더피프
zts28e	약한 독댄더피프
zts29e	독댄더피프
zts30e	강한 독댄더피프
zts31e	약한 옐로우씨드플
zts32e	옐로우씨드플
zts33e	강한 옐로우씨드플
zts34e	가벼운 레드씨드플
zts35e	레드씨드플
zts36e	무거운 레드씨드플
zts37e	무른 완두빈빈
zts38e	완두빈빈
zts39e	단단한 완두빈빈
zts40e	덜자란 야생빈빈
zts41e	야생빈빈
zts42e	잘자란 야생빈빈
zts43e	뭉툭 가시빈빈
zts44e	가시빈빈
zts45e	뾰족 가시빈빈
zts46e	무른 완두빈줄기
zts47e	완두 빈줄기
zts48e	단단한 완두빈줄기
zts49e	덜자란 야생빈줄기
zts50e	야생 빈줄기
zts51e	잘자란 야생빈줄기
zts52e	뭉특 가시빈줄기
zts53e	가시 빈줄기
zts54e	뾰족 가시빈줄기
zts55e	미약한 박쥐윙블랙볼
zts56e	박쥐윙 블랙볼
zts57e	강한 박쥐윙블랙볼
zts58e	약한 빅윙블랙볼
zts59e	빅윙 블랙볼
zts60e	강한 빅윙블랙볼
zts61e	약한 악마윙블랙볼
zts62e	악마윙 블랙볼
zts63e	강한 악마윙블랙볼
zts64e	지친 다크레더핸드
zts65e	다크레더핸드
zts66e	성난 다크레더핸드
zts67e	지친 다크쐐기핸드
zts68e	다크 쐐기핸드
zts69e	성난 다크쐐기핸드
zts70e	지친 다크스톤핸드
zts71e	다크스톤핸드
zts72e	성난 다크스톤핸드
zts73e	왠지 수상쩍은 임프
zts74e	작은뿔임프
zts75e	사나운 작은뿔임프
zts76e	순한 외뿔임프
zts77e	외뿔임프
zts78e	사나운 외뿔임프
zts79e	순한 거대뿔임프
zts80e	사나운 거대뿔임프
zts81e	거대뿔임프
zts82e	이상하게 물컹거리는놈
zts83e	핑크슬링
zts84e	탱탱 핑크슬링
zts85e	물컹 레드슬링
zts86e	레드슬링
zts87e	탱탱 레드슬링
zts88e	물컹 다크슬링
zts89e	다크슬링
zts90e	탱탱 다크슬링
zts91e	알수없는 생명체
zts92e	다크워리어
zts93e	광포한 다크워리어
zts94e	알수없는두번째생명체
zts95e	빅윙 다크워리어
zts96e	광포한 빅윙다크워리어
zts97e	순한 가시쥐
zts98e	가시쥐
zts99e	사나운 가시쥐
zts100e	약한 독가시쥐
zts101e	독가시쥐
zts102e	강한 독가시쥐
zts103e	새끼 강철가시쥐
zts104e	강철가시쥐
zts105e	어미 강철가시쥐
zts106e	순한 신참광부
zts107e	신참광부
zts108e	거친 신참광부
zts109e	약한 고참광부
zts110e	고참광부
zts111e	힘쎈 고참광부
zts112e	지친 광부반장
zts113e	광부반장
zts114e	강한 광부반장
zts115e	약한 코아렌장검대원
zts116e	코아렌 장검대원
zts117e	강한 코아렌장검대원
zts118e	지친 코아렌궁수대원
zts119e	코아렌 궁수대원
zts120e	강한 코아렌궁수대원
zts121e	서툰 코아렌호위대원
zts122e	코아렌 호위대원
zts123e	노련한 코아렌호위대원
zts124e	사용하지않음
zts125e	ToT 부대원
zts126e	앤드류 엑스퍼
zts127e	콘라드 코너
zts128e	해럴드 가드
zts129e	더미 만드라
zts130e	약한 박쥐윙블랙볼
zts131e	피곤한 다크레더핸드
zts132e	플레임
zts133e	사나운 플레임
zts134e	카일규어
zts135e	암흑의 카일규어
zts136e	둥구리
zts137e	단단한 둥구리
zts138e	강철둥구리
zts139e	단단한 강철둥구리
zts140e	미믹
zts141e	통통 미믹
zts142e	사나운 미믹
zts143e	철그렁 미믹
zts144e	사나운 철그렁미믹
zts145e	2급 켄코 대검대원
zts146e	켄코 대검대원
zts147e	정예 켄코 대검대원
zts148e	2급 켄코 투창대원
zts149e	켄코 투창대원
zts150e	정예 켄코 투창대원
zts151e	2급 켄코 돌격대원
zts152e	켄코 돌격대원
zts153e	정예 켄코 돌격대원
zts154e	라네탄
zts155e	페르논 드라이어드
zts156e	토리토리
zts157e	레드토리
zts158e	블랙토리
zts159e	감기걸린토리
zts160e	유학파 검투사토리
zts161e	거대만드라
zts162e	대쉬만드라
zts163e	병정거미
zts164e	슬라드
zts165e	슬라드사제
zts166e	슬라드동상
zts167e	빨간슬링
zts168e	슬금슬링
zts169e	핑크빛슬링
zts170e	까만슬링
zts171e	검은 왕거미
zts172e	파편둥구리
zts173e	위험한 파편둥구리
zts174e	스팅둥구리
zts175e	위험한 스팅둥구리
zts176e	산타토리
zts177e	워렛
zts178e	신년 복돼지
zts179e	갈색리자드
zts180e	녹색리자드
zts181e	비만비둘기
zts182e	참너굴새
zts183e	독너굴새
zts184e	돌망치그루터기
zts185e	쇠망치그루터기
zts186e	돌도끼그루터기
zts187e	쇠도끼그루터기
zts188e	나무좀비
zts189e	광포한나무좀비
zts190e	메이플정령
zts191e	메이플마신
zts192e	단풍톱니둥구리
zts193e	철단풍톱니둥구리
zts194e	회색늑대
zts195e	거친 회색늑대
zts196e	갈기늑대
zts197e	강한 갈기늑대
zts198e	굴돼지
zts199e	땅굴돼지
zts200e	산거북
zts201e	돌산거북
zts202e	벌집나무
zts203e	위험한 벌집나무
zts204e	성난벌떼
zts205e	위험한벌떼
zts206e	여왕벌
zts207e	럭셔리 여왕벌
zts208e	이빨거미
zts209e	독한 이빨거미
zts210e	강력한 이빨거미
zts211e	독거미
zts212e	사나운 독거미
zts213e	우두머리 독거미
zts214e	왕거미
zts215e	굶주린 왕거미
zts216e	포악한왕거미
zts217e	스팅거
zts218e	대롱 스팅거
zts219e	뾰족 스팅거
zts220e	꾸물 갑주벌레
zts221e	갑주벌레
zts222e	위험한 갑주벌레
zts223e	새끼갑주벌레
zts224e	병든 대롱마기
zts225e	대롱마기
zts226e	사나운 대롱마기
zts227e	약한 스컬소드맨
zts228e	삐거덕 스컬소드맨
zts229e	사악한 스컬소드맨
zts230e	스컬
zts231e	미완의 암흑골렘
zts232e	암흑골렘
zts233e	변형된 암흑골렘
zts234e	낡은 더스트콧
zts235e	더스트콧
zts236e	저주의 더스트콧
zts237e	도도 다크윗치
zts238e	로즈 다크윗치
zts239e	도도 블러드윗치
zts240e	로즈 블러드윗치
zts241e	사비나 다크시귀부인
zts242e	에디스 다크시귀부인
zts243e	데몬창병
zts244e	정예 데몬창병
zts245e	포악한 스컬소드맨
zts246e	악령의 스컬소드맨
zts247e	고대의 스컬소드맨
zts248e	단단한 암흑골렘
zts249e	광포한 암흑골렘
zts250e	사념의 더스트콧
zts251e	악마의 더스트콧
zts252e	비열한 대롱마기
zts253e	쿨럭쿨럭킨
zts254e	마샤 다크윗치
zts255e	실비아 다크시귀부인
zts256e	암흑의 후르 켄코
zts257e	킹 레더핸드
zts258e	마왕 다크
zts259e	스컬아처
zts260e	악령의 스컬아처
zts261e	스컬해머맨
zts262e	사악한 스컬해머맨
zts263e	더스트킹
zts264e	불멸의 더스트킹
zts265e	아이스콧
zts266e	아이스콧2
zts267e	푹신한슬링
zts268e	다크 스탈린
zts269e	아쿠아젤
zts270e	땡땡이슬라임
zts271e	자이센로드
zts272e	다크카스트라
zts273e	슬라드하임
zts274e	그레이브
zts275e	나쁜데몬
zts276e	잭스파이더
zts277e	7년근 인삼
zts278e	얌전한인삼
zts279e	그라운드리자드
zts280e	롱다리거미
zts281e	소환자들
zts282e	마른수호자
zts283e	강력한 마른수호자
zts284e	뚱보수호자
zts285e	강력한 뚱보수호자
zts286e	저주받은 수호자
zts287e	에릴카운터
zts288e	빌 스미스
zts289e	셀빅 비기너
zts290e	셀로인 빈티지
zts291e	벨로치카 티어
zts292e	라울 엔디넬
zts293e	열라쎈 산삼
zts294e	크르 코아렌
zts295e	불친절도우미 법사
zts296e	불친절도우미 검사
zts297e	밀라노 수비대
zts298e	로펠로 친위대
zts299e	수비대 석궁수
zts300e	시차적응안된 크르코아렌
zts301e	크르코아렌
zts302e	아크크 케넬
zts303e	후르 켄코
zts304e	레인
zts305e	케빈
zts306e	킁
zts307e	프린세스 샤를롯
zts308e	암흑의 페트리샤
zts309e	도도 화이트위치
zts310e	세닐
zts311e	쿠르 카르벤
zts312e	모건 스미스
zts313e	빌 스튜어드
zts314e	어중이
zts315e	광산 관리인
