zts1e	최고의 서비스
zts2e	에레니아의 메달
zts3e	[주요효과][n]장비, 주요, 기타 인벤토리의 보유량이 8칸씩[n]총 24칸이 증가한다.[n](모험가의 메달과 같이 사용시 36칸 증가)[n][부가효과][n]전투경험치 획득량이 15% 상승한다.[n]직업경험치 획득량이 15% 상승한다.[n]펫과 파트너의 획득경험치가 15% 상승한다.[n](모험가의 메달과 같이 사용시 30% 상승)[n]골드 획득량이 20% 상승한다.[n]명성 획득량이 20% 상승한다.[n]
zts4e	편리한 모험을 원한다면
zts5e	모험가의 메달
zts6e	[주요효과][n]장비, 주요, 기타 인벤토리의 보유량이 4칸씩[n]총 12칸이 증가한다.[n](에레니아의 메달과 같이 사용시 36칸 증가)[n][부가효과][n]전투경험치 획득량이 15% 상승한다.[n]직업경험치 획득량이 15% 상승한다.[n]펫과 파트너의 획득경험치가 15% 상승한다.[n](에레니아의 메달과 같이 사용시 30% 상승)[n]
zts7e	페어리의 능력을 뛰어넘다!
zts8e	불의 정령 샐라임
zts9e	불의 정령으로 70까지 성장이 가능하다.[n]불페어리와 동일한 기능을 한다.[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts10e	더욱 강한 물속성
zts11e	물의 정령 운디네
zts12e	물의 정령으로 70까지 성장이 가능하다.[n]물페어리와 동일한 기능을 한다.[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts13e	강력해진 빛의 기운
zts14e	빛의 정령 에페리얼
zts15e	빛의 정령으로 70까지 성장이 가능하다.[n]빛페어리와 동일한 기능을 한다.[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts16e	어둠의 힘을 보여주마
zts17e	어둠의 정령 튜리크
zts18e	어둠의 정령으로 70까지 성장이 가능하다.[n]어둠 페어리와 동일한 기능을 한다.[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts19e	벌써 쓸만큼 컸다?
zts20e	성장한 샐라임
zts21e	불의 정령으로 70까지 성장이 가능하다.[n]이미 40까지 성장이 되어있어 1부터 키울 필요가 없다.[n]불페어리와 동일한 기능을 한다.[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts22e	사자마자 쓸만하다
zts23e	성장한 운디네
zts24e	물의 정령으로 70까지 성장이 가능하다.[n]이미 40까지 성장이 되어있어 1부터 키울 필요가 없다.[n]물페어리와 동일한 기능을 한다.[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts25e	키우기 중간생략!
zts26e	성장한 에페리얼
zts27e	빛의 정령으로 70까지 성장이 가능하다.[n]이미 40까지 성장이 되어있어 1부터 키울 필요가 없다.[n]빛페어리와 동일한 기능을 한다.[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts28e	바로 쓸수있는 녀석
zts29e	성장한 튜리크
zts30e	어둠의 정령으로 70까지 성장이 가능하다.[n]이미 40까지 성장이 되어있어 1부터 키울 필요가 없다.[n]어둠페어리와 동일한 기능을 한다.[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts31e	56칸의 위용
zts32e	초대형 2층 창고
zts33e	미니랜드에 설치시 56칸의 슬롯을 모두 이용할수 있는[n]창고를 빌린다.[n]구매후 처음 설치를 한 순간부터 시간이 체크된다.[n][주의사항][n]기간이 지난후에는 창고가 사라지기 때문에 미리[n]다른 창고를 준비해 놓는것이 좋다.[n]단, 다른 창고의 용량이 더 적은 경우에는 뺄수 없는[n]물건이 생길 수 있으므로 기간이 완료되기 전에[n]정리를 해놓자.[n]
zts34e	나의 펫에게 이쁜 이름을!
zts35e	펫 이름표 1개
zts36e	자신의 펫에게 이름을 지어줄 수 있다.[n]한번 사용하면 사라진다.[n]
zts37e	펫에게 이름을 지어주세요
zts38e	펫 이름표 5개 묶음
zts39e	펫에게 이름을 지어줄 수 있다.[n]펫 이름표 5개를 한꺼번에 구매한다.[n]
zts40e	소중한 당신의 펫에게
zts41e	최고급 펫먹이 3개
zts42e	펫의 충성도가 최대치가 된다.[n]부가적으로 레벨이 1 상승한다.[n]단, 플레이어의 레벨보다 5레벨 이상 낮은 경우에만[n]사용이 가능하다.[n](플레이어가 50레벨의 경우 45레벨까지만 올릴수 있다)[n]
zts43e	건강을 챙겨주세요
zts44e	파트너용 탕약 3개
zts45e	파트너의 호감도가 최대치가 된다.[n]부가적으로 파트너의 레벨을 1 상승시켜준다.[n]단, 플레이어의 레벨보다 5레벨 이상 낮은 경우에만[n]사용이 가능하다.[n](플레이어가 50레벨의 경우 45레벨까지만 올릴수 있다)[n]
zts46e	펫을 떠나보내지 마세요
zts47e	펫 보관용 구슬
zts48e	펫을 구슬에 넣어 인벤토리나 창고에 보관할 수 있으며[n]다른 유저들과 거래할 수도 있다.[n][주의사항][n]펫의 모든 기록은 저장되지만 펫의 이름은 사라진다.[n]펫이 플레이어보다 레벨이 높은 경우 미니랜드에[n]놔둘수는 있지만 노스메이트로 동행시킬 수는 없다.[n]
zts49e	파트너도 거래를?
zts50e	파트너 보관 구슬
zts51e	파트너를 구슬에 넣어 인벤토리나 창고에 보관할 수 있으며[n]다른 유저들과 거래할 수도 있다.[n][주의사항][n]보관시 파트너의 장비는 모두 벗어야 한다.[n]같은 파트너가 이미 있는 경우 그 파트너를 먼저 보관한 후 꺼내야 한다.[n]파트너가 플레이어보다 레벨이 높은 경우 미니랜드에[n]놔둘수는 있지만 노스메이트로 동행시킬 수는 없다.[n]
zts52e	스페셜카드를 거래하자!
zts53e	스페셜 카드 캐리어
zts54e	스페셜카드를 1장 담을 수 있으며[n]캐리어에 담는 경우 다른 유저와[n]교환과 거래가 가능해진다.[n]보관시 레벨과 경험치가 모두 보존된다.[n]
zts55e	스페셜 리스트를 마음껏
zts56e	작은 스페셜 충전제
zts57e	모든 HP가 회복된다.[n]부가적으로 SP포인트가 30000 증가한다.[n]
zts58e	중간 스페셜 충전제
zts59e	모든 HP/MP가 회복된다.[n]부가적으로 SP포인트가 70000 증가한다.[n]
zts60e	스페셜리스트를 마음껏
zts61e	큰 스페셜 충전제
zts62e	모든 HP/MP가 회복되며 나쁜효과가 모두 사라진다.[n]부가적으로 SP포인트가 180000 증가한다.[n]
zts63e	오오 지르기를 안전하게~
zts64e	지름신의 축복 부적
zts65e	3회 사용가능.[n]착용시 지르기 성공확률이 10% 높아지며 실패시 장비도 보호된다.[n]무기, 의상 공용[n]
zts66e	지르기... 따위야!!
zts67e	지름신의 보호 부적
zts68e	3회 사용가능.[n]착용시 지르기 실패시 장비가 보호된다.[n]무기, 의상 공용[n]
zts69e	장비를 재활용하세요
zts70e	등급고정 강화부적
zts71e	3회 사용가능.[n]등급이 고정된 장비를 다시 강화할 수 있게 해준다.[n]무기, 의상 공용[n]
zts72e	자 실컷 마셔볼까?
zts73e	매우큰 전체회복제 99개
zts74e	매우큰 전체회복제를 99개 구매한다.[n]
zts78e	노스몰에만 있는 회복제!
zts79e	실로안의 샘물 70개
zts80e	HP/MP를 모두 3000씩 회복시켜준다.[n]
zts84e	보고싶다 친구야~
zts85e	우정의 날개 10개
zts86e	친구로 등록된 사람중 한명에게 바로 이동이 가능하다.[n]단, 상대가 일반필드에 있는 경우에만 사용이 된다.[n]메신저의 이동 버튼을 누르면 이동이 된다.[n]
zts87e	간지나는 연출을!
zts88e	왁스A 검사님, 멋있어요!
zts89e	*위 이미지는 검사님의 사용예랍니다.[n]궁사님과 주술사님은 다른 품목의 이미지 참조 바.래.요~~[n][n]나는 나일 뿐~ 남들과 똑같은 헤어스타일 노우노우~~[n]튀어보고자 하는 멋쟁이들을 위한 헤어아트 상품!![n]모험가는 사용할 수 없다.[n]
zts90e	왁스A 궁사님, 사랑해요!
zts91e	*위 이미지는 궁사님의 사용예랍니다.[n]검사님과 주술사님은 다른품목의 이미지 참조 바.래.요~~[n][n]나는 나일 뿐~ 남들과 똑같은 헤어스타일 노우노우~~[n]튀어보고자 하는 멋쟁이들을 위한 헤어아트 상품!![n]모험가는 사용할 수 없다.[n]
zts92e	왁스A 주술사님, 최고!
zts93e	*위 이미지는 주술사님의 사용예랍니다.[n]검사님과 궁사님은 다른품목의 이미지 참조 바.래.요~~[n][n]나는 나일 뿐~ 남들과 똑같은 헤어스타일 노우노우~~[n]튀어보고자 하는 멋쟁이들을 위한 헤어아트 상품!![n]모험가는 사용할 수 없다.[n]
zts94e	초간지 스타일쟁이 같으니!
zts95e	왁스B 검사의 변신!
zts96e	*위 이미지는 검사님의 사용예랍니다.[n]궁사님과 주술사님은 다른품목의 이미지 참조 바.래.요~~[n][n]나는 나일 뿐~ 남들과 똑같은 헤어스타일 노우노우~~[n]튀어보고자 하는 멋쟁이들을 위한 헤어아트 상품!![n]모험가는 사용할 수 없다.[n]
zts97e	왁스B 궁사의 새탄생!
zts98e	왁스B 주술사의 재등장!
zts99e	새로운 헤어칼라
zts100e	붉은색 염색약
zts101e	붉은색 머리로 염색한다.[n]
zts102e	예쁜 머리색을 연출
zts103e	녹색 염색약
zts104e	녹색 머리로 염색한다.[n]
zts105e	아니 어느미용실이야?
zts106e	흰색 염색약
zts107e	흰색으로 탈색한다.[n]
zts108e	머리색의 혁명!
zts109e	푸른색 염색약
zts110e	푸른색 머리로 염색한다.[n]
zts111e	너무 잘 어울려요
zts112e	검은색 염색약
zts113e	검은색 머리로 염색한다.[n]
zts114e	게임에서도 자기PR시대!
zts115e	개성만점 자기소개서
zts116e	타인이 자신의 정보를 볼때 보여줄 소개서를 작성한다.[n](초상화에 오른버튼 클릭시 보여지는 정보창)[n]최대 한글30자, 영문 60자까지 입력가능하다.[n]
zts117e	모두에게 내말을 전한다
zts118e	고래고래 확성기 12개
zts119e	서버내 전체 사람에게 자신의 말을 전달 할 수 있다.[n]사용시 채팅창에 전체말로 자신의 말이 전달된다.[n][사용방법][n]확성기를 더블클릭후 할 말을 입력하면 된다.[n]
zts120e	중요한말은 오래오래
zts121e	딱붙는 고정말풍선 10개
zts122e	사용시 30분간 사라지지 않는 말풍선을 만든다.[n]단, 한번 사용시 내용을 고칠 수 없으며[n]접속을 끊으면 사라진다.[n][사용방법][n]고정말풍선을 더블클릭후 하고 싶은말을 입력한다.[n]만약 중간에 끄고 싶으면 채팅창에 '$닫기' 라고 입력한다.[n]고정말풍선이 사라지기 전에 한번 더 사용하면[n]이전 내용이 사라지게 된다.[n]
zts123e	누나들이 자꾸 귀엽데요
zts124e	파트너 레인의 스킨
zts125e	레인을 멋진 모습으로 바꿔주고[n]이동속도도 2 상승 시켜 준다.[n]단, 파트너 보관구슬에 보관시 스킨이 사라지므로[n]주의해야 한다.[n]
zts126e	후후 내모습에 반했는가?
zts127e	파트너 케빈의 스킨
zts128e	케빈을 멋진 모습으로 바꿔주고[n]이동속도도 2 상승 시켜 준다.[n]단, 파트너 보관구슬에 보관시 스킨이 사라지므로[n]주의해야 한다.[n]
zts129e	이래뵈도 족보있는 명견!
zts130e	파트너 킁의 스킨
zts131e	킁을 멋진 모습으로 바꿔주고[n]이동속도도 2 상승 시켜 준다.[n]단, 파트너 보관구슬에 보관시 스킨이 사라지므로[n]주의해야 한다.[n]
zts132e	30일간 기본SP 증가!
zts133e	스페셜리스트 메달
zts134e	매일 1시간 이상 스페셜리스트로 변신해 사냥하는 분들에게 희소식![n][n]하루하루 주어지는 기본SP 포인트가 1만 포인트 + 3만 포인트.[n]총 4만 포인트로 증가한다. (남는경우 10% 누적됨)[n][n]매일매일 30일간 4만 포인트의 SP를 사용하자![n]
zts135e	마니또 이벤트 선물
zts136e	우정의 메달
zts137e	마니또 이벤트로 받은 메달.[n]사용시 전투,직업경험치가 5% 상승한다.[n]메달을 가진 사람들끼리 파티를 맺으면[n]추가적으로 5% 경험치 획득량이 상승하게 된다.[n](10일간 사용)[n]
zts138e	첨엔 남아돌줄 알았어요...
zts139e	혼돈의 씨앗 99개
zts140e	혼돈의 씨앗을 99개 구매한다.[n]
zts141e	땅에 떨어진 내 체면!
zts142e	체면상승물약 3개
zts143e	체면수치가 최대치인 100으로 회복된다.[n]
zts144e	강화와 지르기를 안전하게!
zts145e	보호 스크롤
zts146e	사용시 바로 강화나 지르기를 할수 있다.[n]강화나 지르기 실패시 장비가 사라지지 않는다.[n]지르기의 경우 현재 레어등급보다 더 낮은 등급이 나오면[n]현재의 레어 등급이 유지된다.[n]사용시 강화,지르기를 바로 시도할 수 있도록 창이 생성된다.[n][n]무기, 의상 공용[n]강화,지르기의 성공 실패와는 상관없이 무조건 1개씩 소모된다.[n]
zts147e	등급고정해제 스크롤
zts148e	등급이 고정된 장비를 다시 강화할 수 있게 해준다.[n]스크롤을 더블클릭후 등급이 고정된 아이템을 클릭하면[n]바로 해제가 된다.[n]무기, 의상 공용[n]
zts149e	보호 스크롤 5개
zts150e	등급고정해제 스크롤 5개
zts151e	새로운 패션!
zts152e	고양이 모자
zts153e	모든 기운에 대한 저항이 1 증가한다[n]모든 속성기운이 10만큼 증가한다[n]
zts154e	특별한 선택
zts155e	당나귀 모자
zts156e	착용시 만드라고라 비명에서 일정확률로 보호받는다.[n]최대HP가 100 증가한다[n]최대MP가 50 증가한다[n]
zts157e	간지가 좔좔
zts158e	카우보이 모자
