zts1e	밀라노 장비상점 (사용)
zts13e	안녕히계세요
zts14e	그래 어떤게 궁금하신가?
zts15e	장비 강화는 어떻게 하죠?
zts16e	강화를 하면 뭐가 좋은거죠?
zts17e	파트너의 장비를 교체하려면 어떻게 해야 하나요?
zts18e	옆에 계신 똑같이 생긴 분은 누군가요?
zts19e	장비 강화를 하려면 우선 셀라가루와 소울젬이 필요하지.
zts20e	강화는 무기와 의상만 가능하고 1~10까지 올릴수 있는데, 올릴 수치가 높아질 수록 더 많은 셀라가루가 필요해.
zts21e	아, 그리고 나한테 줄 수고비도 조금 필요하고 말이야~
zts22e	셀라가루랑 소울젬은 어떻게 얻어요?
zts23e	아, 그것들은 길리온스톤을 정제해서 얻을수 있어.
zts24e	길리온스톤은 보통 이곳저곳에서 얻을수 있는데 그걸 소울젬 정제제로 정제시키면 얻을수 있지.
zts25e	셀라가루는 매번 조금씩 얻을수 있지만 소울젬은 항상 나온다고 보장은 못해.
zts26e	그리고 만약 대단히 운이 좋다면 완전한 소울젬을 얻을 수도 있을꺼야.
zts27e	네 알겠습니다
zts28e	무기나 의상을 강화하면 공격등급이나 방어등급이 올라가지.
zts29e	그런데 아이템에는 + 만 붙고 다른 것은 아무런 변화도 없는데요?
zts30e	그래 맞아, 아이템의 능력치는 아무런 변화가 없어.
zts31e	하지만 실제로 싸울때는 서로간의 등급 차이에 따라서 공격력과 방어력이 변화하기 때문에, 등급이 높은것 만으로도 전투가 많이 편해질꺼야.
zts32e	어떤식으로 공격과 방어력이 변하게 되는거죠?
zts33e	그건말이야, 공격자의 공격등급과 방어자의 방어등급을 비교해서 그 차이만큼 수치가 상승하게 돼.
zts34e	보통 등급차가 많을수록 실제 위력의 차이가 커지기 때문에 등급이 높을수록 훨씬 더 성능이 좋아지게 되는거지.
zts35e	아 그렇구나~ 잘 알았습니다
zts36e	어떤 물건을 보고 싶지?
zts37e	무기를 보여주세요
zts38e	의상을 보여주세요
zts39e	기타 장비들을 보고 싶어요
zts40e	파트너장비는 자네와 같이 있는 파트너들이 착용할수 있는 장비를 말하는거야.
zts41e	만약 그들을 더 강하게 하고 싶다면 파트너 장비를 만들어야 해
zts42e	파트너 장비를 만드는것은 간단해. 자네가 쓰고 있는 무기나 의상들 중에 아무거나 하나를 나한테 바꿔달라고 하면 되거든?
zts43e	그럼 그것과 똑같은 성능의 파트너 전용 장비로 내가 만들어 줄 수 있지. 단, 근접은 근접으로, 원거리는 원거리로 바뀐다는걸 명심해야해
zts44e	만약 자네 파트너가 근접공격을 하면 근접 무기와 신체계열 의상을 입을 꺼고.
zts45e	원거리공격을 하면 원거리무기와 민첩계열 의상을,
zts46e	마법공격을 하면 마법무기와 정신계열 의상을 입수 있어.
zts47e	아, 저녀석? 내 쌍둥이 동생이야.
zts48e	그런데 여기는 대단히 바빠 보이는데 저쪽은 한가롭네요?
