zts1e	초보모험가 학습코스
zts2e	다리건너 보이는 시공의 돌을 탐험하세요
zts3e	마을앞 다리건너 있는 꼬닭을 포획하세요
zts4e	밀라노 북부평원의 5레벨 시공의돌을 탐험하세요
zts5e	연금술협회의 라울엔디넬과 대화하세요
zts6e	밀라노 북부평원의 8레벨 시공의돌을 탐험하세요
zts7e	장비상점의 빌스미스와 대화하세요
zts8e	밀라노 북부평원의 10레벨 시공의돌을 탐험하세요
zts9e	TheGanZ의 셀로인빈티지와 대화하세요
zts10e	밀라노 북부평원의 12레벨 시공의돌을 탐험하세요
zts11e	초보 모험가의 수련
zts12e	댄더피프을 사냥해주세요
zts13e	약한 옐로우씨드플을 사냥해주세요
zts14e	잘자란 댄더피프을 사냥해주세요
zts15e	옐로우씨드플을 사냥해주세요
zts16e	강한 옐로우씨드플을 사냥해주세요
zts17e	순한 백양을 사냥해주세요
zts18e	무른 완두빈빈을 사냥해주세요
zts19e	순한 가시쥐을 사냥해주세요
zts20e	완두빈빈을 사냥해주세요
zts21e	완두 빈줄기를 사냥해주세요
zts22e	백양을 사냥해주세요
zts23e	가시쥐을 사냥해주세요
zts24e	단단한 완두빈빈을 사냥해주세요
zts25e	약한 독댄더피프을 사냥해주세요
zts26e	가벼운 레드씨드플을 사냥해주세요
zts27e	사나운 가시쥐을 사냥해주세요
zts28e	밀라노 마을 보호
zts29e	새끼 붉은여우을 잡아주세요
zts30e	순한 야생만드라를 잡아주세요
zts31e	독댄더피프을 잡아주세요
zts32e	레드씨드플을 잡아주세요
zts33e	야생만드라을 잡아주세요
zts34e	성난백양을 잡아주세요
zts35e	강한 독댄더피프를 잡아주세요
zts36e	붉은여우를 잡아주세요
zts37e	무거운 레드씨드플을 잡아주세요
zts38e	어미 붉은여우을 잡아주세요
zts39e	거친야생만드라를 잡아주세요
zts40e	덜자란 야생빈빈을 잡아주세요
zts41e	약한 독가시쥐를 잡아주세요
zts42e	새끼 야생양을 잡아주세요
zts43e	갈색여우를 잡아주세요
zts44e	야생빈빈을 잡아주세요
zts45e	야생양을 잡아주세요
zts46e	독가시쥐를 잡아주세요
zts47e	강한 갈색여우를 잡아주세요
zts48e	부실한 약재만드라를 잡아주세요
zts49e	어미 야생양을 잡아주세요
zts50e	잘자란 야생빈빈을 잡아주세요
zts51e	큰뿔양을 잡아주세요
zts52e	약재만드라를 잡아주세요
zts53e	강한 큰뿔양을 잡아주세요
zts54e	튼튼한 약재만드라를 잡아주세요
zts55e	신전 소탕임무
zts56e	사나운 철그렁미믹을 잡아주세요
zts57e	강철둥구리를 잡아주세요
zts58e	강철가시쥐를 잡아주세요
zts59e	핑크슬링을 잡아주세요
zts60e	작은뿔임프를 잡아주세요
zts61e	악마윙 블랙볼을 잡아주세요
zts62e	단단한 강철둥구리를 잡아주세요
zts63e	순한 외뿔임프를 잡아주세요
zts64e	지친 다크스톤핸드를 잡아주세요
zts65e	성난 다크쐐기핸드를 잡아주세요
zts66e	큰귀여우를 잡아주세요
zts67e	어미 강철가시쥐를 잡아주세요
zts68e	탱탱 레드슬링을 잡아주세요
zts69e	외뿔임프를 잡아주세요
zts70e	사나운 작은뿔임프를 잡아주세요
zts71e	강한 악마윙블랙볼을 잡아주세요
zts72e	사나운 큰귀여우를 잡아주세요
zts73e	사나운 플레임을 잡아주세요
zts74e	탱탱 다크슬링을 잡아주세요
zts75e	다크스톤핸드를 잡아주세요
zts76e	순한 거대뿔임프를 잡아주세요
zts77e	사나운 외뿔임프를 잡아주세요
zts78e	성난 다크스톤핸드를 잡아주세요
zts79e	카일규어를 잡아주세요
zts80e	광포한 다크워리어를 잡아주세요
zts81e	거대뿔임프를 잡아주세요
zts82e	빅윙 다크워리어를 잡아주세요
zts83e	다크워리어를 잡아주세요
zts84e	사나운 거대뿔임프를 잡아주세요
zts85e	광산을 지켜라
zts86e	순한 신참광부을 잡아주세요
zts87e	약한 고참광부을 잡아주세요
zts88e	신참광부을 잡아주세요
zts89e	거친 신참광부을 잡아주세요
zts90e	고참광부을 잡아주세요
zts91e	지친 광부반장을 잡아주세요
zts92e	힘쎈 고참광부을 잡아주세요
zts93e	광부반장을 잡아주세요
zts94e	강한광부반장을 잡아주세요
zts95e	광석을 모아주세요.
zts96e	낡은 곡괭이를 모아주세요.
zts97e	부서진 뿔피리를 모아주세요.
zts98e	코볼트 전투!
zts99e	코아렌 장검대원을 잡아주세요
zts100e	코아렌 궁수대원을 잡아주세요
zts101e	코아렌 호위대원을 잡아주세요
zts102e	강한 코아렌장검대원을 잡아주세요
zts103e	강한 코아렌궁수대원을 잡아주세요
zts104e	노련한 코아렌호위대원을 잡아주세요
zts105e	2급 켄코 대검대원을 잡아주세요
zts106e	2급 켄코 투창대원을 잡아주세요
zts107e	2급 켄코 돌격대원을 잡아주세요
zts108e	켄코 대검대원을 잡아주세요
zts109e	켄코 투창대원을 잡아주세요
zts110e	켄코 돌격대원을 잡아주세요
zts111e	정예 켄코 대검대원을 잡아주세요
zts112e	정예 켄코 투창대원을 잡아주세요
zts113e	정예 켄코 돌격대원을 잡아주세요
zts114e	크렘산지 보호임무!
zts115e	사나운 거대뿔임프을 잡아주세요
zts116e	광포한 다크워리어을 잡아주세요
zts117e	여왕벌을 잡아주세요
zts118e	회색늑대을 잡아주세요
zts119e	독거미을 잡아주세요
zts120e	스팅거을 잡아주세요
zts121e	꾸물 갑주벌레을 잡아주세요
zts122e	가시빈빈을 잡아주세요
zts123e	굴돼지을 잡아주세요
zts124e	산거북을 잡아주세요
zts125e	이빨거미을 잡아주세요
zts126e	거친 회색늑대을 잡아주세요
zts127e	사나운 독거미을 잡아주세요
zts128e	대롱마기을 잡아주세요
zts129e	갈기늑대을 잡아주세요
zts130e	독한 이빨거미을 잡아주세요
zts131e	대롱 스팅거을 잡아주세요
zts132e	뾰족 가시빈빈을 잡아주세요
zts133e	돌산거북을 잡아주세요
zts134e	갑주벌레을 잡아주세요
zts135e	강한 갈기늑대을 잡아주세요
zts136e	강력한 이빨거미을 잡아주세요
zts137e	우두머리 독거미을 잡아주세요
zts138e	사나운 대롱마기을 잡아주세요
zts139e	땅굴돼지을 잡아주세요
zts140e	위험한 벌집나무을 잡아주세요
zts141e	럭셔리 여왕벌을 잡아주세요
zts142e	뾰족 스팅거을 잡아주세요
zts143e	위험한 갑주벌레을 잡아주세요
zts144e	비열한 대롱마기을 잡아주세요
zts145e	캐트시 전투
zts146e	도도 다크윗치을 잡아주세요
zts147e	도도 블러드윗치을 잡아주세요
zts148e	로즈 다크윗치을 잡아주세요
zts149e	로즈 블러드윗치을 잡아주세요
zts150e	사비나 다크시귀부인을 잡아주세요
zts151e	에디스 다크시귀부인을 잡아주세요
zts152e	마샤 다크윗치을 잡아주세요
zts153e	실비아 다크시귀부인을 잡아주세요
zts154e	언데드 퇴치
zts155e	약한 스컬소드맨을 잡아주세요
zts156e	낡은 더스트콧을 잡아주세요
zts157e	미완의 암흑골렘을 잡아주세요
zts158e	삐거덕 스컬소드맨을 잡아주세요
zts159e	암흑골렘을 잡아주세요
zts160e	더스트콧을 잡아주세요
zts161e	사악한 스컬소드맨을 잡아주세요
zts162e	변형된 암흑골렘을 잡아주세요
zts163e	저주의 더스트콧을 잡아주세요
zts164e	포악한 스컬소드맨을 잡아주세요
zts165e	단단한 암흑골렘을 잡아주세요
zts166e	악령의 스컬소드맨을 잡아주세요
zts167e	사념의 더스트콧을 잡아주세요
zts168e	고대의 스컬소드맨을 잡아주세요
zts169e	광포한 암흑골렘을 잡아주세요
zts170e	악마의 더스트콧을 잡아주세요
zts171e	라울의 아이템 수집 의뢰
zts172e	여우꼬리털을 모아주세요.
zts173e	가시쥐가시를 모아주세요.
zts174e	양털을 모아주세요.
zts175e	만드라고라를 모아주세요.
zts176e	덴더씨앗을 모아주세요.
zts177e	씨드플 이파리를 모아주세요.
zts178e	작은콩을 모아주세요.
zts179e	슬링류를 잡아서 물컹젤리를 모아주세요.
zts180e	임프의 뿔을 모아주세요.
zts181e	블랙볼을 모아주세요.
zts182e	다크핸드류, 코아랜류, 켄코류를 잡아서 빛나는조각을 모아주세요.
zts183e	다크워리어류를 잡아서 어둠의 조각을 모아주세요.
zts184e	늑대갈기털을 모아주세요.
zts185e	거북등딱지를 모아주세요.
zts186e	거미줄을 모아주세요.
zts187e	스컬소드맨류, 암흑골램류, 더스트콧류를 잡아서 암흑의 구슬을 모아주세요.
zts188e	파자마에게 이불을!
zts189e	이불을 만들 양털을 모아주세요
zts190e	파자마에게 베게를!
