#===19레벨때 어중이에게 스크립트2 메인 퀘스트를 얻는다
331 0 2 1 19 1
#===25레벨때 에릴과 대화하면서 시작됨	
300 0 3 2 25 1
#===28레벨때 모건과 대화하면 얻음
328 0 4 3 28 1
#=====31레벨때 에릴과 대화해서 얻음
300 0 5 4 31 1
#=====33레벨때 레이먼드와 대화	
356 0 6 5 33 5
#==========35레벨때 베이먼과 대화해서 획득
357 0 7 6 35 5
#=====39레벨에 레이먼드와 대화해서 획득	
356 0 8 7 39 5
#=====43레벨에 에릴카운트 대화해서 획득	
300 0 9 8 43 1
#=====44레벨에 첩보대원과 대화해서 획득	
389 0 10 9 44 63
#=====48레벨에 첩보대원과 대화해서 획득	
389 0 11 10 48 63
#=====56레벨에 산드라 브레이크와 대화해서 획득	
394 0 12 11 56 88
#=====58레벨에 산드라 브레이크와 대화해서 획득	
394 0 13 12 58 88
#=====60레벨에 산드라 브레이크와 대화해서 획득	
394 0 14 13 60 88
#=====62레벨에 빌스미스와 대화해서 획득	
301 0 15 14 62 1
#=====66레벨에 산드라브레이크와 대화해서 획득	
394 0 16 15 66 88
#=====67레벨에 에릴카운터와 대화해서 획득	
300 0 17 16 67 1
#=====70레벨에 에릴카운터와 대화해서 획득	
300 0 18 17 70 1
#=====72레벨에 샤를롯과 대화해서 획득	
455 0 19 18 72 108
#=====75레벨에 렉트라트와 대화해서 획득	
463 0 20 19 75 47
#=====78레벨에 에리 윈드스피어와 대화해서 획득	
459 0 21 20 78 107
#=====81레벨에 에릴과 대화해서 획득	
300 0 22 21 81 1
#=====80레벨에 세리자드와 대화해서 획득	
1065 0 23 22 88 179
#NPC Act Quest - Lv
#=====항구 습격 저지(항구지기톰)
1062 1 5000 0 72
1062 1 5001 0 72
1062 1 5002 0 72
1062 1 5003 0 72
1062 1 5004 0 72
1062 1 5005 0 72
1062 1 5030 0 72
1062 1 5010 0 72
1062 1 5029 0 72
1062 1 5036 0 73
1062 1 5043 0 73
1062 1 5044 0 73
1062 1 5045 0 73
1062 1 5046 0 74
1062 1 5049 0 75
#=====항구 습격 저지 (조수 빈)
1085 1 5006 0 72
1085 1 5007 0 72
1085 1 5008 0 72
1085 1 5009 0 72
1085 1 5011 0 72
1085 1 5012 0 72
1085 1 5013 0 72
1085 1 5014 0 72
1085 1 5015 0 72
1085 1 5016 0 72
1085 1 5017 0 72
1085 1 5032 0 72
1085 1 5021 0 72
1085 1 5022 0 72
1085 1 5023 0 72
1085 1 5024 0 72
1085 1 5025 0 72
1085 1 5026 0 72
1085 1 5027 0 72
1085 1 5028 0 72
1085 1 5035 0 72
1085 1 5047 0 74
1085 1 5048 0 75
1085 1 5053 0 74
1085 1 5054 0 75
#=====항구 주변이 이상한데... (등대지기 칠튼)
1061 1 5031 0 72
1061 1 5018 0 72
1061 1 5033 0 72
1061 1 5050 0 73
1061 1 5051 0 73
1061 1 5052 0 74
1061 1 5055 0 75
#=====항구 주변이 이상한데... (총행수 아카무르)
1063 1 5019 0 72
1063 1 5056 0 74
1063 1 5069 0 74
1063 1 5079 0 74
1063 1 5080 0 74
1063 1 5093 0 74
1063 1 5103 0 75
1063 1 5111 0 75
1063 1 5119 0 75
#=====멍청하지만 소중한 조수 (조수쉐인)
1270 1 5037 0 73
1270 1 5038 0 73
1270 1 5039 0 73
1270 1 5040 0 73
1270 1 5041 0 73
1270 1 5042 0 73
#=====탈취된 교역품을 찾아라 (슈밀 헤이즐)
1064 1 5057 0 74
1064 1 5058 0 74
1064 1 5059 0 74
1064 1 5060 0 74
1064 1 5061 0 74
1064 1 5062 0 74
1064 1 5063 0 74
1064 1 5064 0 74
1064 1 5065 0 74
1064 1 5066 0 74
1064 1 5067 0 74
1064 1 5068 0 74
1064 1 5070 0 74
1064 1 5071 0 74
1064 1 5072 0 74
1064 1 5073 0 74
1064 1 5074 0 74
1064 1 5075 0 74
1064 1 5076 0 74
1064 1 5077 0 74
1064 1 5078 0 74
1064 1 5081 0 74
1064 1 5082 0 74
1064 1 5091 0 74
1064 1 5092 0 74
1064 1 5095 0 75
1064 1 5096 0 75
1064 1 5101 0 75
1064 1 5102 0 75
1064 1 5104 0 75
1064 1 5105 0 75
1064 1 5106 0 75
1064 1 5107 0 75
1064 1 5108 0 75
1064 1 5109 0 75
1064 1 5110 0 75
1064 1 5112 0 75
1064 1 5113 0 75
1064 1 5114 0 75
1064 1 5115 0 75
1064 1 5116 0 75
1064 1 5117 0 75
1064 1 5118 0 75
#=====사막도적단과의 협상 (대리인 무르샤)
1263 1 5083 0 74
1263 1 5084 0 74
1263 1 5085 0 74
1263 1 5086 0 74
1263 1 5087 0 74
1263 1 5088 0 74
1263 1 5089 0 74
1263 1 5090 0 74
#=====상단포로 구출작전 (퀘받는 NPC)
1281 1 5094 0 75
#=====상단포로 구출작전 (상단포로 후마드)
1266 1 5097 0 75
1266 1 5098 0 75
1266 1 5099 0 75
1266 1 5100 0 75
#=====사막도적단이 노리는 것은? (세미아 팰튼)
1071 1 5121 0 76
1071 1 5122 0 76
1071 1 5123 0 76
1071 1 5124 0 76
1071 1 5133 0 76
1071 1 5134 0 76
1071 1 5137 0 76
1071 1 5138 0 76
1071 1 5140 0 76
1071 1 5151 0 76
1071 1 5152 0 76
1071 1 5155 0 76
1071 1 5156 0 76
1071 1 5169 0 76
1071 1 5171 0 77
1071 1 5172 0 77
1071 1 5173 0 77
1071 1 5174 0 77
1071 1 5175 0 77
1071 1 5176 0 77
1071 1 5177 0 77
1071 1 5178 0 77
1071 1 5181 0 77
1071 1 5182 0 77
1071 1 5183 0 77
1071 1 5184 0 77
1071 1 5185 0 77
1071 1 5186 0 77
1071 1 5187 0 77
1071 1 5188 0 77
1071 1 5197 0 77
1071 1 5199 0 77
1071 1 5200 0 77
1071 1 5229 0 78
1071 1 5230 0 78
1071 1 5231 0 78
1071 1 5232 0 78
1071 1 5351 0 80
1071 1 5352 0 80
1071 1 5357 0 80
1071 1 5358 0 80
1071 1 5435 0 71
1071 1 5436 0 71
#=====사막도적단과 마지막교섭 (네피 아카무르)
1070 1 5120 0 76
1070 1 5139 0 76
1070 1 5153 0 76
1070 1 5154 0 76
1070 1 5170 0 77
1070 1 5179 0 77
1070 1 5180 0 77
1070 1 5201 0 77
1070 1 5227 0 78
1070 1 5228 0 78
#===== 사막도적단이 노리는 것은?(경비병 푸트란)
1268 1 5125 0 76
1268 1 5126 0 76
1268 1 5127 0 76
1268 1 5128 0 76
1268 1 5129 0 76
1268 1 5130 0 76
1268 1 5131 0 76
1268 1 5132 0 76
#===== 지피지기(까마귀 머피)
1090 1 5135 0 76
1090 1 5136 0 76
1090 1 5167 0 76
1090 1 5168 0 76
1090 1 5338 0 80
1090 1 5353 0 80
1090 1 5354 0 80
1090 1 5363 0 80
1090 1 5364 0 80
1090 1 5366 0 80
1090 1 5383 0 80
1090 1 5407 0 80
1090 1 5423 0 81
1090 1 5431 0 81
1090 1 5432 0 81
1090 1 5451 0 81
1090 1 5461 0 82
#===== 까마귀 머피라는 남자(칼잡이 벨몬)
1091 1 5141 0 76
1091 1 5142 0 76
1091 1 5157 0 76
1091 1 5158 0 76
1091 1 5161 0 76
1091 1 5162 0 76
1091 1 5165 0 76
1091 1 5166 0 76
1091 1 5339 0 80
1091 1 5340 0 80
1091 1 5341 0 80
1091 1 5342 0 80
1091 1 5343 0 80
1091 1 5344 0 80
1091 1 5345 0 80
1091 1 5346 0 80
1091 1 5347 0 80
1091 1 5348 0 80
1091 1 5355 0 80
1091 1 5359 0 80
1091 1 5360 0 80
1091 1 5361 0 80
1091 1 5362 0 80
1091 1 5365 0 80
1091 1 5367 0 80
1091 1 5368 0 80
1091 1 5369 0 80
1091 1 5370 0 80
1091 1 5381 0 80
1091 1 5382 0 80
1091 1 5384 0 80
1091 1 5385 0 80
1091 1 5386 0 80
1091 1 5387 0 80
1091 1 5388 0 80
1091 1 5389 0 80
1091 1 5390 0 80
1091 1 5391 0 80
1091 1 5392 0 80
1091 1 5393 0 80
1091 1 5405 0 80
1091 1 5406 0 80
1091 1 5421 0 81
1091 1 5422 0 81
1091 1 5429 0 81
1091 1 5430 0 81
1091 1 5449 0 81
1091 1 5450 0 81
1091 1 5459 0 82
1091 1 5460 0 82
1091 1 5467 0 82
1091 1 5468 0 82
1091 1 5475 0 82
1091 1 5476 0 82
#===== 사막도적단의 방식(대리인 루샬딘)
1087 1 5143 0 76
