zts1e	Efekt ogólny
zts2e	Efekt magiczny
zts3e	Rodzaje trucizn
zts4e	Seria chorób
zts5e	Seria ³adowania
zts6e	Dobrze
zts7e	Neutralny
zts8e	Kiepsko
zts9e	Czas trwania: %.1f sek.
zts10e	Co %d sek.:
zts11e	Z prawdopodobieñstwem %d%%
zts12e	Efekty uboczne po %.1f sek.
zts13e	Po odblokowaniu wytwarza %s z prawdopodobieñstwem %d%%.
zts14e	(Poziom dzia³ania / %d)
zts15e	(Poziom dzia³ania * %d)
zts16e	Do³adowanie
zts17e	Energia do nastêpnego ataku w pe³ni na³adowana.
zts18e	Lekkie krwawienie
zts19e	Zosta³eœ lekko ranny.
zts20e	Toksyczny cierñ
zts21e	Zatruty toksycznym cierniem.
zts22e	Zawód mi³osny
zts23e	Jesteœ g³êboko przygnêbiony.
zts24e	Gniew
zts25e	Twoim skoncentrowanym atakiem kieruje gniew.
zts26e	Wœciek³oœæ
zts27e	Skupiasz siê na ataku i zadajesz przeciwnikowi tylko ciosy krytyczne.
zts28e	Sza³
zts29e	Skupia siê wy³¹cznie na szturmie i przypuszcza szybkie ataki.
zts30e	Zamroczenie
zts31e	Wywo³uje zamroczenie. Nie mo¿esz siê broniæ, bo straci³eœ przytomnoœæ.
zts32e	Demoralizacja
zts33e	Zniechêcony przez si³ê przeciwnika.
zts34e	Klej
zts35e	Przyczepia siê do cia³a i przerywa atak.
zts36e	Silny klej
zts37e	Przykleja siê do cia³a i utrudnia poruszanie siê.
zts38e	Strach
zts39e	Wywo³uje prawdziwe przera¿enie i odbiera wszelk¹ przyjemnoœæ z walki.
zts40e	Okrzyk bojowy
zts41e	Zainspirowany ¿¹dz¹ walki, zwiêksza si³ê ataku.
zts42e	Okrzyk pokrzepienia
zts43e	Zainspirowany przez dobry nastrój masz poczucie bezpieczeñstwa.
zts44e	Pijacki be³kot
zts45e	W stanie podchmielenia po spo¿yciu alkoholu.
zts46e	Tryb PvP
zts47e	W dowolnym momencie mo¿esz rozpocz¹æ przyjacielski pojedynek z innymi graczami.
zts48e	Zmniejszony poziom ataku.
zts49e	Otrzymujesz karêpodczas ataku, bo twój poziom ataku zosta³ odparty.
zts50e	Kl¹twa krwi
zts51e	Przysiêgnij na krew i b¹dŸ odwa¿ny.
zts52e	Zastraszony
zts53e	Ca³kowite za³amanie, kompletnie tracisz chêæ do walki.
zts54e	Zraniona noga
zts55e	Zosta³eœ zraniony w nogê lub w skrzyd³o, dlatego poruszasz siê wolniej.
zts56e	Krwawienie
zts57e	NiegroŸna rana, która jednak mo¿e siê pog³êbiæ, jeœli nikt jej nie opatrzy.
zts58e	Parali¿uj¹ca trucizna
zts59e	Parali¿uje miêœnie.
zts60e	Trucizna neutralizuj¹ca obronê
zts61e	Odczuwasz ból nawet po najs³abszych atakach i ³atwo ciê zraniæ.
zts62e	Trucizna odurzaj¹ca
zts63e	Czêsto masz zawroty g³owy.
zts64e	Œmiertelna trucizna
zts65e	Sprawia, ¿e poruszasz siê wolniej i doznajesz szoku na kilka sekund.
zts66e	Przerwij ruch
zts67e	Zostaje ciê¿ko ranny i nie mo¿e siê poruszaæ.
zts68e	Mróz
zts69e	Przeciwnik zamarza i nie mo¿e siê poruszaæ.
zts70e	Tempo
zts71e	Porusza siê w poœpiechu.
zts72e	Zmniejsza masê cia³a, dziêki czemu mo¿na siê szybciej poruszaæ.
zts73e	Rytua³ soko³a
zts74e	Niesamowicie poprawia wzrok, co umo¿liwia skuteczniejsze ataki.
zts75e	MroŸna tarcza
zts76e	MroŸna tarcza wytwarza lodowy pancerz, który otacza cia³o i blokuje ataki d³ugodystansowe.
zts77e	Aura regeneracji
zts78e	Otacza cia³o ciep³¹ energi¹ i pozwala odpocz¹æ.
zts79e	Œwiat³o Ochronne
zts80e	Otacza cia³o jasn¹ os³on¹ œwietln¹.
zts81e	Sen
zts82e	Natychmiast g³êboko zasypia, jednak budzi siê po dotkniêciu.
zts83e	Oœlepienie
zts84e	Na kilka sekund uszkadza wzrok.
zts85e	Zatruta strza³a
zts86e	Nak³ada truciznê na grot strza³y, aby zatruæ wroga.
zts87e	Zatruty sztylet
zts88e	Nak³ada truciznê na sztylet, aby zatruæ wroga.
zts89e	Silne krwawienie
zts90e	Powa¿na rana, która zmniejsza P¯.
zts91e	Niemoc
zts92e	Uniemo¿liwia atak i obronê.
zts93e	Kara po wskrzeszeniu
zts94e	Zwiêksza si³ê ataku.
zts95e	Zwiêksza si³ê obrony.
zts96e	Zwiêksza si³ê ataku krótkodystansowego.
zts97e	Zwiêksza obronê ataku d³ugodystansowego.
zts98e	Wzmacnia obronê magiczn¹.
zts99e	Nieograniczone PM
zts100e	Silna energia
zts101e	Przyspiesz
zts102e	Tarcza niezwyciê¿enia
zts103e	Parali¿uj¹ca trucizna
zts104e	Dezaktywuje atak. Mo¿e byæ zamroczony do czasu neutralizacji trucizny.
zts105e	Pomarszczona rêka
zts106e	Marszczy rêkê i zmniejsza si³ê ataku.
zts107e	Efekt uboczny kichniêcia
zts108e	Chwila s³aboœci Kukukeena to mo¿e dobry moment do ataku?
zts109e	Silny toksyczny kolec
zts110e	Zatruty przez silny toksyczny kolec.
zts111e	Ciemnoœæ KLÊSKI
zts112e	Im s³abszy ¿ywio³ mroku, tym mniejszy bêdzie efekt ataku krytycznego.
zts113e	Rêka œmierci
zts114e	Œmiertelna trucizna
zts115e	Czas oczekiwania na misjê
zts116e	Po up³yniêciu czasu oczekiwania mo¿esz ponownie wykonaæ misjê.
zts117e	Czas dzia³ania magicznych przedmiotów
zts118e	Wyœwietla informacje o czasie dzia³ania magicznych przedmiotów. Gdy czas siê skoñczy, przedmioty znikaj¹.
zts119e	Zatamuj krwawienie
zts120e	Tamuje krwawienie do maks. poziomu 4 z prawdopodobieñstwem 80%.
zts121e	Spalenie
zts122e	Os³abienie przez ogieñ, liczba P¯ spada.
zts123e	Œmiertelne spalenie
zts124e	Œmiertelne zamroczenie
zts125e	Nie mo¿na siê poruszaæ, ani u¿ywaæ przedmiotów.
zts126e	B³ogos³awieñstwo ognia
zts127e	Otrzymuje ¿ywio³ ognia i zwiêksza odpornoœæ na ogieñ.
zts128e	Os³abienie si³y obrony
zts129e	Spada poziom obrony i zmniejsza siê si³a obrony.
zts130e	Zniszcz tarczê
zts131e	Na kilka sekund traci ca³¹ si³ê obrony.
zts132e	Szok
zts133e	Niespodziewany szok przerywa atak.
zts134e	Stalowa skóra
zts135e	Maksymalizuje si³ê obrony i zmniejsza si³ê ataku.
zts136e	Zwiêkszenie morale
zts137e	Podnosi morale.
zts138e	Ucieczka
zts139e	Uciekaj jak najdalej!
zts140e	Sokole oko
zts141e	Zwiêksza prawdopodobieñstwo na zadanie skutecznego ataku.
zts142e	Pêdziwiatr
zts143e	Zwiêksza poruszania siê.
zts144e	Uderzenie pioruna
zts145e	Na chwilê przerywa atak.
zts146e	Szybka Regeneracja
zts147e	Zmniejsza czas odnowy umiejêtnoœci.
zts148e	Zsi¹dŸ
zts149e	Spowalnia czas rzucania czarów oraz szybkoœæ poruszania siê.
zts150e	Absorpcja si³y ataku
zts151e	Zmniejsza si³ê ataku przeciwnika i zwiêksza w³asn¹.
zts152e	Ostre ostrze
zts153e	Ostrzy klingê broni.
zts154e	Ciêcie
zts155e	Zmniejsza PM i redukuje obronê do po³owy.
zts156e	Œmiertelne krwawienie
zts157e	Zmniejsza P¯ i dezaktywuje trafienia krytyczne.
zts158e	Mg³a
zts159e	Zmniejsza celnoœæ.
zts160e	Trucizna umys³u
zts161e	Zdaje tyle obra¿eñ, ile zu¿yto PM.
zts162e	Kryjówka
zts163e	Ukryj siê przed wrogiem.
zts164e	Trucizna wzmocnienia
zts165e	Redukuje wszystkie odpornoœci, a ty otrzymujesz wszystkie ciosy krytyczne.
zts166e	Magiczne œwiat³o
zts167e	Zmniejsza celnoœæ i P¯ ¿ywio³u mroku.
zts168e	Tarcza many
zts169e	Zastêpuje czêœæ obra¿eñ punktami many.
zts170e	Œwiêta broñ
zts171e	Wzmacnia ¿ywio³ œwiat³a i zwiêksza odpornoœæ na mrok.
zts172e	Dezaktywacja mroku
zts173e	Dezaktywuje ¿ywio³ mroku.
zts174e	B³ogos³awieñstwo
zts175e	Zwiêksza ogólny poziom obrony i odpornoœci na ¿ywio³y.
zts176e	Cios krytyczny
zts177e	Zwiêksza koncentracjê i szansê na cios krytyczny.
zts178e	Sprint
zts179e	Umo¿liwia natychmiastowe szybkie ruchy.
zts180e	B³ogos³awieñstwo Solaris
zts181e	Zmniejsza zu¿ycie many.
zts182e	Zwiêkszenie liczbê punktów doœwiadczenia.
zts183e	Na pewien czas zwiêksza liczbê punktów doœwiadczenia.
zts184e	Zwiêkszona si³a ataku
zts185e	Na pewien czas zwiêksza si³ê ataku.
zts186e	Doskona³a ochrona
zts187e	Przez pewien czas nie mo¿esz atakowaæ ani byæ atakowanym.
zts188e	Zw¹tpienie
zts189e	Walcz zdesperowany.
zts190e	Spêtanie
zts191e	Zaskoczony pojmaniem.
zts192e	Krótkie zamroczenie
zts193e	Krótkie zamroczenie
zts194e	Odkryj s³aby punkt
zts195e	Odkrywa s³abe punkty i zawsze otrzymuje trafienia krytyczne.
zts196e	Stê¿enie
zts197e	Parali¿uje cia³o.
zts198e	Utlenienie
zts199e	Silny kwas uszkadza ubranie i broñ.
zts200e	Infekcja zombie
zts201e	Staje siê g³upim zombie, wydaj¹cym nieartyku³owane odg³osy. Silnie zaraŸliwe.
zts202e	Szczepionka na zombie
zts203e	Uodparnia na infekcjê zombie.
zts204e	Niebiañska pieœñ
zts205e	Zauroczenie piêkn¹ pieœni¹ sprawia, ¿e zanika chêæ to walki.
zts206e	B³ogos³awieñstwo œwinki szczêœcia
zts207e	Zwiêksza liczbê punktów doœwiadczenia o 10%.
zts208e	Noworoczne b³ogos³awieñstwo
zts209e	Zwiêksza si³ê ataku i obrony o 10%.
zts210e	Walentynkowe b³ogos³awieñstwo
zts211e	P³acz & szloch
zts212e	Rozdzieraj¹cy serce szloch.
zts213e	B³ogos³awieñstwo bia³ego dnia
zts214e	Bezg³oœnie
zts215e	U¿yj zwoju ochrony karty
zts216e	Chroni wyposa¿enie podczas ulepszania i utrzymuje aktualny poziom unikalnoœci.
zts217e	Mglista trucizna
zts218e	Gêsta mg³a uniemo¿liwia jakiekolwiek ruchy.
zts219e	Pachn¹ca kieszonka
