zts1e	Ataques especiales
zts2e	Interrumpir el ataque
zts3e	Ataque de corta distancia inválido
zts4e	Ataque a larga distancia inválido
zts5e	La magia no está permitida
zts6e	Objetivo desactivado
zts7e	Ataque no posible
zts8e	Los ataques de corta distancia no están permitidos
zts9e	Los ataques a larga distancia no están permitidos
zts10e	Los ataques mágicos no están permitidos
zts11e	El ataque ha fallado porque no has dado en el blanco (en los ataques mágicos no)
zts12e	Defensa especial
zts13e	Invalidar la defensa
zts14e	Invalidar la defensa en cortas distancias
zts15e	Invalidar la defensa en largas distancias
zts16e	La defensa mágica es inválida.
zts17e	Desactivar la "capacidad de esquivar"
zts18e	No se puede utilizar cualquier fuera de defensa
zts19e	No se puede utilizar la fuerza de defensa a larga distancia
zts20e	No se puede utilizar la fuerza de defensa a larga distancia
zts21e	No se puede utilizar la fuerza de defensa mágica
zts22e	No hay defensa posible
zts23e	Modifica la fuerza de ataque
zts24e	Modifica todos los ataques
zts25e	Modifica el ataque a corta distancia
zts26e	Modifica el ataque a larga distancia
zts27e	Modifica los ataques mágicos
zts28e	Modifica el nivel de ataque
zts29e	Varios ataques han aumentado %s
zts30e	Varios ataques disminuyen en un %s
zts31e	El nivel de ataque a corta distancia aumenta en %s
zts32e	El ataque a corta distancia disminuye en %s
zts33e	El nivel de ataque de larga distancia ha aumentado en %s
zts34e	El nivel de ataque de larga distancia disminuye %s
zts35e	El ataque mágico ha aumentado un %s
zts36e	El ataque mágico ha disminuido un %s
zts37e	El nivel de ataque ha aumentado un %s
zts38e	El nivel de ataque ha disminuido en %s
zts39e	Modifica el objetivo
zts40e	Modifica todos los objetivos
zts41e	Modifica un objetivo cercano
zts42e	Modifica un objetivo a larga distancia
zts43e	Modificar foco
zts44e	El índice de aciertos en los ataques ha aumentado %s
zts45e	El índice de aciertos en todos los ataques ha disminuido un %s
zts46e	El índice en los ataques de corta distancia ha aumentado %s
zts47e	El índice de los ataques de corta distancia ha disminuido un %s
zts48e	El índice de acierto en los ataques de larga distancia ha aumentado %s
zts49e	El índice de acierto en los ataques a larga distancia ha disminuido en %s
zts50e	El nivel del foco aumenta %s durante un ataque mágico
zts51e	El nivel del foco disminuye %s durante un ataque mágico
zts52e	Modifica ataque fatal
zts53e	Modifica la probabilidad de un ataque fatal
zts54e	Modifica los daños de ataques fatales
zts55e	Daños dobles
