zts1e	Baby Fox
zts2e	Fox
zts3e	Big Fox
zts4e	Tired Dusi-Fox
zts5e	Dusi-Fox
zts6e	Nervous Dusi-Fox
zts7e	Happy Oto-Fox
zts8e	Oto-Fox
zts9e	Angry Oto-Fox
zts10e	Happy Wooly
zts11e	Wooly
zts12e	Angry Wooly
zts13e	Small Mufflon
zts14e	Mufflon
zts15e	Big Mufflon
zts16e	Tired Ram
zts17e	Ram
zts18e	Nervous Ram
zts19e	Happy Mandra
zts20e	Mandra
zts21e	Angry Mandra
zts22e	Weak Grasmandra
zts23e	Grasmandra
zts24e	Strong Grasmandra
zts25e	Baby Dander
zts26e	Dander
zts27e	Large Dander
zts28e	Weak Toxi Dander
zts29e	Toxi Dander
zts30e	Strong Toxi Dander
zts31e	Weak Seedle
zts32e	Seedle
zts33e	Strong Seedle
zts34e	Light Fire Seedle
zts35e	Fire Seedle
zts36e	Heavy Fire Seedle
zts37e	Soft Pii
zts38e	Pii
zts39e	Hard Pii
zts40e	Baby Wild Pii
zts41e	Wild Pii
zts42e	Big Wild Pii
zts43e	Rotten Thorn Pii
zts44e	Thorn Pii
zts45e	Quick Thorn Pii
zts46e	Soft Pii Pod
zts47e	Pii Pod
zts48e	Hard Pii Pod
zts49e	Baby Wild Pii Pod
zts50e	Wild Pii Pod
zts51e	Big Wild Pii Pod
zts52e	Rotten Thorn Pii Pod
zts53e	Thorn Pii Pod
zts54e	Quick Thorn Pii Pod
zts55e	Weak Vampie
zts56e	Vampie
zts57e	Strong Vampie
zts58e	Weak Fire Vampie
zts59e	Fire Vampie
zts60e	Strong Fire Vampie
zts61e	Weak Devil Vampie
zts62e	Devil Vampie
zts63e	Strong Devil Vampie
zts64e	Tired Walker
zts65e	Walker
zts66e	Nervous Walker
zts67e	Tired Thornwalker
zts68e	Thornwalker
zts69e	Nervous Thornwalker
zts70e	Tired Stonewalker
zts71e	Stonewalker
zts72e	Nervous Stonewalker
zts73e	Small Imp
zts74e	Imp
zts75e	Large Imp
zts76e	Happy Horn Imp
zts77e	Horn Imp
zts78e	Angry Horn Imp
zts79e	Small Devil Imp
zts80e	Large Devil Imp
zts81e	Devil Imp
zts82e	Tired Pink Jelly
zts83e	Pink Jelly
zts84e	Nervous Pink Jelly
zts85e	Tired Red Jelly
zts86e	Red Jelly
zts87e	Jumpy Red Jelly
zts88e	Tired Dark Jelly
zts89e	Nervous Dark Jelly
zts90e	Dark Jelly
zts91e	Weak Gargs
zts92e	Gargs
zts93e	Strong Gargs
zts94e	Crazy Gargs
zts95e	Mad Gargs
zts96e	Psychotic Gargs
zts97e	Happy Hamster
zts98e	Hamster
zts99e	Angry Hamster
zts100e	Weak Poisonous Hamster
zts101e	Poisonous Hamster
zts102e	Strong Poisonous Hamster
zts103e	Small Steel Hamster
zts104e	Steel Hamster
zts105e	Large Steel Hamster
zts106e	Happy Miner
zts107e	Miner
zts108e	Angry Miner
zts109e	Weak Expy Miner
zts110e	Expy Miner
zts111e	Strong Expy Miner
zts112e	Tired Chief Miner
zts113e	Chief Miner
zts114e	Nervous Chief Miner
zts115e	Rookie Koaren Sword Fighter
zts116e	Koaren Sword Fighter
zts117e	Elite Koaren Sword Fighter
zts118e	Rookie Koaren Archer
zts119e	Koaren Archer
zts120e	Elite Koaren Archer
zts121e	Rookie Koaren Warrior
zts122e	Koaren Warrior
zts123e	Elite Koaren Warrior
zts124e	NotUse
zts125e	NotUse
zts126e	NotUse
zts127e	NotUse
zts128e	Brutal Devil Imp
zts129e	Dummy Mandra
zts130e	Brutal Vampie
zts131e	Weak Walker
zts132e	Flame
zts133e	Angry Flame
zts134e	Warepard
zts135e	Dark Warepard
zts136e	Boing
zts137e	Hard Boing
zts138e	Small Morning Star Boing
zts139e	Morning Star Boing
zts140e	Small Mimic
zts141e	Mimic
