zts1e	El mejor servicio
zts2e	Medallón de Erenia
zts3e	Efecto principal] [n] Cada inventario aumentara 8, en total 24,[n] Si se lo utiliza con el Medallón de la Aventura, aumenta 36[n] [Efecto adicional] La experiencia de combate aumenta un 15%.[n] La experiencia de profesión aumenta un 15%.[n] Los puntos de experiencia de tu mascota y de tu compañero aumentan un 15%.(Aumenta un 30% si es utilizado con el Medallón de la Aventura) La ganancia de oro aumenta un 20%.[n] La ganancia de fama aumenta un 20%.
zts4e	¿Te ha gustado la aventura fácil?
zts5e	Medallón de la Aventura
zts6e	Efecto principal] [n] Cada inventario aumentara 4, en total 12,[n] Si se utiliza con el Medallón de Erenia, aumenta 36[n] [Efecto adicional] La experiencia de combate aumenta un 15%.[n] La experiencia de profesión aumenta un 15%.[n] Los puntos de experiencia de tu mascota y de tu compañero aumentan un 15%.(Aumenta un 30% si es utilizado con el Medallón de Erenia)
zts7e	¿Te gusta más otra hada?
zts8e	Sellaim
zts9e	Hada del fuego: Puede crecer hasta 70.[n]  Tiene las mismas habilidades que el Hada del Fuego[n] No se puede intercambiar.[n]
zts10e	Elemento agua fuerte
zts11e	Woondine
zts12e	Espíritu del agua: puede crecer hasta 70.[n] Tiene las mismas habilidades que el hada de agua[n] No se puede intercambiar[n]
zts13e	Elemento luz fuerte
zts14e	Eperial
zts15e	Espíritu de la Luz ; Puede subir hasta 70. [n] Tiene la misma habilidades que las del Hada de la Luz[n]No puede ser negociada[n]
zts16e	Te muestra el poder de las Tinieblas
zts17e	Turik
zts18e	Espíritu de las Tinieblas: puede crecer hasta 70.[n] Tiene las mismas habilidades que el Hada de las Tinieblas[n]Este ítem no se puede intercambiar.[n]
zts19e	¿Crecimiento acelerado por el uso?
zts20e	Sellaim Grande
zts21e	Espíritu de Fuego: Puede crecer hasta 70.[n]Tiene las mismas habilidades que el Hada de Fuego[n] No se puede intercambiar[n]
zts22e	¡Listo para ser utilizado!
zts23e	Woondine Grande
zts24e	Espíritu del Agua ; Puede subir hasta 70.[n]Está ya en el 40, por lo tanto no tiene que creer desde el 1.[n]Tiene las mismas habilidades que las del Hada del Agua[n]No puede ser negociada[n]
zts25e	¿Demasiado impaciente?
zts26e	Eperial Grande
zts27e	Espíritu de Luz: Puede crecer hasta 70.[n] Ya está en 40, así que no tiene que crecer desde 1.[n] Tiene las mismas habilidades que el Hada de la Luz[n] No se puede intercambiar.[n]
zts28e	¡Para empezar de inmediato!
zts29e	Turik Grande
zts30e	Espíritu de las tinieblas: Puede crecer hasta 70.[n] Ya está en 40, así que no tiene que crecer desde 1.[n] Tiene las mismas habilidades que el Hada de las Tinieblas[n] No se puede intercambiar.[n]
zts31e	Superficie de almacén para alquilar
zts32e	Almacén extragrande (30 días)
zts33e	Te otorga 56 espacios en tu mini-mundo.[n] La cuenta atrás empieza en el momento de colocarlo. [n][Advertencia][n]El almacén desparece en cuanto se termine el período de tiempo, así que prepara un almacén nuevo.[n]Si el almacén es más pequeño no se podrán albergar todos los objetos. Así que organiza tus objetos.
zts34e	¡Ponle un apodo a tu mascota!
zts35e	Placa para mascotas
zts36e	Ponle un nombre a tu mascota.[n]Desaparece después de su utilización.[n]
zts37e	Ponle nombre a tu mascota
zts38e	5 Placas para mascotas
zts39e	Ponle nombre a tu mascota.[n]Compra 1 set con 5 Onomásticas para tu mascota[n]
zts40e	Para una mascota preciosa
zts41e	3 Los mejores alimentos para NosMate
zts42e	La fidelidad de tu mascota llega al máximo.[n] Además el nivel aumenta un nivel[n] Se puede utilizar solamente si el nivel de la mascota, se encuentra 5 niveles más abajo que el nivel del jugador[n] (Si el jugador se encuentra en el nivel 50, el nivel de la mascota subirá hasta el nivel 45)[n]
zts43e	Cuida de tu salud
zts44e	Medicina del Compañero
zts45e	La intimidad de tu mascota llega al máximo.[n] Además el nivel aumenta un nivel[n] Se puede utilizar solamente si el nivel de la mascota, se encuentra 5 niveles más abajo que el nivel del jugador[n] (Si el jugador se encuentra en el nivel 50, el nivel de la mascota subirá hasta el nivel 45)[n]
zts46e	No dejes sola a tu mascota
zts47e	Perla mascota
zts48e	Puedes colocar a tu mascota en el inventario o en el almacén[n]Puede ser cambiada con otros jugadores[n][Advertencia]Los detalles de la mascota serán conservados pero el nombre será borrado.[n]Si el nivel de la mascota es más alto que el del jugador, la mascota podrá permanecer en el Mini-mundo, pero no podrá ser NosMate.[n]
zts49e	Cambia tu mascota
zts50e	Perla del Cumplimiento
zts51e	Puedes poner a tu compañero en la bola de tu inventario o de tu almacén[n] Puede ser intercambiado con otros jugadores[n][Advertencia] El compañero debe quietarse todo el equipamiento mientras esté en la bola.[n]Si el mismo compañero se encuentra en la bola, deberás sacar primero al otro compañero.[n]Si el nivel del compañero es más alto que el del jugador,[n] podrá permanecer en el Mini-mundo, pero no podrá ser un NosMate.[n]
zts52e	¡Cambiemos tarjetas!
zts53e	Portatarjetas del especialista
zts54e	Puede retener una tarjeta SP.[n]Te permite cambiarla con otros jugadores.[n] El nivel y la experiencia se conservan.[n]
zts55e	Paquete extra de los Especialistas
zts56e	Recargador pequeño especial
zts57e	Todos los HP serán restablecidos.[n]Además los SP aumentan 30.000[n]
zts58e	Recargador mediando especial
zts59e	Todos los HP serán restablecidos.[n]Además los SP aumentan 70.000[n]
zts60e	Paquete lujoso de los Especialistas
zts61e	Recargador grande especial
zts62e	Todos los HP/MP serán restablecidos y todos los efectos malos serán borrados.[n]Además los SP aumentan 180.000[n]
zts63e	¡Asegura la puesta!
zts64e	Amuleto de la Bendición de Dios
zts65e	Puede ser utilizado 3 veces[n]Aumenta un 10% de la probabilidad de éxito al apostar y protege el arma en caso de fracasar[n] Puede ser utilizado para armas y equipamiento[n]
zts66e	¡Apostar sin ponerse nervioso!
zts67e	Amuleto de la Protección de Dios
zts68e	Santa Claus
zts69e	Reutilización del equipamiento
zts70e	Amuleto del Refuerzo
zts71e	Puede ser utilizado 3 veces.[n]Puede reforzar el equipamiento incluso estando en el nivel fijado.[n]Puede ser utilizado para armas y equipamientos[n]
zts72e	¡Lleno, por favor!
zts73e	99 Poción grande completa
zts74e	Compra 99 pociones grandes completas[n]
zts78e	¡Esta poción es disponible sólo aquí!!
zts79e	70 Fuentes de Agua de Cylloan
zts80e	Recupera 3.000 HP/MP
zts84e	¡Te extraño!
zts85e	10 Alas de la Amistad
zts86e	Puede teletransportar a cualquiera que este registrado como tu amigo.[n] Puede ser utilizado solamente si el amigo se encuentra en un campo normal.[n] Para teletransportar pulsar el Botón de Movimiento en el  Messenger.[n]
zts87e	¡¡¡Embellecete a ti y a tu compañero!!!
zts88e	Gel fijador para cabello A, ¡¡Tienes una muy buena pinta!!
zts89e	Aquí está el ejemplo del Espadachín.[n] Hay otras ilustraciones para el  arquero [n][n]Ye~~ Me tengo que diferenciar de los otros. ¿El mismo peinado? No, gracias~~ Yo soy único y mi peinado también. Hagamos de nuestro cabello una obra de arte[n] Aventureros no pueden utilizarlo.
zts90e	Cera del arquero A, ¡Tú eres mi amorcito!
zts91e	Aquí hay un ejemplo de arquero.[n]Hay otras imágenes para espadachines y magos.[n][n]Tengo que diferenciarme de los demás. ¿El mismo peinado? ¡No, gracias! Yo soy único y mi peinado también. Vamos a hacer una obra de arte con el cabello.[n]Eso sí, los aventureros no pueden utilizarlo.
zts92e	Cera del Mago A,  ¡Tú eres el menor!
zts93e	Aquí está el ejemplo del Mago.[n] Hay otras ilustraciones para el espadachín y el  arquero [n][n]Ye~~ Me tengo que diferenciar de los otros. ¿El mismo peinado? No, gracias~~ Yo soy único y mi peinado también. Hagamos de nuestro cabello una obra de arte[n] Aventureros no pueden utilizarlo.
zts94e	Tú, tío bueno
zts95e	Espadachín, Cera B
zts96e	Ejemplo del espadachín.[n] Hay otras figuras para el arquero y el mago [n][n] Síííííí~~ me tengo que diferenciar del resto. ¿El mismo peinado? No gracias~~ Soy único, y mi pelo también. Hagamos arte de nuestro pelo[n] Los aventureros no lo pueden utilizar.
zts97e	¡Arquero, Cera B!
zts98e	¡Mago, Cera B!
zts99e	Nuevo color de cabello
zts100e	Tinte Rojo
zts101e	Tiñe el pelo de rojo [n]
zts102e	¡Cambia el color de tu pelo!
zts103e	Tinte Verde
zts104e	Tiñe el pelo de verde [n]
zts105e	¿Dónde te lo has hecho?
zts106e	Tinte Blanco
zts107e	Tiñe el pelo de blanco [n]
zts108e	¡Revolución en tintes de pelo!
zts109e	Tinte Azul
zts110e	Tiñe el pelo de azul [n]
zts111e	¡Te queda bien!
